step,wall_time,value
30194,1775014755.714138,0.945066094
60389,1775021245.605532,0.942674696
90584,1775027788.799106,0.947781682
120779,1775034236.107200,0.943965971
150974,1775040721.375290,0.952171743
181169,1775047194.327485,0.947881222
211364,1775053695.812642,0.949390173
241559,1775060054.929342,0.952742636
271754,1775066504.432473,0.954326272
301949,1775072945.099209,0.952079952
332144,1775087601.374319,0.95022732
362339,1775094199.878847,0.954409659
392534,1775100695.017094,0.957181573
422729,1775107299.920325,0.954905033
452924,1775113898.595443,0.951572239
483119,1775120457.252900,0.95154202
513314,1775126996.589620,0.954913318
543509,1775133555.938996,0.955977976
573704,1775140029.809584,0.958085001
603899,1775146492.712910,0.955390453
634094,1775153504.766626,0.954898
664289,1775160820.323751,0.953023136
694484,1775167339.503455,0.954078376
724679,1775173855.673970,0.956502974
754874,1775180353.144155,0.950432956
