step,wall_time,value
49,1775008383.517060,0
99,1775008389.492106,0
149,1775008395.328636,0
199,1775008401.321954,0
249,1775008407.327730,0
299,1775008413.444348,0
349,1775008419.457695,0
399,1775008425.570706,0
449,1775008431.582343,0
499,1775008437.548408,0
549,1775008443.460552,0
599,1775008449.256407,0
649,1775008455.251726,0
699,1775008461.277197,0
749,1775008468.509000,0
799,1775008474.611421,0
849,1775008480.481275,0
899,1775008486.513064,0
949,1775008492.348611,0
999,1775008498.345684,0
1049,1775008504.226062,0
1099,1775008510.127599,0
1149,1775008515.966866,0
1199,1775008521.902645,0
1249,1775008527.730792,0
1299,1775008533.678699,0
1349,1775008539.570481,0
1399,1775008545.402286,0
1449,1775008551.323297,0
1499,1775008557.300171,0
1549,1775008563.251498,0
1599,1775008569.112142,0
1649,1775008575.151272,0
1699,1775008581.929601,0
1749,1775008587.768539,0
1799,1775008593.845191,0
1849,1775008599.774457,0
1899,1775008605.839492,0
1949,1775008611.704154,0
1999,1775008617.676681,0
2049,1775008623.717376,0
2099,1775008629.657958,0
2149,1775008635.743075,0
2199,1775008641.625068,0
2249,1775008647.517775,0
2299,1775008653.659994,0
2349,1775008659.629607,0
2399,1775008665.685060,0
2449,1775008671.759633,0
2499,1775008677.802308,0
2549,1775008683.734411,0
2599,1775008689.727377,0
2649,1775008697.712266,0
2699,1775008704.029483,0
2749,1775008710.405708,0
2799,1775008717.048408,0
2849,1775008723.575713,0
2899,1775008730.239459,0
2949,1775008736.760305,0
2999,1775008743.408438,0
3049,1775008750.137513,0
3099,1775008756.374727,0
3149,1775008762.440331,0
3199,1775008768.436162,0
3249,1775008774.578904,0
3299,1775008780.717383,0
3349,1775008786.791929,0
3399,1775008792.777063,0
3449,1775008798.798979,0
3499,1775008804.943063,0
3549,1775008812.355652,0
3599,1775008818.611824,0
3649,1775008824.732275,0
3699,1775008830.845297,0
3749,1775008836.777535,0
3799,1775008842.882765,0
3849,1775008848.947197,0
3899,1775008854.883349,0
3949,1775008860.997302,0
3999,1775008866.918762,0
4049,1775008872.895655,0
4099,1775008878.761899,0
4149,1775008884.536591,0
4199,1775008890.345001,0
4249,1775008896.142543,0
4299,1775008902.132417,0
4349,1775008908.089904,0
4399,1775008913.924275,0
4449,1775008920.735261,0
4499,1775008926.710040,0
4549,1775008932.733981,0
4599,1775008938.679462,0
4649,1775008944.793850,0
4699,1775008950.801818,0
4749,1775008956.742133,0
4799,1775008962.772289,0
4849,1775008968.603137,0
4899,1775008974.650514,0
4949,1775008980.742367,0
4999,1775008986.726892,0
5049,1775008992.610687,0
5099,1775008998.647546,0
5149,1775009004.769172,0
5199,1775009010.826476,0
5249,1775009017.066547,0
5299,1775009022.947090,0
5349,1775009028.844835,0
5399,1775009035.784947,0
5449,1775009041.629518,0
5499,1775009047.529087,0
5549,1775009053.457144,0
5599,1775009059.338668,0
5649,1775009065.264443,0
5699,1775009071.300647,0
5749,1775009077.412255,0
5799,1775009083.408542,0
5849,1775009089.539160,0
5899,1775009095.537196,0
5949,1775009101.509272,0
5999,1775009107.639332,0
6049,1775009113.580607,0
6099,1775009119.653981,0
6149,1775009125.697060,0
6199,1775009131.636706,0
6249,1775009137.775553,0
6299,1775009145.453207,0
6349,1775009151.478180,0
6399,1775009157.643778,0
6449,1775009163.760714,0
6499,1775009169.780949,0
6549,1775009175.753185,0
6599,1775009181.728236,0
6649,1775009187.622720,0
6699,1775009193.596735,0
6749,1775009199.680616,0
6799,1775009205.908340,0
6849,1775009212.046359,0
6899,1775009218.010443,0
6949,1775009224.086591,0
6999,1775009230.218737,0
7049,1775009236.362207,0
7099,1775009242.372334,0
7149,1775009248.518260,0
7199,1775009254.593669,0
7249,1775009262.387925,0
7299,1775009268.213564,0
7349,1775009274.099418,0
7399,1775009280.101112,0
7449,1775009286.115798,0
7499,1775009292.116782,0
7549,1775009297.976790,0
7599,1775009303.717323,0
7649,1775009309.735556,0
7699,1775009315.485546,0
7749,1775009321.102678,0
7799,1775009326.893271,0
7849,1775009332.973063,0
7899,1775009338.919504,0
7949,1775009344.935727,0
7999,1775009350.696684,0
8049,1775009356.725168,0
8099,1775009362.789701,0
8149,1775009369.849489,0
8199,1775009375.833530,0
8249,1775009381.908602,0
8299,1775009388.062276,0
8349,1775009394.225702,0
8399,1775009400.274142,0
8449,1775009406.251108,0
8499,1775009412.339305,0
8549,1775009418.471897,0
8599,1775009424.413465,0
8649,1775009430.563370,0
8699,1775009436.627426,0
8749,1775009442.810389,0
8799,1775009448.985618,0
8849,1775009455.198148,0
8899,1775009461.155583,0
8949,1775009467.351873,0
8999,1775009473.541784,0
9049,1775009479.456601,0
9099,1775009486.556664,0
9149,1775009492.489950,0
9199,1775009498.546725,0
9249,1775009504.483082,0
9299,1775009510.421700,0
9349,1775009516.264842,0
9399,1775009522.235879,0
9449,1775009528.260500,0
9499,1775009534.237156,0
9549,1775009540.282932,0
9599,1775009546.289631,0
9649,1775009552.408498,0
9699,1775009558.614959,0
9749,1775009564.361614,0
9799,1775009570.433217,0
9849,1775009576.357870,0
9899,1775009582.365983,0
9949,1775009588.895468,0
9999,1775009595.248869,0
10049,1775009601.406713,0
10099,1775009607.303752,0
10149,1775009613.312299,0
10199,1775009619.457672,0
10249,1775009625.504094,0
10299,1775009631.431782,0
10349,1775009637.565378,0
10399,1775009643.561348,0
10449,1775009649.495347,0
10499,1775009655.485990,0
10549,1775009661.367764,0
10599,1775009667.430300,0
10649,1775009673.242460,0
10699,1775009679.290679,0
10749,1775009685.425706,0
10799,1775009691.543955,0
10849,1775009697.674067,0
10899,1775009704.521246,0
10949,1775009710.518843,0
10999,1775009716.616101,0
11049,1775009722.705496,0
11099,1775009728.808331,0
11149,1775009734.952406,0
11199,1775009740.998447,0
11249,1775009747.055698,0
11299,1775009753.163005,0
11349,1775009759.198383,0
11399,1775009765.310952,0
11449,1775009771.361353,0
11499,1775009777.397126,0
11549,1775009783.469530,0
11599,1775009789.515059,0
11649,1775009795.437407,0
11699,1775009801.380150,0
11749,1775009808.104939,0
11799,1775009814.239524,0
11849,1775009820.299011,0
11899,1775009826.420799,0
11949,1775009832.454050,0
11999,1775009838.402599,0
12049,1775009844.301913,0
12099,1775009850.457849,0
12149,1775009856.697809,0
12199,1775009862.779606,0
12249,1775009868.854791,0
12299,1775009874.929622,0
12349,1775009880.997342,0
12399,1775009887.051399,0
12449,1775009893.056057,0
12499,1775009899.035267,0
12549,1775009904.986330,0
12599,1775009911.055051,0
12649,1775009917.790395,0
12699,1775009923.790558,0
12749,1775009929.949544,0
12799,1775009936.246536,0
12849,1775009942.423985,0
12899,1775009948.641237,0
12949,1775009954.561268,0
12999,1775009960.554570,0
13049,1775009966.694397,0
13099,1775009972.786981,0
13149,1775009978.967084,0
13199,1775009985.180073,0
13249,1775009991.455068,0
13299,1775009997.430277,0
13349,1775010003.550163,0
13399,1775010009.797710,0
13449,1775010015.996098,0
13499,1775010022.028935,0
13549,1775010027.928783,0
13599,1775010035.237113,0
13649,1775010041.226304,0
13699,1775010047.434369,0
13749,1775010053.450066,0
13799,1775010059.432171,0
13849,1775010065.543964,0
13899,1775010071.561325,0
13949,1775010077.613044,0
13999,1775010083.631664,0
14049,1775010089.728215,0
14099,1775010095.893663,0
14149,1775010101.834781,0
14199,1775010107.861370,0
14249,1775010113.946804,0
14299,1775010119.906900,0
14349,1775010125.831752,0
14399,1775010131.838922,0
14449,1775010137.895462,0
14499,1775010144.044692,0
14549,1775010151.317565,0
14599,1775010157.427681,0
14649,1775010163.732731,0
14699,1775010170.232535,0
14749,1775010176.272008,0
14799,1775010182.469828,0
14849,1775010188.527379,0
14899,1775010194.779155,0
14949,1775010200.883293,0
14999,1775010206.947222,0
15049,1775010213.062507,0
15099,1775010219.178563,0
15149,1775010225.179205,0
15199,1775010231.199852,0
15249,1775010237.227448,0
15299,1775010243.379492,0
15349,1775010249.484028,0
15399,1775010255.491588,0
15449,1775010263.129954,0
15499,1775010268.991817,0
15549,1775010274.985698,0
15599,1775010281.011528,0
15649,1775010287.128824,0
15699,1775010293.464844,0
15749,1775010299.517174,0
15799,1775010305.707162,0
15849,1775010311.740112,0
15899,1775010317.705330,0
15949,1775010323.755823,0
15999,1775010329.801659,0
16049,1775010335.717446,0
16099,1775010341.822245,0
16149,1775010347.885104,0
16199,1775010353.752467,0
16249,1775010359.652774,0
16299,1775010365.804538,0
16349,1775010373.667069,0
16399,1775010379.586633,0
16449,1775010385.687757,0
16499,1775010391.694529,0
16549,1775010397.780539,0
16599,1775010403.862248,0
16649,1775010409.946513,0
16699,1775010415.971967,0
16749,1775010421.992948,0
16799,1775010427.926485,0
16849,1775010433.702803,0
16899,1775010439.686326,0
16949,1775010445.687387,0
16999,1775010451.646312,0
17049,1775010457.585897,0
17099,1775010463.727026,0
17149,1775010469.664876,0
17199,1775010475.799286,0
17249,1775010483.077717,0
17299,1775010489.241226,0
17349,1775010495.369448,0
17399,1775010501.466673,0
17449,1775010507.490352,0
17499,1775010513.721750,0
17549,1775010519.794683,0
17599,1775010525.914491,0
17649,1775010531.995973,0
17699,1775010538.133990,0
17749,1775010544.201970,0
17799,1775010550.047742,0
17849,1775010556.275331,0
17899,1775010562.468395,0
17949,1775010568.627934,0
17999,1775010574.608571,0
18049,1775010580.519385,0
18099,1775010586.753356,0
18149,1775010593.285440,0
18199,1775010599.174807,0
18249,1775010605.384791,0
18299,1775010611.424343,0
18349,1775010617.400555,0
18399,1775010623.690618,0
18449,1775010629.998588,0
18499,1775010635.953336,0
18549,1775010642.080689,0
18599,1775010648.078133,0
