step,wall_time,value
49,1775008383.517020,0.795372248
99,1775008389.492073,0.802039206
149,1775008395.328606,0.804956317
199,1775008401.321908,0.794907451
249,1775008407.327699,0.768886089
299,1775008413.444302,0.773004353
349,1775008419.457653,0.718232095
399,1775008425.570674,0.694512725
449,1775008431.582304,0.668951809
499,1775008437.548374,0.660295486
549,1775008443.460519,0.671108842
599,1775008449.256373,0.650618911
649,1775008455.251694,0.623440802
699,1775008461.277165,0.613825083
749,1775008468.508958,0.621729851
799,1775008474.611388,0.604195833
849,1775008480.481242,0.569123685
899,1775008486.513022,0.609278321
949,1775008492.348567,0.562388599
999,1775008498.345640,0.582755148
1049,1775008504.226032,0.585841477
1099,1775008510.127568,0.587957263
1149,1775008515.966835,0.566755652
1199,1775008521.902601,0.550333381
1249,1775008527.730760,0.569822609
1299,1775008533.678669,0.55163765
1349,1775008539.570437,0.545112073
1399,1775008545.402243,0.556252837
1449,1775008551.323266,0.541769862
1499,1775008557.300139,0.521295309
1549,1775008563.251467,0.539151669
1599,1775008569.111869,0.541407824
1649,1775008575.151242,0.531768441
1699,1775008581.929226,0.5351969
1749,1775008587.768507,0.515918195
1799,1775008593.845159,0.499813855
1849,1775008599.774425,0.49469173
1899,1775008605.839461,0.513417542
1949,1775008611.704108,0.48709476
1999,1775008617.676651,0.478435099
2049,1775008623.717344,0.48197943
2099,1775008629.657911,0.472012281
2149,1775008635.743045,0.450416178
2199,1775008641.625033,0.459278643
2249,1775008647.517744,0.456997395
2299,1775008653.659946,0.472992599
2349,1775008659.629566,0.44139877
2399,1775008665.685015,0.425756633
2449,1775008671.759582,0.429156601
2499,1775008677.802274,0.380286217
2549,1775008683.734378,0.402128041
2599,1775008689.727333,0.394239575
2649,1775008697.712235,0.383287698
2699,1775008704.029446,0.352285177
2749,1775008710.405670,0.350156248
2799,1775008717.048360,0.357408762
2849,1775008723.575678,0.360717386
2899,1775008730.239425,0.37688458
2949,1775008736.760268,0.332924783
2999,1775008743.408397,0.371828318
3049,1775008750.137483,0.342809737
3099,1775008756.374695,0.31708917
3149,1775008762.440297,0.358801961
3199,1775008768.436130,0.295456976
3249,1775008774.578837,0.294570923
3299,1775008780.717352,0.296456397
3349,1775008786.791876,0.316357255
3399,1775008792.777026,0.292591244
3449,1775008798.798947,0.276816577
3499,1775008804.943021,0.324998468
3549,1775008812.355604,0.29230535
3599,1775008818.611791,0.314284742
3649,1775008824.732240,0.2801103
3699,1775008830.845266,0.311732531
3749,1775008836.777505,0.294473827
3799,1775008842.882728,0.28118369
3849,1775008848.946842,0.322925925
3899,1775008854.883317,0.278595537
3949,1775008860.997123,0.275216043
3999,1775008866.918733,0.279800445
4049,1775008872.895624,0.246945977
4099,1775008878.761854,0.28481102
4149,1775008884.536559,0.292389125
4199,1775008890.344967,0.262685001
4249,1775008896.142511,0.246688157
4299,1775008902.132385,0.284151793
4349,1775008908.089860,0.230699524
4399,1775008913.924244,0.267771363
4449,1775008920.735229,0.251929015
4499,1775008926.709996,0.279181778
4549,1775008932.733950,0.23376438
4599,1775008938.679417,0.260124564
4649,1775008944.793809,0.31805855
4699,1775008950.801785,0.244588196
4749,1775008956.742096,0.28101182
4799,1775008962.772259,0.254009545
4849,1775008968.603107,0.23930648
4899,1775008974.650480,0.255265445
4949,1775008980.742336,0.264268756
4999,1775008986.726850,0.270317733
5049,1775008992.610652,0.267356515
5099,1775008998.647505,0.247906715
5149,1775009004.769136,0.275972664
5199,1775009010.826445,0.227475941
5249,1775009017.066516,0.243027389
5299,1775009022.947059,0.228129476
5349,1775009028.844804,0.260090441
5399,1775009035.784900,0.238708317
5449,1775009041.629487,0.244168967
5499,1775009047.529053,0.282107115
5549,1775009053.457109,0.251402676
5599,1775009059.338635,0.237624556
5649,1775009065.264410,0.242722213
5699,1775009071.300595,0.219739199
5749,1775009077.412222,0.226804137
5799,1775009083.408511,0.221972346
5849,1775009089.539129,0.213984758
5899,1775009095.537163,0.246613503
5949,1775009101.509238,0.20436576
5999,1775009107.639297,0.173967034
6049,1775009113.580576,0.212638319
6099,1775009119.653924,0.239354059
6149,1775009125.697029,0.214687631
6199,1775009131.636676,0.226923093
6249,1775009137.775522,0.194840357
6299,1775009145.453159,0.241147578
6349,1775009151.478135,0.203364104
6399,1775009157.643737,0.238803893
6449,1775009163.760672,0.18966049
6499,1775009169.780917,0.213455245
6549,1775009175.753152,0.227781504
6599,1775009181.728192,0.211521327
6649,1775009187.622688,0.265127659
6699,1775009193.596701,0.225007683
6749,1775009199.680585,0.214204818
6799,1775009205.908306,0.268139482
6849,1775009212.046319,0.199426353
6899,1775009218.010411,0.17724593
6949,1775009224.086548,0.236440256
6999,1775009230.218705,0.219875932
7049,1775009236.362169,0.272149593
7099,1775009242.372301,0.170512408
7149,1775009248.518216,0.204857171
7199,1775009254.593638,0.218604058
7249,1775009262.387879,0.256746531
7299,1775009268.213527,0.243550897
7349,1775009274.099385,0.250227034
7399,1775009280.101069,0.191757321
7449,1775009286.115753,0.215051234
7499,1775009292.116750,0.201737851
7549,1775009297.976757,0.193574131
7599,1775009303.717287,0.188901871
7649,1775009309.735521,0.20217979
7699,1775009315.485512,0.227720022
7749,1775009321.102634,0.218338847
7799,1775009326.893232,0.201631382
7849,1775009332.972993,0.218543231
7899,1775009338.919452,0.209361628
7949,1775009344.935682,0.253030121
7999,1775009350.696653,0.205220833
8049,1775009356.725125,0.220249996
8099,1775009362.789665,0.214791387
8149,1775009369.849457,0.190979034
8199,1775009375.833499,0.233961195
8249,1775009381.908568,0.203980923
8299,1775009388.062229,0.218206495
8349,1775009394.225670,0.207464769
8399,1775009400.274095,0.189112082
8449,1775009406.251065,0.200322479
8499,1775009412.339275,0.187927008
8549,1775009418.471857,0.245678842
8599,1775009424.413429,0.217988327
8649,1775009430.563336,0.179066971
8699,1775009436.627393,0.206595555
8749,1775009442.810358,0.21287176
8799,1775009448.985565,0.176049978
8849,1775009455.198117,0.209198236
8899,1775009461.155550,0.18918094
8949,1775009467.351830,0.180372238
8999,1775009473.541750,0.235325709
9049,1775009479.456568,0.211330578
9099,1775009486.556628,0.194922492
9149,1775009492.489918,0.19501698
9199,1775009498.546678,0.223097026
9249,1775009504.483038,0.196209326
9299,1775009510.421653,0.2225492
9349,1775009516.264806,0.190424144
9399,1775009522.235842,0.235459104
9449,1775009528.260463,0.248309389
9499,1775009534.237119,0.196379125
9549,1775009540.282878,0.178922668
9599,1775009546.289593,0.199939564
9649,1775009552.408448,0.181287795
9699,1775009558.614927,0.239123464
9749,1775009564.361572,0.228349537
9799,1775009570.433185,0.186035782
9849,1775009576.357839,0.179041669
9899,1775009582.365949,0.191799298
9949,1775009588.895427,0.186795726
9999,1775009595.248834,0.200085863
10049,1775009601.406681,0.222877473
10099,1775009607.303711,0.237737358
10149,1775009613.312267,0.227178946
10199,1775009619.457639,0.189752609
10249,1775009625.504063,0.186089128
10299,1775009631.431747,0.208582401
10349,1775009637.565348,0.222554728
10399,1775009643.561317,0.220869943
10449,1775009649.495314,0.21691525
10499,1775009655.485957,0.22846289
10549,1775009661.367723,0.18696095
10599,1775009667.430267,0.23635304
10649,1775009673.242428,0.193767533
10699,1775009679.290644,0.209971637
10749,1775009685.425663,0.17610538
10799,1775009691.543923,0.167756081
10849,1775009697.674020,0.166784018
10899,1775009704.521211,0.184252068
10949,1775009710.518802,0.217450768
10999,1775009716.616069,0.24737829
11049,1775009722.705452,0.184013188
11099,1775009728.808300,0.200411871
11149,1775009734.952374,0.211258799
11199,1775009740.998402,0.235658258
11249,1775009747.055653,0.202697009
11299,1775009753.162974,0.263874888
11349,1775009759.198352,0.267772138
11399,1775009765.310879,0.213219687
11449,1775009771.361323,0.127063245
11499,1775009777.397094,0.181440771
11549,1775009783.469499,0.199841768
11599,1775009789.515025,0.168655396
11649,1775009795.437358,0.20354116
11699,1775009801.380119,0.172993049
11749,1775009808.104891,0.221236527
11799,1775009814.239476,0.244624496
11849,1775009820.298969,0.205658078
11899,1775009826.420757,0.162959814
11949,1775009832.454000,0.204734191
11999,1775009838.402561,0.168392479
12049,1775009844.301856,0.224438161
12099,1775009850.457810,0.195648327
12149,1775009856.697758,0.216489151
12199,1775009862.779543,0.209481984
12249,1775009868.854748,0.197613627
12299,1775009874.929578,0.258997291
12349,1775009880.997300,0.219993085
12399,1775009887.051368,0.188080922
12449,1775009893.056025,0.185049772
12499,1775009899.035239,0.203837425
12549,1775009904.986290,0.230726555
12599,1775009911.055010,0.217554361
12649,1775009917.790361,0.206872478
12699,1775009923.790525,0.22481975
12749,1775009929.949512,0.186248899
12799,1775009936.246491,0.194725037
12849,1775009942.423955,0.180595681
12899,1775009948.641203,0.195546299
12949,1775009954.561235,0.190854713
12999,1775009960.554538,0.183844835
13049,1775009966.694357,0.229431629
13099,1775009972.786875,0.212150842
13149,1775009978.967053,0.202890322
13199,1775009985.180031,0.183199555
13249,1775009991.455035,0.22575368
13299,1775009997.430247,0.182900816
13349,1775010003.550129,0.221224859
13399,1775010009.797678,0.20551993
13449,1775010015.996064,0.254357904
13499,1775010022.028896,0.213854283
13549,1775010027.928749,0.198749021
13599,1775010035.237067,0.224873811
13649,1775010041.226269,0.214129195
13699,1775010047.434336,0.181401983
13749,1775010053.450021,0.18723239
13799,1775010059.432130,0.22508198
13849,1775010065.543913,0.143881515
13899,1775010071.560912,0.239122868
13949,1775010077.613010,0.169201046
13999,1775010083.631634,0.196324065
14049,1775010089.728184,0.164438874
14099,1775010095.893632,0.203813002
14149,1775010101.834739,0.22552529
14199,1775010107.861336,0.224269032
14249,1775010113.946772,0.215318099
14299,1775010119.906851,0.218234509
14349,1775010125.831719,0.201690793
14399,1775010131.838875,0.223488972
14449,1775010137.895431,0.19129166
14499,1775010144.044660,0.178985685
14549,1775010151.317525,0.18423371
14599,1775010157.427649,0.204940408
14649,1775010163.732697,0.234131321
14699,1775010170.232481,0.205633029
14749,1775010176.271977,0.194174409
14799,1775010182.469769,0.242150381
14849,1775010188.527343,0.194899768
14899,1775010194.779124,0.213495806
14949,1775010200.883258,0.199597508
14999,1775010206.947173,0.203197375
15049,1775010213.062473,0.234173387
15099,1775010219.178516,0.210769236
15149,1775010225.179173,0.168153912
15199,1775010231.199810,0.205660164
15249,1775010237.227417,0.174930632
15299,1775010243.379460,0.197237849
15349,1775010249.483993,0.202273473
15399,1775010255.491544,0.240447402
15449,1775010263.129923,0.225593284
15499,1775010268.991786,0.227584139
15549,1775010274.985664,0.202297717
15599,1775010281.011495,0.244508564
15649,1775010287.128790,0.204232961
15699,1775010293.464807,0.19491604
15749,1775010299.517123,0.194287479
15799,1775010305.707131,0.20143193
15849,1775010311.740078,0.237646401
15899,1775010317.705298,0.2529971
15949,1775010323.755790,0.205219835
15999,1775010329.801623,0.187428981
16049,1775010335.717412,0.151001573
16099,1775010341.822214,0.178881168
16149,1775010347.885062,0.190845579
16199,1775010353.752434,0.216923147
16249,1775010359.652729,0.172446817
16299,1775010365.804497,0.164577007
16349,1775010373.667034,0.181193441
16399,1775010379.586599,0.186862081
16449,1775010385.687724,0.228849053
16499,1775010391.694492,0.196279541
16549,1775010397.780507,0.284368843
16599,1775010403.862216,0.172618672
16649,1775010409.946459,0.237032562
16699,1775010415.971930,0.201850235
16749,1775010421.992915,0.21674946
16799,1775010427.926451,0.211457729
16849,1775010433.702770,0.193512857
16899,1775010439.686295,0.215690225
16949,1775010445.687356,0.190516323
16999,1775010451.646278,0.234997109
17049,1775010457.585855,0.173989087
17099,1775010463.726981,0.230362773
17149,1775010469.664843,0.196484178
17199,1775010475.799254,0.218979061
17249,1775010483.077664,0.193283379
17299,1775010489.241195,0.181709886
17349,1775010495.369404,0.171936959
17399,1775010501.466640,0.235302955
17449,1775010507.490320,0.192431927
17499,1775010513.721718,0.177767575
17549,1775010519.794632,0.17784512
17599,1775010525.914443,0.17611964
17649,1775010531.995942,0.191515312
17699,1775010538.133960,0.212263137
17749,1775010544.201939,0.214329362
17799,1775010550.047711,0.194794714
17849,1775010556.275290,0.220480248
17899,1775010562.468363,0.199037164
17949,1775010568.627901,0.203879312
17999,1775010574.608540,0.146407589
18049,1775010580.519353,0.211003721
18099,1775010586.753314,0.196892768
18149,1775010593.285408,0.220535114
18199,1775010599.174775,0.253555834
18249,1775010605.384758,0.2038645
18299,1775010611.424311,0.226076812
18349,1775010617.400524,0.200859129
18399,1775010623.690579,0.188780516
18449,1775010629.998547,0.234487057
18499,1775010635.953302,0.191709831
18549,1775010642.080617,0.173921496
18599,1775010648.078101,0.221080184
18649,1775010654.044342,0.249436051
18699,1775010660.196790,0.230668485
18749,1775010666.156386,0.201537833
18799,1775010672.104577,0.193696141
18849,1775010678.038909,0.269105732
18899,1775010683.948629,0.238696173
18949,1775010690.079010,0.190648019
18999,1775010696.177835,0.172611982
19049,1775010703.556690,0.203449398
19099,1775010709.801060,0.20582211
19149,1775010715.788940,0.134631217
19199,1775010721.909782,0.181851223
19249,1775010728.044002,0.195253491
19299,1775010734.109804,0.188941836
19349,1775010740.205232,0.205552384
19399,1775010746.275238,0.179187387
19449,1775010752.335444,0.206102729
19499,1775010758.454386,0.183849484
19549,1775010764.535220,0.180022627
19599,1775010770.546493,0.20899868
19649,1775010776.674546,0.167221069
19699,1775010782.766272,0.193529963
19749,1775010788.660159,0.190843016
19799,1775010794.707905,0.192724779
19849,1775010800.646555,0.206418082
19899,1775010806.603058,0.154674143
19949,1775010814.107543,0.193326265
19999,1775010820.352375,0.209189042
20049,1775010826.616678,0.251384556
20099,1775010832.961605,0.239085436
20149,1775010839.040262,0.172752634
20199,1775010845.215639,0.202331737
20249,1775010851.466198,0.199256912
20299,1775010857.463621,0.223563746
20349,1775010863.504012,0.204349682
20399,1775010869.503563,0.202644065
20449,1775010875.572202,0.245178282
20499,1775010882.261717,0.194459736
20549,1775010888.869379,0.226934582
20599,1775010895.096647,0.195122004
20649,1775010901.195365,0.186890334
20699,1775010907.202345,0.16958037
20749,1775010913.240077,0.213701308
20799,1775010919.153497,0.212319583
20849,1775010925.135700,0.205110818
20899,1775010932.266742,0.188602403
20949,1775010938.427928,0.232011914
20999,1775010944.668802,0.199470699
21049,1775010950.566519,0.18984738
21099,1775010956.639947,0.179897606
21149,1775010962.754771,0.188100457
21199,1775010968.836385,0.185170054
21249,1775010974.968437,0.223186448
21299,1775010981.049032,0.215245128
21349,1775010987.140443,0.240873039
21399,1775010993.250447,0.205177039
21449,1775010999.315174,0.1813353
21499,1775011005.473190,0.194557697
