step,wall_time,value
49,1775008383.517004,0
99,1775008389.492059,0
149,1775008395.328590,0
199,1775008401.321874,0
249,1775008407.327684,0
299,1775008413.444280,0
349,1775008419.457633,0
399,1775008425.570658,0
449,1775008431.582290,0
499,1775008437.548358,0
549,1775008443.460503,0
599,1775008449.256360,0
649,1775008455.251678,0
699,1775008461.277150,0
749,1775008468.508939,0
799,1775008474.611375,0
849,1775008480.481228,0
899,1775008486.513002,0
949,1775008492.348547,0
999,1775008498.345618,0
1049,1775008504.226017,0
1099,1775008510.127553,0
1149,1775008515.966820,0
1199,1775008521.902580,0
1249,1775008527.730744,0
1299,1775008533.678653,0
1349,1775008539.570415,0
1399,1775008545.402223,0
1449,1775008551.323252,0
1499,1775008557.300125,0
1549,1775008563.251452,0
1599,1775008569.111855,0
1649,1775008575.151228,0
1699,1775008581.929209,0
1749,1775008587.768494,0
1799,1775008593.845144,0
1849,1775008599.774409,0
1899,1775008605.839446,0
1949,1775008611.704087,0
1999,1775008617.676637,0
2049,1775008623.717330,0
2099,1775008629.657872,0
2149,1775008635.743031,0
2199,1775008641.625020,0
2249,1775008647.517730,0
2299,1775008653.659922,0
2349,1775008659.629542,0
2399,1775008665.684994,0
2449,1775008671.759560,0
2499,1775008677.802254,0
2549,1775008683.734359,0
2599,1775008689.727313,0
2649,1775008697.712221,0
2699,1775008704.029429,0
2749,1775008710.405653,0
2799,1775008717.048338,0
2849,1775008723.575659,0
2899,1775008730.239406,0
2949,1775008736.760251,0
2999,1775008743.408373,0
3049,1775008750.137468,0
3099,1775008756.374679,0
3149,1775008762.440283,0
3199,1775008768.436114,0
3249,1775008774.578818,0
3299,1775008780.717338,0
3349,1775008786.791860,0
3399,1775008792.777013,0
3449,1775008798.798933,0
3499,1775008804.942999,0
3549,1775008812.355582,0
3599,1775008818.611776,0
3649,1775008824.732226,0
3699,1775008830.845252,0
3749,1775008836.777490,0
3799,1775008842.882712,0
3849,1775008848.946650,0
3899,1775008854.883303,0
3949,1775008860.997109,0
3999,1775008866.918718,0
4049,1775008872.895609,0
4099,1775008878.761840,0
4149,1775008884.536545,0
