step,wall_time,value
49,1775008383.516969,0
99,1775008389.492029,0
149,1775008395.328560,0
199,1775008401.321824,0
249,1775008407.327656,0
299,1775008413.444237,0
349,1775008419.457592,0
399,1775008425.570629,0
449,1775008431.582255,0
499,1775008437.548327,0
549,1775008443.460469,0
599,1775008449.256331,0
649,1775008455.251650,0
699,1775008461.277120,0
749,1775008468.508897,0
799,1775008474.611346,0
849,1775008480.481198,0
899,1775008486.512960,0
949,1775008492.348503,0
999,1775008498.345575,0
1049,1775008504.225989,0
1099,1775008510.127524,0
1149,1775008515.966790,0
1199,1775008521.902538,0
1249,1775008527.730716,0
1299,1775008533.678625,0
1349,1775008539.570373,0
1399,1775008545.402183,0
1449,1775008551.323224,0
1499,1775008557.300094,0
1549,1775008563.251421,0
1599,1775008569.111825,0
1649,1775008575.151201,0
1699,1775008581.928877,0
1749,1775008587.768465,0
1799,1775008593.845115,0
1849,1775008599.774380,0
1899,1775008605.839417,0
1949,1775008611.704046,0
1999,1775008617.676608,0
2049,1775008623.717300,0
2099,1775008629.657820,0
2149,1775008635.743001,0
2199,1775008641.624992,0
2249,1775008647.517702,0
2299,1775008653.659309,0
2349,1775008659.629503,0
2399,1775008665.684951,0
2449,1775008671.759511,0
2499,1775008677.802223,0
2549,1775008683.734331,0
2599,1775008689.727273,0
2649,1775008697.712193,0
2699,1775008704.029395,0
2749,1775008710.405621,0
2799,1775008717.048292,0
2849,1775008723.575625,0
2899,1775008730.239373,0
2949,1775008736.760214,0
2999,1775008743.408331,0
3049,1775008750.137440,0
3099,1775008756.374649,0
3149,1775008762.440253,0
3199,1775008768.436085,0
3249,1775008774.578784,0
3299,1775008780.717308,0
3349,1775008786.791830,0
3399,1775008792.776983,0
3449,1775008798.798900,0
3499,1775008804.942959,0
3549,1775008812.355536,0
3599,1775008818.611746,0
3649,1775008824.732197,0
3699,1775008830.845224,0
3749,1775008836.777463,0
3799,1775008842.882680,0
3849,1775008848.946413,0
3899,1775008854.883273,0
3949,1775008860.997080,0
3999,1775008866.918690,0
4049,1775008872.895580,0
4099,1775008878.761812,0
4149,1775008884.536517,0
4199,1775008890.344917,0
4249,1775008896.142467,0
4299,1775008902.132341,0
4349,1775008908.089817,0
4399,1775008913.924201,0
4449,1775008920.735183,0
4499,1775008926.709932,0
4549,1775008932.733902,0
4599,1775008938.679355,0
4649,1775008944.793750,0
4699,1775008950.801738,0
4749,1775008956.742050,0
4799,1775008962.772215,0
4849,1775008968.603064,0
4899,1775008974.650435,0
4949,1775008980.742294,0
4999,1775008986.726803,0
5049,1775008992.610607,0
5099,1775008998.647451,0
5149,1775009004.769089,0
5199,1775009010.826402,0
5249,1775009017.066468,0
5299,1775009022.947017,0
5349,1775009028.844754,0
5399,1775009035.784825,0
5449,1775009041.629445,0
5499,1775009047.529007,0
5549,1775009053.457066,0
5599,1775009059.338592,0
5649,1775009065.264359,0
5699,1775009071.300532,0
5749,1775009077.412179,0
5799,1775009083.408465,0
5849,1775009089.539080,0
5899,1775009095.537112,0
5949,1775009101.509195,0
5999,1775009107.639254,0
6049,1775009113.580533,0
6099,1775009119.653827,0
6149,1775009125.696986,0
6199,1775009131.636632,0
6249,1775009137.775476,0
6299,1775009145.453090,0
6349,1775009151.478078,0
6399,1775009157.643676,0
6449,1775009163.760612,0
6499,1775009169.780861,0
6549,1775009175.753108,0
6599,1775009181.728128,0
6649,1775009187.622643,0
6699,1775009193.596653,0
6749,1775009199.680542,0
6799,1775009205.908261,0
6849,1775009212.046262,0
6899,1775009218.010369,0
6949,1775009224.086487,0
6999,1775009230.218660,0
7049,1775009236.362114,0
7099,1775009242.372249,0
7149,1775009248.518154,0
7199,1775009254.593596,0
7249,1775009262.387830,0
7299,1775009268.213473,0
7349,1775009274.099341,0
7399,1775009280.101002,0
7449,1775009286.115691,0
7499,1775009292.116708,0
7549,1775009297.976711,0
7599,1775009303.717241,0
7649,1775009309.735466,0
7699,1775009315.485464,0
7749,1775009321.102572,0
7799,1775009326.893181,0
7849,1775009332.972894,0
7899,1775009338.919383,0
7949,1775009344.935618,0
7999,1775009350.696608,0
8049,1775009356.725065,0
8099,1775009362.789616,0
8149,1775009369.849412,0
8199,1775009375.833455,0
8249,1775009381.908523,0
8299,1775009388.062166,0
8349,1775009394.225627,0
8399,1775009400.274034,0
8449,1775009406.251002,0
8499,1775009412.339231,0
8549,1775009418.471812,0
8599,1775009424.413378,0
8649,1775009430.563288,0
8699,1775009436.627351,0
8749,1775009442.810315,0
8799,1775009448.985502,0
8849,1775009455.198074,0
8899,1775009461.155497,0
8949,1775009467.351764,0
8999,1775009473.541704,0
9049,1775009479.456525,0
9099,1775009486.556579,0
9149,1775009492.489857,0
9199,1775009498.546614,0
9249,1775009504.482974,0
9299,1775009510.421588,0
9349,1775009516.264751,0
9399,1775009522.235790,0
9449,1775009528.260415,0
9499,1775009534.237069,0
9549,1775009540.282827,0
9599,1775009546.289548,0
9649,1775009552.408383,0
9699,1775009558.614869,0
9749,1775009564.361509,0
9799,1775009570.433141,0
9849,1775009576.357797,0
9899,1775009582.365898,0
9949,1775009588.895369,0
9999,1775009595.248789,0
10049,1775009601.406636,0
10099,1775009607.303649,0
10149,1775009613.312226,0
10199,1775009619.457595,0
10249,1775009625.504017,0
10299,1775009631.431697,0
10349,1775009637.565306,0
10399,1775009643.561276,0
10449,1775009649.495269,0
10499,1775009655.485902,0
10549,1775009661.367665,0
10599,1775009667.430224,0
10649,1775009673.242384,0
10699,1775009679.290596,0
10749,1775009685.425601,0
10799,1775009691.543863,0
10849,1775009697.673958,0
10899,1775009704.521160,0
10949,1775009710.518744,0
10999,1775009716.616025,0
11049,1775009722.705387,0
11099,1775009728.808258,0
11149,1775009734.952330,0
11199,1775009740.998336,0
11249,1775009747.055590,0
11299,1775009753.162931,0
11349,1775009759.198307,0
11399,1775009765.310807,0
11449,1775009771.361277,0
11499,1775009777.397051,0
11549,1775009783.469453,0
11599,1775009789.514978,0
11649,1775009795.437292,0
11699,1775009801.380072,0
11749,1775009808.104819,0
11799,1775009814.238508,0
11849,1775009820.298898,0
11899,1775009826.420694,0
11949,1775009832.453928,0
11999,1775009838.402513,0
12049,1775009844.301790,0
12099,1775009850.457755,0
12149,1775009856.697685,0
12199,1775009862.779451,0
12249,1775009868.854686,0
12299,1775009874.929519,0
12349,1775009880.997240,0
12399,1775009887.051326,0
12449,1775009893.055983,0
12499,1775009899.035197,0
12549,1775009904.986235,0
12599,1775009911.054950,0
12649,1775009917.790316,0
12699,1775009923.790477,0
12749,1775009929.949468,0
