step,wall_time,value
49,1775008383.517041,0.795372248
99,1775008389.492087,0.802039206
149,1775008395.328620,0.804956317
199,1775008401.321930,0.794907451
249,1775008407.327713,0.768886089
299,1775008413.444323,0.773004353
349,1775008419.457673,0.718232095
399,1775008425.570689,0.694512725
449,1775008431.582324,0.668951809
499,1775008437.548388,0.660295486
549,1775008443.460533,0.671108842
599,1775008449.256390,0.650618911
649,1775008455.251708,0.623440802
699,1775008461.277179,0.613825083
749,1775008468.508976,0.621729851
799,1775008474.611402,0.604195833
849,1775008480.481258,0.569123685
899,1775008486.513041,0.609278321
949,1775008492.348590,0.562388599
999,1775008498.345660,0.582755148
1049,1775008504.226046,0.585841477
1099,1775008510.127582,0.587957263
1149,1775008515.966849,0.566755652
1199,1775008521.902621,0.550333381
1249,1775008527.730775,0.569822609
1299,1775008533.678683,0.55163765
1349,1775008539.570458,0.545112073
1399,1775008545.402262,0.556252837
1449,1775008551.323280,0.541769862
1499,1775008557.300153,0.521295309
1549,1775008563.251480,0.539151669
1599,1775008569.112114,0.541407824
1649,1775008575.151255,0.531768441
1699,1775008581.929575,0.5351969
1749,1775008587.768523,0.515918195
1799,1775008593.845174,0.499813855
1849,1775008599.774439,0.49469173
1899,1775008605.839475,0.513417542
1949,1775008611.704127,0.48709476
1999,1775008617.676664,0.478435099
2049,1775008623.717357,0.48197943
2099,1775008629.657933,0.472012281
2149,1775008635.743058,0.450416178
2199,1775008641.625047,0.459278643
2249,1775008647.517758,0.456997395
2299,1775008653.659969,0.472992599
2349,1775008659.629585,0.44139877
2399,1775008665.685036,0.425756633
2449,1775008671.759609,0.429156601
2499,1775008677.802289,0.380286217
2549,1775008683.734393,0.402128041
2599,1775008689.727353,0.394239575
2649,1775008697.712249,0.383287698
2699,1775008704.029461,0.352285177
2749,1775008710.405686,0.350156248
2799,1775008717.048384,0.357408762
2849,1775008723.575694,0.360717386
2899,1775008730.239440,0.37688458
2949,1775008736.760287,0.332924783
2999,1775008743.408417,0.371828318
3049,1775008750.137497,0.342809737
3099,1775008756.374709,0.31708917
3149,1775008762.440314,0.358801961
3199,1775008768.436144,0.295456976
3249,1775008774.578855,0.294570923
3299,1775008780.717365,0.296456397
3349,1775008786.791909,0.316357255
3399,1775008792.777045,0.292591244
3449,1775008798.798960,0.276816577
3499,1775008804.943041,0.324998468
3549,1775008812.355628,0.29230535
3599,1775008818.611805,0.314284742
3649,1775008824.732257,0.2801103
3699,1775008830.845280,0.311732531
3749,1775008836.777519,0.294473827
3799,1775008842.882746,0.28118369
3849,1775008848.946864,0.322925925
3899,1775008854.883331,0.278595537
3949,1775008860.997284,0.275216043
3999,1775008866.918746,0.279800445
4049,1775008872.895638,0.246945977
4099,1775008878.761870,0.28481102
4149,1775008884.536573,0.292389125
4199,1775008890.344982,0.262685001
4249,1775008896.142525,0.246688157
4299,1775008902.132399,0.284151793
4349,1775008908.089875,0.230699524
4399,1775008913.924258,0.267771363
4449,1775008920.735243,0.251929015
4499,1775008926.710016,0.279181778
4549,1775008932.733963,0.23376438
4599,1775008938.679440,0.260124564
4649,1775008944.793828,0.31805855
4699,1775008950.801800,0.244588196
4749,1775008956.742115,0.28101182
4799,1775008962.772273,0.254009545
4849,1775008968.603121,0.23930648
4899,1775008974.650495,0.255265445
4949,1775008980.742350,0.264268756
4999,1775008986.726865,0.270317733
5049,1775008992.610668,0.267356515
5099,1775008998.647521,0.247906715
5149,1775009004.769154,0.275972664
5199,1775009010.826459,0.227475941
5249,1775009017.066530,0.243027389
5299,1775009022.947072,0.228129476
5349,1775009028.844818,0.260090441
5399,1775009035.784924,0.238708317
5449,1775009041.629501,0.244168967
5499,1775009047.529069,0.282107115
5549,1775009053.457124,0.251402676
5599,1775009059.338650,0.237624556
5649,1775009065.264425,0.242722213
5699,1775009071.300619,0.219739199
5749,1775009077.412237,0.226804137
5799,1775009083.408525,0.221972346
5849,1775009089.539143,0.213984758
5899,1775009095.537177,0.246613503
5949,1775009101.509253,0.20436576
5999,1775009107.639314,0.173967034
6049,1775009113.580590,0.212638319
6099,1775009119.653953,0.239354059
6149,1775009125.697042,0.214687631
6199,1775009131.636690,0.226923093
6249,1775009137.775536,0.194840357
6299,1775009145.453182,0.241147578
6349,1775009151.478158,0.203364104
6399,1775009157.643756,0.238803893
6449,1775009163.760693,0.18966049
6499,1775009169.780931,0.213455245
6549,1775009175.753167,0.227781504
6599,1775009181.728213,0.211521327
6649,1775009187.622702,0.265127659
6699,1775009193.596717,0.225007683
6749,1775009199.680599,0.214204818
6799,1775009205.908322,0.268139482
6849,1775009212.046337,0.199426353
6899,1775009218.010425,0.17724593
6949,1775009224.086567,0.236440256
6999,1775009230.218719,0.219875932
7049,1775009236.362189,0.272149593
7099,1775009242.372317,0.170512408
7149,1775009248.518237,0.204857171
7199,1775009254.593652,0.218604058
