step,wall_time,value
30194,1775014755.726184,0.377743781
60389,1775021245.618107,0.315522552
90584,1775027788.811145,0.342446655
120779,1775034236.118838,0.364049584
150974,1775040721.387357,0.393966168
181169,1775047194.338660,0.391253799
211364,1775053695.824589,0.399996459
241559,1775060054.940814,0.389887571
271754,1775066504.444840,0.378957182
301949,1775072945.112559,0.369675368
332144,1775087601.386397,0.386823535
362339,1775094199.891123,0.384100348
392534,1775100695.028606,0.36932373
422729,1775107299.931611,0.368505359
452924,1775113898.607845,0.386680454
483119,1775120457.266186,0.386136413
513314,1775126996.600922,0.373369426
543509,1775133555.951015,0.382900745
573704,1775140029.821209,0.382557273
603899,1775146492.724844,0.380316079
634094,1775153504.778465,0.38047114
664289,1775160820.335486,0.373539329
694484,1775167339.515840,0.405300826
724679,1775173855.685347,0.379843503
754874,1775180353.156138,0.373960853
