step,wall_time,value
30194,1775014755.726021,0
60389,1775021245.617933,0.000173252454
90584,1775027788.810947,0.000151999629
120779,1775034236.118675,2.220446e-05
150974,1775040721.387155,2.220446e-05
181169,1775047194.338511,2.220446e-05
211364,1775053695.824475,0
241559,1775060054.940800,2.220446e-05
271754,1775066504.444729,4.88498117e-05
301949,1775072945.112431,2.220446e-05
332144,1775087601.386284,4.88498117e-05
362339,1775094199.891049,4.88498117e-05
392534,1775100695.028592,7.54951616e-05
422729,1775107299.931399,4.88498117e-05
452924,1775113898.607733,2.220446e-05
483119,1775120457.266112,4.88498117e-05
513314,1775126996.600840,4.88498117e-05
543509,1775133555.950857,4.88498117e-05
573704,1775140029.821137,7.54951616e-05
603899,1775146492.724718,4.88498117e-05
634094,1775153504.778369,4.88498117e-05
664289,1775160820.335471,7.54951616e-05
694484,1775167339.515727,0
724679,1775173855.685328,2.66453517e-05
754874,1775180353.156120,4.88498117e-05
