step,wall_time,value
30194,1775014755.726440,0.0291508287
60389,1775021245.618334,0.024315929
90584,1775027788.811320,0.0275786836
120779,1775034236.119103,0.0276205428
150974,1775040721.387537,0.0266661216
181169,1775047194.338931,0.0253423695
211364,1775053695.824961,0.02522346
241559,1775060054.941151,0.0240601432
271754,1775066504.445169,0.0241654702
301949,1775072945.112850,0.0259618498
332144,1775087601.386739,0.0279789697
362339,1775094199.891345,0.0267992374
392534,1775100695.028969,0.0304983296
422729,1775107299.931762,0.0322135016
452924,1775113898.608175,0.033821702
483119,1775120457.266667,0.0383116044
513314,1775126996.601300,0.0391077176
543509,1775133555.951247,0.0429196879
573704,1775140029.821430,0.0442047678
603899,1775146492.725134,0.0472545251
634094,1775153504.778872,0.0477572344
664289,1775160820.335530,0.0477065183
694484,1775167339.516142,0.0517646186
724679,1775173855.686057,0.0473591313
754874,1775180353.156467,0.0486481935
