step,wall_time,value
30194,1775014755.726331,0.30004406
60389,1775021245.618124,0.27391544
90584,1775027788.811162,0.299477637
120779,1775034236.118859,0.290083051
150974,1775040721.387375,0.266585886
181169,1775047194.338675,0.254110605
211364,1775053695.824703,0.249228269
241559,1775060054.940897,0.241409466
271754,1775066504.444962,0.246874496
301949,1775072945.112814,0.269710422
332144,1775087601.386511,0.28336978
362339,1775094199.891198,0.272257566
392534,1775100695.028934,0.318492562
422729,1775107299.931630,0.337444097
452924,1775113898.607925,0.3446531
483119,1775120457.266359,0.392602235
513314,1775126996.601270,0.409422934
543509,1775133555.951214,0.444317013
573704,1775140029.821282,0.458501071
603899,1775146492.724965,0.493523687
634094,1775153504.778723,0.498925388
664289,1775160820.335500,0.503947139
694484,1775167339.515966,0.521333218
724679,1775173855.685566,0.495051593
754874,1775180353.156303,0.514060318
