step,wall_time,value
30194,1775014755.726349,0.380238235
60389,1775021245.618310,0.316858858
90584,1775027788.811177,0.343826294
120779,1775034236.119082,0.366426229
150974,1775040721.387390,0.39805752
181169,1775047194.338690,0.395659029
211364,1775053695.824815,0.40483889
241559,1775060054.941135,0.394654572
271754,1775066504.445036,0.383198589
301949,1775072945.112833,0.372884125
332144,1775087601.386626,0.39014554
362339,1775094199.891271,0.387689739
392534,1775100695.028953,0.370953321
422729,1775107299.931745,0.369500041
452924,1775113898.608060,0.388024479
483119,1775120457.266379,0.385921091
513314,1775126996.601286,0.372203737
543509,1775133555.951231,0.380921841
573704,1775140029.821356,0.380111068
603899,1775146492.724982,0.37667191
634094,1775153504.778798,0.376657724
664289,1775160820.335515,0.369343996
694484,1775167339.516123,0.401565701
724679,1775173855.686037,0.37613517
754874,1775180353.156448,0.369452387
