step,wall_time,value
3773,1775252319.691206,0.947667778
7547,1775255472.555750,0.957573891
11321,1775258604.046743,0.954847515
15095,1775261786.475355,0.949594498
18869,1775264899.946800,0.952101827
22643,1775267998.859187,0.95103538
26417,1775271132.106954,0.956628323
30191,1775274229.176063,0.952054143
33965,1775277480.030681,0.953213036
37739,1775280738.169343,0.954406619
41513,1775283976.652442,0.952768028
45287,1775287172.651485,0.957367063
49061,1775290302.853478,0.95579654
52835,1775293564.926572,0.957794726
56609,1775296729.212070,0.954785347
60383,1775299898.693491,0.953561246
64157,1775303090.259334,0.955189526
67931,1775306288.816563,0.956337333
71705,1775309537.510111,0.956210971
75479,1775312842.383000,0.955091476
79253,1775316101.005445,0.956893086
83027,1775319343.524894,0.956082344
86801,1775322656.181520,0.956122041
90575,1775325912.881494,0.955811143
94349,1775329157.685287,0.955228388
