step,wall_time,value
49,1775249263.972842,0
99,1775249280.789412,0
149,1775249298.072299,0
199,1775249316.108095,0
249,1775249333.715910,0
299,1775249350.330322,0
349,1775249366.430070,0
399,1775249382.981142,0
449,1775249399.801300,0
499,1775249417.245224,0
549,1775249434.922386,0
599,1775249452.569755,0
649,1775249468.658282,0
699,1775249486.455241,0
749,1775249503.750901,0
799,1775249519.410299,0
849,1775249536.150741,0
899,1775249552.229647,0
949,1775249569.700229,0
999,1775249587.907582,0
1049,1775249604.217122,0
1099,1775249620.976798,0
1149,1775249637.568068,0
1199,1775249653.713120,0
1249,1775249669.722712,0
1299,1775249686.811966,0
1349,1775249703.398617,0
1399,1775249719.472051,0
1449,1775249735.222284,0
1499,1775249751.720627,0
1549,1775249767.665269,0
1599,1775249783.751747,0
1649,1775249800.083829,0
1699,1775249816.403629,0
1749,1775249832.341910,0
1799,1775249849.769759,0
1849,1775249866.387760,0
1899,1775249882.410852,0
1949,1775249898.255443,0
1999,1775249914.688712,0
2049,1775249930.579904,0
2099,1775249946.632428,0
2149,1775249963.162208,0
2199,1775249980.444066,0
2249,1775249996.860784,0
2299,1775250013.259621,0
2349,1775250029.390183,0
2399,1775250046.878289,0
2449,1775250062.829739,0
2499,1775250079.118054,0
2549,1775250095.552413,0
2599,1775250111.886395,0
2649,1775250128.572681,0
2699,1775250145.467608,0
2749,1775250161.439639,0
2799,1775250177.124377,0
2849,1775250193.500975,0
2899,1775250209.699169,0
2949,1775250225.823442,0
2999,1775250242.396327,0
3049,1775250258.948720,0
3099,1775250275.013220,0
3149,1775250290.800521,0
3199,1775250307.926503,0
3249,1775250323.580454,0
3299,1775250339.766293,0
3349,1775250356.050754,0
3399,1775250373.456062,0
3449,1775250389.286250,0
3499,1775250406.410562,0
3549,1775250422.971378,0
3599,1775250439.511123,0
3649,1775250456.220418,0
3699,1775250473.356623,0
3749,1775250489.286629,0
3773,1775252319.704671,0
3773,1775252320.079844,0
3799,1775252338.267302,1
3849,1775252355.343266,1
3899,1775252372.207908,1
3949,1775252388.830734,1
3999,1775252407.439149,1
4049,1775252424.149800,1
4099,1775252441.868939,1
4149,1775252459.199750,1
4199,1775252476.214771,1
4249,1775252493.579167,1
4299,1775252510.630746,1
4349,1775252527.663285,1
4399,1775252543.676109,1
4449,1775252561.067868,1
4499,1775252578.429370,1
4549,1775252595.163078,1
4599,1775252611.019216,1
4649,1775252628.781352,1
4699,1775252644.971644,1
4749,1775252660.802645,1
4799,1775252677.896074,1
4849,1775252695.091282,1
4899,1775252711.452180,1
4949,1775252728.498389,1
4999,1775252745.785761,1
5049,1775252762.782867,1
5099,1775252780.502045,1
5149,1775252799.628925,1
5199,1775252817.779106,1
5249,1775252835.816807,1
5299,1775252853.033712,1
5349,1775252870.996621,1
5399,1775252888.240958,1
5449,1775252906.069873,1
5499,1775252924.129695,1
5549,1775252942.528327,1
5599,1775252958.963675,1
5649,1775252976.739956,1
5699,1775252994.254019,1
5749,1775253011.805371,1
5799,1775253029.499334,1
5849,1775253047.637404,1
5899,1775253065.082915,1
5949,1775253083.251349,1
5999,1775253101.358593,1
6049,1775253118.356306,1
6099,1775253136.048621,1
6149,1775253152.396473,1
6199,1775253168.622284,1
6249,1775253184.961602,1
6299,1775253202.611553,1
6349,1775253218.618647,1
6399,1775253234.927652,1
6449,1775253250.861495,1
6499,1775253267.639775,1
6549,1775253284.458514,1
6599,1775253301.230682,1
6649,1775253318.153707,1
6699,1775253334.893438,1
6749,1775253352.591190,1
6799,1775253370.364435,1
6849,1775253387.048597,1
6899,1775253403.724906,1
6949,1775253420.322587,1
6999,1775253437.043387,1
7049,1775253453.278158,1
7099,1775253469.645190,1
7149,1775253485.726538,1
7199,1775253502.346293,1
7249,1775253518.261244,1
7299,1775253534.386241,1
7349,1775253551.549505,1
7399,1775253567.949791,1
7449,1775253584.600945,1
7499,1775253601.011143,1
7547,1775255472.570205,1
7547,1775255472.931375,1
7549,1775255481.565276,2
7599,1775255498.264839,2
7649,1775255514.475229,2
7699,1775255530.338174,2
7749,1775255547.244200,2
7799,1775255562.980850,2
7849,1775255579.519768,2
7899,1775255595.785960,2
7949,1775255613.187091,2
7999,1775255631.145649,2
8049,1775255650.386412,2
8099,1775255667.938549,2
8149,1775255685.621285,2
8199,1775255702.593234,2
8249,1775255719.851466,2
8299,1775255737.595292,2
8349,1775255755.477624,2
8399,1775255773.172995,2
8449,1775255790.764616,2
8499,1775255807.441903,2
8549,1775255824.052630,2
8599,1775255842.412112,2
8649,1775255861.258775,2
8699,1775255878.991006,2
8749,1775255896.755847,2
8799,1775255915.224262,2
8849,1775255933.106496,2
8899,1775255950.174131,2
8949,1775255967.698747,2
8999,1775255986.255322,2
9049,1775256004.240820,2
9099,1775256021.252261,2
9149,1775256039.436783,2
9199,1775256056.006668,2
9249,1775256073.677454,2
9299,1775256090.837267,2
9349,1775256108.476417,2
9399,1775256125.383607,2
9449,1775256142.122607,2
9499,1775256158.704174,2
9549,1775256175.023151,2
9599,1775256192.210056,2
9649,1775256210.355246,2
9699,1775256227.536507,2
9749,1775256245.286932,2
9799,1775256263.491736,2
9849,1775256280.508766,2
9899,1775256298.719135,2
9949,1775256316.251418,2
9999,1775256333.578345,2
10049,1775256352.316621,2
10099,1775256369.928589,2
10149,1775256387.507548,2
10199,1775256405.583384,2
10249,1775256423.733014,2
10299,1775256441.238486,2
10349,1775256458.519293,2
10399,1775256476.385546,2
10449,1775256494.053269,2
10499,1775256511.547759,2
10549,1775256528.864206,2
10599,1775256545.804133,2
10649,1775256563.906163,2
10699,1775256581.423171,2
10749,1775256598.637910,2
10799,1775256617.107694,2
10849,1775256634.856780,2
10899,1775256651.904430,2
10949,1775256669.379984,2
10999,1775256687.431049,2
11049,1775256705.158217,2
11099,1775256722.731211,2
11149,1775256740.285044,2
11199,1775256757.334927,2
11249,1775256774.487652,2
11299,1775256790.927569,2
11321,1775258604.059542,2
11321,1775258604.426081,2
11349,1775258621.552982,3
11399,1775258639.787327,3
11449,1775258658.031209,3
11499,1775258675.060688,3
11549,1775258692.514770,3
11599,1775258708.516726,3
11649,1775258724.990553,3
11699,1775258741.290309,3
11749,1775258757.054595,3
11799,1775258774.248719,3
11849,1775258791.215065,3
11899,1775258807.405995,3
11949,1775258825.989390,3
11999,1775258844.450298,3
12049,1775258861.581517,3
12099,1775258880.924019,3
12149,1775258898.608661,3
12199,1775258917.265660,3
12249,1775258933.241103,3
12299,1775258951.595820,3
12349,1775258969.581751,3
12399,1775258987.389159,3
12449,1775259005.013124,3
12499,1775259022.560340,3
12549,1775259039.689465,3
12599,1775259056.929862,3
12649,1775259074.587041,3
12699,1775259091.352994,3
12749,1775259108.634775,3
12799,1775259125.873732,3
12849,1775259144.236316,3
12899,1775259160.504215,3
12949,1775259176.854597,3
12999,1775259194.522161,3
13049,1775259211.685731,3
13099,1775259229.182662,3
13149,1775259245.818916,3
13199,1775259263.465879,3
13249,1775259281.416360,3
13299,1775259299.505814,3
13349,1775259316.029174,3
13399,1775259332.689746,3
13449,1775259350.510144,3
13499,1775259367.803972,3
13549,1775259383.890204,3
13599,1775259401.072711,3
13649,1775259416.761614,3
13699,1775259432.686533,3
13749,1775259449.180773,3
13799,1775259467.994533,3
13849,1775259485.647542,3
13899,1775259503.622093,3
13949,1775259520.225343,3
13999,1775259536.811108,3
14049,1775259554.746304,3
14099,1775259571.522245,3
14149,1775259588.103253,3
14199,1775259604.089532,3
14249,1775259620.180315,3
14299,1775259637.782111,3
14349,1775259656.824452,3
14399,1775259674.605571,3
14449,1775259690.381457,3
14499,1775259707.694798,3
14549,1775259725.235988,3
14599,1775259742.074977,3
14649,1775259759.334850,3
14699,1775259775.437943,3
14749,1775259793.483964,3
14799,1775259811.160640,3
14849,1775259827.724530,3
14899,1775259845.097696,3
