step,wall_time,value
3773,1775252319.702597,0.0449211709
7547,1775255472.567764,0.0500508919
11321,1775258604.057457,0.0723684952
15095,1775261786.486576,0.108840965
18869,1775264899.958193,0.13856937
22643,1775267998.870982,0.131725803
26417,1775271132.118742,0.140215024
30191,1775274229.187167,0.1474794
33965,1775277480.042524,0.139569819
37739,1775280738.180147,0.129920423
41513,1775283976.663813,0.144368872
45287,1775287172.663330,0.145525783
49061,1775290302.866269,0.144214198
52835,1775293564.937937,0.148187369
56609,1775296729.223454,0.146108404
60383,1775299898.705045,0.149140641
64157,1775303090.270790,0.146381542
67931,1775306288.827421,0.14462164
71705,1775309537.521468,0.141849771
75479,1775312842.393673,0.146333426
79253,1775316101.016523,0.145096794
83027,1775319343.536421,0.146730244
86801,1775322656.191975,0.145818114
90575,1775325912.892933,0.147268713
94349,1775329157.696498,0.14726527
