step,wall_time,value
49,1775249263.972677,0.773505688
99,1775249280.789365,0.7265625
149,1775249298.072249,0.673834205
199,1775249316.108039,0.625613809
249,1775249333.715861,0.591150105
299,1775249350.330253,0.567141891
349,1775249366.429954,0.549513817
399,1775249382.980953,0.532422304
449,1775249399.801244,0.522713363
499,1775249417.245172,0.50497669
549,1775249434.922237,0.488299459
599,1775249452.569707,0.472304165
649,1775249468.658231,0.458916247
699,1775249486.455102,0.458310366
749,1775249503.750854,0.445818365
799,1775249519.410228,0.429847777
849,1775249536.150694,0.423443079
899,1775249552.229599,0.392447233
949,1775249569.700101,0.386382461
999,1775249587.907528,0.380407393
1049,1775249604.217032,0.33829999
1099,1775249620.976742,0.308581352
1149,1775249637.567938,0.29910332
1199,1775249653.712956,0.312795281
1249,1775249669.722668,0.268982708
1299,1775249686.811867,0.276178867
1349,1775249703.398488,0.25561738
1399,1775249719.471996,0.25154531
1449,1775249735.222157,0.249651998
1499,1775249751.720549,0.232804805
1549,1775249767.665204,0.240361303
1599,1775249783.751640,0.233993173
1649,1775249800.083787,0.235510126
1699,1775249816.403312,0.227430493
1749,1775249832.341756,0.242836371
1799,1775249849.769688,0.223491117
1849,1775249866.387649,0.222250283
1899,1775249882.410807,0.226932555
1949,1775249898.255385,0.206977159
1999,1775249914.688656,0.219957203
2049,1775249930.579832,0.206931204
2099,1775249946.632302,0.210610837
2149,1775249963.162063,0.209324658
2199,1775249980.443901,0.223290801
2249,1775249996.860709,0.203291148
2299,1775250013.259481,0.222991392
2349,1775250029.390110,0.206656098
2399,1775250046.878239,0.208161935
2449,1775250062.829666,0.197917223
2499,1775250079.117987,0.198935568
2549,1775250095.552371,0.222641677
2599,1775250111.886272,0.2083202
2649,1775250128.572615,0.203062251
2699,1775250145.467540,0.197126895
2749,1775250161.439584,0.199535847
2799,1775250177.124240,0.190258503
2849,1775250193.500815,0.190467864
2899,1775250209.699041,0.204571128
2949,1775250225.823307,0.207594484
2999,1775250242.396159,0.189742714
3049,1775250258.948543,0.191152573
3099,1775250275.013135,0.194182694
3149,1775250290.800447,0.205064833
3199,1775250307.926365,0.196455479
3249,1775250323.580327,0.192187726
3299,1775250339.766246,0.201264292
3349,1775250356.050706,0.176113263
3399,1775250373.455981,0.197951734
3449,1775250389.286168,0.18353647
3499,1775250406.410494,0.216006428
3549,1775250422.971337,0.202879742
3599,1775250439.510986,0.184404284
3649,1775250456.220281,0.185133576
3699,1775250473.356460,0.186786756
3749,1775250489.286574,0.205549151
3799,1775252338.267207,0.191413581
3849,1775252355.343136,0.178133547
3899,1775252372.207851,0.1885809
3949,1775252388.830654,0.169844985
3999,1775252407.439103,0.186389297
4049,1775252424.149674,0.187849388
4099,1775252441.868881,0.188031226
4149,1775252459.199702,0.192329526
4199,1775252476.214643,0.192727953
4249,1775252493.579016,0.172984794
4299,1775252510.630611,0.19050324
4349,1775252527.663227,0.174065977
4399,1775252543.676044,0.1915977
4449,1775252561.067746,0.180268094
4499,1775252578.429308,0.180843025
4549,1775252595.163036,0.180663139
4599,1775252611.019080,0.186856374
4649,1775252628.781302,0.182690889
4699,1775252644.971567,0.192330033
4749,1775252660.802575,0.185531437
4799,1775252677.895942,0.180202395
