step,wall_time,value
49,1775249263.972587,0
99,1775249280.789277,0
149,1775249298.072155,0
199,1775249316.107944,0
249,1775249333.715799,0
299,1775249350.330130,0
349,1775249366.429828,0
399,1775249382.980850,0
449,1775249399.801097,0
499,1775249417.245075,0
549,1775249434.922158,0
599,1775249452.569626,0
649,1775249468.658138,0
699,1775249486.455019,0
749,1775249503.750786,0
799,1775249519.410049,0
849,1775249536.150607,0
899,1775249552.229504,0
949,1775249569.700038,0
999,1775249587.907436,0
1049,1775249604.216970,0
1099,1775249620.976659,0
1149,1775249637.567792,0
1199,1775249653.712849,0
1249,1775249669.722605,0
1299,1775249686.811690,0
1349,1775249703.398416,0
1399,1775249719.471909,0
1449,1775249735.222034,0
1499,1775249751.720421,0
1549,1775249767.665081,0
1599,1775249783.751570,0
1649,1775249800.083722,0
1699,1775249816.403206,0
1749,1775249832.341620,0
1799,1775249849.769595,0
1849,1775249866.387566,0
1899,1775249882.410742,0
1949,1775249898.255298,0
1999,1775249914.688556,0
2049,1775249930.579738,0
2099,1775249946.632226,0
2149,1775249963.161968,0
2199,1775249980.443796,0
2249,1775249996.860585,0
2299,1775250013.259390,0
2349,1775250029.390017,0
2399,1775250046.878109,0
2449,1775250062.829485,0
2499,1775250079.117790,0
2549,1775250095.552206,0
2599,1775250111.886209,0
2649,1775250128.572417,0
2699,1775250145.467381,0
2749,1775250161.439496,0
2799,1775250177.124182,0
2849,1775250193.500692,0
2899,1775250209.698919,0
2949,1775250225.823212,0
2999,1775250242.396067,0
3049,1775250258.948457,0
3099,1775250275.012922,0
3149,1775250290.800319,0
3199,1775250307.926237,0
3249,1775250323.580211,0
3299,1775250339.766096,0
3349,1775250356.050549,0
3399,1775250373.455792,0
3449,1775250389.285962,0
3499,1775250406.410308,0
3549,1775250422.971267,0
3599,1775250439.510923,0
3649,1775250456.220212,0
3699,1775250473.356372,0
3749,1775250489.286440,0
3799,1775252338.267145,0
3849,1775252355.343044,0
3899,1775252372.207707,0
3949,1775252388.830460,0
3999,1775252407.438948,0
4049,1775252424.149603,0
4099,1775252441.868816,0
4149,1775252459.199583,0
4199,1775252476.214560,0
4249,1775252493.578931,0
4299,1775252510.630485,0
4349,1775252527.663069,0
4399,1775252543.675855,0
4449,1775252561.067652,0
4499,1775252578.429138,0
4549,1775252595.162953,0
4599,1775252611.018968,0
4649,1775252628.781128,0
4699,1775252644.971375,0
4749,1775252660.802392,0
4799,1775252677.895863,0
4849,1775252695.091038,0
4899,1775252711.451961,0
4949,1775252728.498141,0
4999,1775252745.785518,0
5049,1775252762.782664,0
5099,1775252780.501812,0
5149,1775252799.628694,0
5199,1775252817.778913,0
5249,1775252835.816591,0
5299,1775252853.033518,0
5349,1775252870.996408,0
5399,1775252888.240722,0
5449,1775252906.069601,0
5499,1775252924.129514,0
5549,1775252942.527976,0
5599,1775252958.963476,0
5649,1775252976.739751,0
5699,1775252994.253805,0
5749,1775253011.805178,0
5799,1775253029.499081,0
5849,1775253047.637234,0
5899,1775253065.082613,0
5949,1775253083.251107,0
5999,1775253101.358354,0
6049,1775253118.356203,0
6099,1775253136.048487,0
6149,1775253152.396311,0
6199,1775253168.622093,0
6249,1775253184.961390,0
6299,1775253202.611409,0
6349,1775253218.618502,0
6399,1775253234.927398,0
6449,1775253250.861238,0
6499,1775253267.639524,0
6549,1775253284.458219,0
6599,1775253301.230481,0
6649,1775253318.153478,0
6699,1775253334.893176,0
6749,1775253352.590907,0
6799,1775253370.364283,0
6849,1775253387.048334,0
6899,1775253403.724680,0
6949,1775253420.322382,0
6999,1775253437.043116,0
7049,1775253453.277871,0
7099,1775253469.644917,0
7149,1775253485.726195,0
7199,1775253502.346080,0
7249,1775253518.261045,0
7299,1775253534.386027,0
7349,1775253551.549396,0
7399,1775253567.949580,0
7449,1775253584.600791,0
7499,1775253601.010901,0
7549,1775255481.565047,0
7599,1775255498.264505,0
7649,1775255514.474959,0
7699,1775255530.337959,0
7749,1775255547.243958,0
7799,1775255562.980583,0
7849,1775255579.519518,0
7899,1775255595.785733,0
7949,1775255613.186863,0
7999,1775255631.145453,0
8049,1775255650.386195,0
8099,1775255667.938264,0
8149,1775255685.621060,0
8199,1775255702.592899,0
8249,1775255719.851080,0
8299,1775255737.595048,0
8349,1775255755.477404,0
8399,1775255773.172764,0
8449,1775255790.764412,0
8499,1775255807.441629,0
8549,1775255824.052435,0
8599,1775255842.411843,0
8649,1775255861.258459,0
8699,1775255878.990798,0
8749,1775255896.755613,0
8799,1775255915.224053,0
8849,1775255933.106295,0
8899,1775255950.173955,0
8949,1775255967.698477,0
8999,1775255986.255212,0
9049,1775256004.240610,0
9099,1775256021.252053,0
9149,1775256039.436521,0
9199,1775256056.006480,0
9249,1775256073.677252,0
9299,1775256090.837076,0
9349,1775256108.476075,0
9399,1775256125.383282,0
9449,1775256142.122367,0
9499,1775256158.703979,0
9549,1775256175.022955,0
9599,1775256192.209841,0
9649,1775256210.355077,0
9699,1775256227.536260,0
9749,1775256245.286774,0
9799,1775256263.491494,0
9849,1775256280.508625,0
9899,1775256298.718907,0
9949,1775256316.251173,0
9999,1775256333.577999,0
10049,1775256352.316421,0
10099,1775256369.928455,0
10149,1775256387.507413,0
10199,1775256405.583179,0
10249,1775256423.732692,0
10299,1775256441.238268,0
10349,1775256458.519107,0
10399,1775256476.385323,0
10449,1775256494.053011,0
10499,1775256511.547506,0
10549,1775256528.863942,0
10599,1775256545.803928,0
10649,1775256563.905892,0
10699,1775256581.422962,0
10749,1775256598.637573,0
10799,1775256617.107484,0
10849,1775256634.856583,0
10899,1775256651.904208,0
10949,1775256669.379760,0
10999,1775256687.430898,0
11049,1775256705.158039,0
11099,1775256722.730935,0
11149,1775256740.284784,0
11199,1775256757.334764,0
11249,1775256774.487398,0
11299,1775256790.927317,0
11349,1775258621.552752,0
11399,1775258639.787135,0
11449,1775258658.030953,0
11499,1775258675.060552,0
11549,1775258692.514673,0
11599,1775258708.516432,0
11649,1775258724.990304,0
11699,1775258741.290120,0
11749,1775258757.054343,0
11799,1775258774.248556,0
11849,1775258791.214830,0
11899,1775258807.405722,0
11949,1775258825.989230,0
11999,1775258844.450109,0
12049,1775258861.581328,0
12099,1775258880.923762,0
12149,1775258898.608451,0
12199,1775258917.264897,0
12249,1775258933.240973,0
12299,1775258951.595495,0
12349,1775258969.581578,0
12399,1775258987.389008,0
12449,1775259005.013016,0
12499,1775259022.560141,0
12549,1775259039.689197,0
12599,1775259056.929649,0
12649,1775259074.586810,0
12699,1775259091.352780,0
12749,1775259108.634508,0
12799,1775259125.873507,0
12849,1775259144.236166,0
12899,1775259160.503865,0
12949,1775259176.854391,0
12999,1775259194.521925,0
13049,1775259211.685502,0
13099,1775259229.182397,0
13149,1775259245.818794,0
13199,1775259263.465595,0
13249,1775259281.416160,0
13299,1775259299.505670,0
13349,1775259316.028880,0
13399,1775259332.689520,0
13449,1775259350.509948,0
13499,1775259367.803725,0
13549,1775259383.890013,0
13599,1775259401.072506,0
13649,1775259416.761422,0
13699,1775259432.686323,0
13749,1775259449.180575,0
13799,1775259467.994344,0
13849,1775259485.647303,0
13899,1775259503.621881,0
13949,1775259520.225136,0
13999,1775259536.810749,0
14049,1775259554.746096,0
14099,1775259571.521982,0
14149,1775259588.103050,0
14199,1775259604.089368,0
14249,1775259620.180049,0
14299,1775259637.781770,0
14349,1775259656.824335,0
14399,1775259674.605307,0
14449,1775259690.381255,0
14499,1775259707.694577,0
14549,1775259725.235719,0
14599,1775259742.074691,0
14649,1775259759.334616,0
14699,1775259775.437726,0
14749,1775259793.483820,0
14799,1775259811.160446,0
14849,1775259827.724162,0
14899,1775259845.097403,0
14949,1775259861.787402,0
14999,1775259878.867373,0
15049,1775259896.357601,0
15099,1775261796.914159,0
15149,1775261814.284161,0
15199,1775261832.047904,0
15249,1775261849.591718,0
15299,1775261866.635753,0
15349,1775261883.393589,0
15399,1775261900.475988,0
15449,1775261917.224817,0
15499,1775261933.774646,0
15549,1775261950.117998,0
15599,1775261966.967991,0
15649,1775261983.248349,0
15699,1775262000.053349,0
15749,1775262016.280696,0
15799,1775262033.533157,0
15849,1775262049.702930,0
15899,1775262066.123290,0
15949,1775262082.118747,0
15999,1775262099.864247,0
16049,1775262116.802268,0
16099,1775262133.024781,0
16149,1775262149.532993,0
16199,1775262166.099665,0
16249,1775262183.938175,0
16299,1775262200.834185,0
16349,1775262217.329540,0
16399,1775262233.695647,0
16449,1775262250.647016,0
16499,1775262267.084686,0
16549,1775262283.049235,0
16599,1775262299.714969,0
16649,1775262315.791821,0
16699,1775262332.465723,0
16749,1775262349.621179,0
16799,1775262367.023480,0
16849,1775262385.381535,0
16899,1775262402.386666,0
16949,1775262419.236672,0
16999,1775262435.477942,0
17049,1775262451.185673,0
17099,1775262467.648326,0
17149,1775262483.581401,0
17199,1775262499.837017,0
17249,1775262516.237183,0
17299,1775262533.409572,0
17349,1775262549.342539,0
17399,1775262565.907807,0
17449,1775262583.141670,0
17499,1775262599.892121,0
17549,1775262616.235057,0
17599,1775262632.899087,0
17649,1775262648.918838,0
17699,1775262665.457625,0
17749,1775262681.214617,0
17799,1775262696.813563,0
17849,1775262713.066630,0
17899,1775262728.813026,0
17949,1775262746.214333,0
17999,1775262764.269520,0
18049,1775262781.366526,0
18099,1775262798.525282,0
18149,1775262816.115572,0
18199,1775262834.136382,0
18249,1775262850.562509,0
18299,1775262867.747114,0
18349,1775262884.241579,0
18399,1775262900.855272,0
18449,1775262918.715789,0
18499,1775262936.070316,0
18549,1775262953.535784,0
18599,1775262970.493396,0
18649,1775262988.645087,0
18699,1775263005.750559,0
18749,1775263022.963808,0
18799,1775263039.274880,0
18849,1775263055.931270,0
18899,1775264918.208539,0
18949,1775264936.104042,0
18999,1775264953.384679,0
19049,1775264970.901082,0
19099,1775264989.584075,0
19149,1775265007.687547,0
19199,1775265023.794178,0
19249,1775265040.972954,0
19299,1775265057.066849,0
19349,1775265073.137151,0
19399,1775265090.233622,0
19449,1775265108.175874,0
19499,1775265124.184466,0
19549,1775265141.330717,0
19599,1775265157.151536,0
19649,1775265173.052528,0
19699,1775265189.501334,0
19749,1775265205.376278,0
19799,1775265222.029705,0
19849,1775265238.035200,0
19899,1775265253.778060,0
19949,1775265269.507993,0
19999,1775265285.509110,0
20049,1775265301.295522,0
20099,1775265317.075028,0
20149,1775265332.642865,0
20199,1775265348.586746,0
20249,1775265364.551092,0
20299,1775265381.513730,0
20349,1775265400.509704,0
20399,1775265418.823346,0
20449,1775265436.555263,0
20499,1775265453.979311,0
20549,1775265471.940563,0
20599,1775265490.457471,0
20649,1775265508.425272,0
20699,1775265526.097610,0
20749,1775265544.739122,0
20799,1775265562.358072,0
20849,1775265580.084327,0
20899,1775265597.193033,0
20949,1775265614.041492,0
20999,1775265630.442656,0
21049,1775265647.639959,0
21099,1775265663.630183,0
21149,1775265681.276971,0
21199,1775265699.292613,0
21249,1775265715.529166,0
21299,1775265732.176619,0
21349,1775265750.138772,0
21399,1775265766.447419,0
21449,1775265783.078908,0
21499,1775265800.134818,0
21549,1775265817.945521,0
21599,1775265835.373966,0
21649,1775265852.326085,0
21699,1775265869.021065,0
21749,1775265886.305265,0
21799,1775265903.756371,0
21849,1775265920.612851,0
21899,1775265936.780428,0
21949,1775265953.346898,0
21999,1775265970.527512,0
22049,1775265988.538280,0
22099,1775266005.279521,0
22149,1775266022.306779,0
22199,1775266041.279697,0
22249,1775266059.224973,0
22299,1775266077.402553,0
22349,1775266095.477974,0
22399,1775266112.130156,0
22449,1775266130.173756,0
22499,1775266147.265526,0
22549,1775266163.917755,0
22599,1775266180.829366,0
22649,1775268008.850941,0
22699,1775268026.461019,0
22749,1775268042.659947,0
22799,1775268060.944279,0
22849,1775268079.510710,0
22899,1775268096.585712,0
22949,1775268115.073417,0
22999,1775268131.512237,0
23049,1775268149.482384,0
23099,1775268167.162632,0
23149,1775268184.323148,0
23199,1775268202.898562,0
23249,1775268221.532016,0
23299,1775268239.157321,0
23349,1775268256.558448,0
23399,1775268274.322119,0
23449,1775268292.058842,0
23499,1775268309.693371,0
23549,1775268327.548445,0
23599,1775268344.967953,0
23649,1775268363.104286,0
23699,1775268379.044322,0
23749,1775268396.110324,0
23799,1775268412.344310,0
23849,1775268429.858262,0
23899,1775268447.250747,0
23949,1775268464.984578,0
23999,1775268481.228195,0
24049,1775268498.301993,0
24099,1775268514.976277,0
24149,1775268530.855660,0
24199,1775268546.878765,0
24249,1775268562.920943,0
24299,1775268581.132451,0
24349,1775268598.567648,0
24399,1775268615.561153,0
24449,1775268633.208586,0
24499,1775268650.906392,0
24549,1775268669.146494,0
24599,1775268686.538527,0
24649,1775268704.624558,0
24699,1775268722.855039,0
24749,1775268739.857486,0
24799,1775268756.823219,0
24849,1775268773.885205,0
24899,1775268790.609212,0
24949,1775268808.732258,0
24999,1775268825.834598,0
25049,1775268842.895915,0
25099,1775268860.533395,0
25149,1775268878.852553,0
25199,1775268897.614226,0
25249,1775268914.922562,0
25299,1775268931.628122,0
25349,1775268949.045998,0
25399,1775268966.191203,0
25449,1775268983.903575,0
25499,1775269002.197819,0
25549,1775269019.873421,0
25599,1775269037.190526,0
25649,1775269055.514555,0
25699,1775269072.443859,0
25749,1775269090.502388,0
25799,1775269108.113758,0
25849,1775269126.387351,0
25899,1775269143.857478,0
25949,1775269161.248879,0
25999,1775269178.817066,0
26049,1775269195.955426,0
26099,1775269213.004911,0
26149,1775269230.135060,0
26199,1775269247.990048,0
26249,1775269264.719925,0
26299,1775269281.405976,0
26349,1775269297.838278,0
26399,1775269314.962976,0
26449,1775271151.289488,0
26499,1775271167.420407,0
26549,1775271183.258048,0
26599,1775271199.235030,0
26649,1775271216.158633,0
26699,1775271232.640012,0
26749,1775271249.420447,0
26799,1775271265.602281,0
26849,1775271283.326427,0
26899,1775271300.959728,0
26949,1775271317.221708,0
26999,1775271333.961512,0
27049,1775271351.740174,0
27099,1775271368.861157,0
27149,1775271386.101801,0
27199,1775271403.436950,0
27249,1775271421.181127,0
27299,1775271437.929211,0
27349,1775271455.298433,0
27399,1775271472.743099,0
27449,1775271489.703735,0
27499,1775271506.409296,0
27549,1775271523.446309,0
27599,1775271539.797347,0
27649,1775271556.248511,0
27699,1775271572.472542,0
27749,1775271588.934336,0
27799,1775271605.128490,0
27849,1775271621.971040,0
27899,1775271638.527603,0
27949,1775271655.403158,0
27999,1775271671.718940,0
28049,1775271687.648508,0
28099,1775271704.425851,0
28149,1775271722.124637,0
28199,1775271739.972917,0
28249,1775271755.854633,0
28299,1775271773.383056,0
28349,1775271789.461158,0
28399,1775271805.723919,0
28449,1775271822.593554,0
28499,1775271838.942682,0
28549,1775271856.672877,0
28599,1775271873.132367,0
28649,1775271889.368212,0
28699,1775271906.467026,0
28749,1775271924.160719,0
28799,1775271940.792572,0
28849,1775271957.686322,0
28899,1775271974.525697,0
28949,1775271991.153496,0
28999,1775272007.891990,0
29049,1775272024.729805,0
29099,1775272042.224152,0
29149,1775272058.334267,0
29199,1775272074.494057,0
29249,1775272091.023471,0
29299,1775272109.075369,0
29349,1775272125.608734,0
29399,1775272141.532609,0
29449,1775272159.446903,0
29499,1775272176.583701,0
29549,1775272193.299919,0
29599,1775272212.364384,0
29649,1775272229.056494,0
29699,1775272245.594596,0
29749,1775272262.724279,0
29799,1775272279.326736,0
29849,1775272295.764833,0
29899,1775272312.384207,0
29949,1775272329.576496,0
29999,1775272347.046921,0
30049,1775272363.237168,0
30099,1775272380.582346,0
30149,1775272396.584148,0
30199,1775274240.297912,0
30249,1775274259.098629,0
30299,1775274275.642148,0
30349,1775274293.460171,0
30399,1775274309.168741,0
30449,1775274325.660107,0
30499,1775274343.578442,0
30549,1775274360.264098,0
30599,1775274378.063291,0
30649,1775274395.024755,0
30699,1775274412.492629,0
30749,1775274429.059402,0
30799,1775274446.071681,0
30849,1775274463.603182,0
30899,1775274479.722992,0
30949,1775274496.561157,0
30999,1775274513.099723,0
31049,1775274530.539926,0
31099,1775274547.126372,0
31149,1775274564.633799,0
31199,1775274582.472516,0
31249,1775274600.856474,0
31299,1775274617.927178,0
31349,1775274635.093538,0
31399,1775274651.925047,0
31449,1775274669.409528,0
31499,1775274686.453695,0
31549,1775274702.479989,0
31599,1775274718.585759,0
31649,1775274735.525972,0
31699,1775274752.164113,0
31749,1775274768.441092,0
31799,1775274784.748501,0
31849,1775274801.674019,0
31899,1775274819.758348,0
31949,1775274837.069716,0
31999,1775274853.478552,0
32049,1775274869.759079,0
32099,1775274887.052855,0
32149,1775274904.305583,0
32199,1775274921.098661,0
32249,1775274938.812956,0
32299,1775274955.001300,0
32349,1775274970.939584,0
32399,1775274988.065574,0
32449,1775275005.325505,0
32499,1775275021.754335,0
32549,1775275037.904748,0
32599,1775275054.609352,0
32649,1775275072.294830,0
32699,1775275090.823939,0
32749,1775275108.096947,0
32799,1775275126.065856,0
32849,1775275143.784263,0
32899,1775275161.089330,0
32949,1775275177.904151,0
32999,1775275195.498489,0
33049,1775275213.346487,0
33099,1775275231.438660,0
33149,1775275248.703342,0
33199,1775275266.477779,0
33249,1775275284.686903,0
33299,1775275302.079425,0
33349,1775275319.116016,0
33399,1775275335.385063,0
33449,1775275351.444343,0
33499,1775275367.514137,0
33549,1775275383.672527,0
33599,1775275400.397335,0
33649,1775275416.918616,0
33699,1775275433.358070,0
33749,1775275449.823626,0
33799,1775275466.441008,0
33849,1775275482.904634,0
33899,1775275500.175303,0
33949,1775275521.198554,0
33999,1775277502.203293,0
34049,1775277519.965924,0
34099,1775277537.592673,0
34149,1775277555.014105,0
34199,1775277571.948740,0
34249,1775277588.668570,0
34299,1775277605.116388,0
34349,1775277623.493778,0
34399,1775277640.062016,0
34449,1775277656.191625,0
34499,1775277672.060290,0
34549,1775277687.967675,0
34599,1775277703.983616,0
34649,1775277719.794680,0
34699,1775277736.264607,0
34749,1775277753.112004,0
34799,1775277768.997325,0
34849,1775277784.656366,0
34899,1775277801.340983,0
34949,1775277817.959752,0
34999,1775277834.620337,0
35049,1775277850.687344,0
35099,1775277866.905990,0
35149,1775277884.453537,0
35199,1775277902.079149,0
35249,1775277919.623376,0
35299,1775277936.629143,0
35349,1775277952.660541,0
35399,1775277968.565773,0
35449,1775277985.331233,0
35499,1775278001.659802,0
35549,1775278017.583271,0
35599,1775278034.726766,0
35649,1775278050.364743,0
35699,1775278066.060283,0
35749,1775278081.993542,0
35799,1775278098.107245,0
35849,1775278113.788058,0
35899,1775278129.723804,0
35949,1775278145.406809,0
35999,1775278162.482048,0
36049,1775278178.729748,0
36099,1775278194.454750,0
36149,1775278210.487042,0
36199,1775278226.449658,0
36249,1775278242.999528,0
36299,1775278259.558065,0
36349,1775278275.557400,0
36399,1775278291.598963,0
36449,1775278307.454677,0
36499,1775278323.454654,0
36549,1775278340.890849,0
36599,1775278359.351839,0
36649,1775278377.113978,0
36699,1775278394.646102,0
36749,1775278412.010934,0
36799,1775278429.991715,0
36849,1775278447.088278,0
36899,1775278465.039578,0
36949,1775278483.715394,0
36999,1775278502.061876,0
37049,1775278520.224710,0
37099,1775278537.384286,0
37149,1775278554.917976,0
37199,1775278572.297191,0
37249,1775278589.738582,0
37299,1775278608.065659,0
37349,1775278625.528048,0
37399,1775278642.530554,0
37449,1775278660.371343,0
37499,1775278678.053948,0
37549,1775278694.899630,0
37599,1775278712.946819,0
37649,1775278729.778177,0
37699,1775278746.823676,0
37749,1775280750.696486,0
37799,1775280768.337778,0
37849,1775280785.121685,0
37899,1775280802.946656,0
37949,1775280820.761173,0
37999,1775280839.390064,0
