step,wall_time,value
49,1775249263.972612,0
99,1775249280.789299,0
149,1775249298.072179,0
199,1775249316.107969,0
249,1775249333.715816,0
299,1775249350.330163,0
349,1775249366.429858,0
399,1775249382.980874,0
449,1775249399.801126,0
499,1775249417.245100,0
549,1775249434.922179,0
599,1775249452.569647,0
649,1775249468.658161,0
699,1775249486.455043,0
749,1775249503.750806,0
799,1775249519.410081,0
849,1775249536.150631,0
899,1775249552.229533,0
949,1775249569.700056,0
999,1775249587.907461,0
1049,1775249604.216988,0
1099,1775249620.976681,0
1149,1775249637.567829,0
1199,1775249653.712878,0
1249,1775249669.722623,0
1299,1775249686.811724,0
1349,1775249703.398434,0
1399,1775249719.471933,0
1449,1775249735.222066,0
1499,1775249751.720456,0
1549,1775249767.665104,0
1599,1775249783.751590,0
1649,1775249800.083739,0
1699,1775249816.403238,0
1749,1775249832.341654,0
1799,1775249849.769620,0
1849,1775249866.387588,0
1899,1775249882.410761,0
1949,1775249898.255322,0
1999,1775249914.688588,0
2049,1775249930.579764,0
2099,1775249946.632254,0
2149,1775249963.161992,0
2199,1775249980.443820,0
2249,1775249996.860617,0
2299,1775250013.259413,0
2349,1775250029.390042,0
2399,1775250046.878127,0
2449,1775250062.829518,0
2499,1775250079.117822,0
2549,1775250095.552224,0
2599,1775250111.886227,0
2649,1775250128.572441,0
2699,1775250145.467402,0
2749,1775250161.439517,0
2799,1775250177.124199,0
2849,1775250193.500721,0
2899,1775250209.698951,0
2949,1775250225.823234,0
2999,1775250242.396090,0
3049,1775250258.948479,0
3099,1775250275.012954,0
3149,1775250290.800354,0
3199,1775250307.926270,0
3249,1775250323.580245,0
3299,1775250339.766114,0
3349,1775250356.050567,0
3399,1775250373.455824,0
3449,1775250389.285990,0
3499,1775250406.410329,0
3549,1775250422.971287,0
3599,1775250439.510940,0
3649,1775250456.220233,0
3699,1775250473.356395,0
3749,1775250489.286461,0
3799,1775252338.267162,0
3849,1775252355.343068,0
3899,1775252372.207728,0
3949,1775252388.830492,0
3999,1775252407.438967,0
4049,1775252424.149626,0
4099,1775252441.868833,0
4149,1775252459.199599,0
4199,1775252476.214582,0
4249,1775252493.578954,0
4299,1775252510.630518,0
4349,1775252527.663094,0
4399,1775252543.675878,0
4449,1775252561.067677,0
4499,1775252578.429159,0
4549,1775252595.162984,0
4599,1775252611.019001,0
4649,1775252628.781146,0
4699,1775252644.971406,0
4749,1775252660.802423,0
4799,1775252677.895891,0
4849,1775252695.091062,0
4899,1775252711.452050,0
4949,1775252728.498165,0
4999,1775252745.785542,0
5049,1775252762.782687,0
5099,1775252780.501831,0
5149,1775252799.628716,0
5199,1775252817.778937,0
5249,1775252835.816615,0
5299,1775252853.033540,0
5349,1775252870.996425,0
5399,1775252888.240749,0
5449,1775252906.069626,0
5499,1775252924.129532,0
5549,1775252942.527994,0
5599,1775252958.963497,0
5649,1775252976.739774,0
5699,1775252994.253827,0
5749,1775253011.805194,0
5799,1775253029.499110,0
5849,1775253047.637252,0
5899,1775253065.082643,0
5949,1775253083.251130,0
5999,1775253101.358386,0
6049,1775253118.356221,0
6099,1775253136.048508,0
6149,1775253152.396334,0
6199,1775253168.622111,0
6249,1775253184.961413,0
6299,1775253202.611434,0
6349,1775253218.618521,0
6399,1775253234.927430,0
6449,1775253250.861271,0
6499,1775253267.639546,0
6549,1775253284.458252,0
6599,1775253301.230499,0
6649,1775253318.153502,0
6699,1775253334.893200,0
6749,1775253352.590944,0
6799,1775253370.364310,0
6849,1775253387.048369,0
6899,1775253403.724700,0
6949,1775253420.322405,0
6999,1775253437.043149,0
7049,1775253453.277914,0
7099,1775253469.644943,0
7149,1775253485.726227,0
7199,1775253502.346103,0
7249,1775253518.261068,0
7299,1775253534.386053,0
7349,1775253551.549415,0
7399,1775253567.949606,0
7449,1775253584.600814,0
7499,1775253601.010926,0
7549,1775255481.565065,0
7599,1775255498.264545,0
7649,1775255514.474982,0
7699,1775255530.337982,0
7749,1775255547.244054,0
7799,1775255562.980656,0
7849,1775255579.519541,0
7899,1775255595.785766,0
7949,1775255613.186909,0
7999,1775255631.145484,0
8049,1775255650.386221,0
8099,1775255667.938296,0
8149,1775255685.621089,0
8199,1775255702.593003,0
8249,1775255719.851273,0
8299,1775255737.595072,0
8349,1775255755.477436,0
8399,1775255773.172806,0
8449,1775255790.764429,0
8499,1775255807.441661,0
8549,1775255824.052452,0
8599,1775255842.411983,0
8649,1775255861.258560,0
8699,1775255878.990821,0
8749,1775255896.755631,0
8799,1775255915.224069,0
8849,1775255933.106313,0
8899,1775255950.173972,0
8949,1775255967.698560,0
8999,1775255986.255228,0
9049,1775256004.240627,0
9099,1775256021.252075,0
9149,1775256039.436585,0
9199,1775256056.006502,0
9249,1775256073.677277,0
9299,1775256090.837100,0
9349,1775256108.476099,0
9399,1775256125.383307,0
9449,1775256142.122401,0
9499,1775256158.704012,0
9549,1775256175.022978,0
9599,1775256192.209861,0
9649,1775256210.355095,0
9699,1775256227.536284,0
9749,1775256245.286790,0
9799,1775256263.491516,0
9849,1775256280.508641,0
9899,1775256298.718932,0
9949,1775256316.251196,0
9999,1775256333.578022,0
10049,1775256352.316445,0
10099,1775256369.928478,0
10149,1775256387.507429,0
10199,1775256405.583201,0
10249,1775256423.732789,0
10299,1775256441.238292,0
10349,1775256458.519124,0
10399,1775256476.385348,0
10449,1775256494.053039,0
10499,1775256511.547523,0
10549,1775256528.863960,0
10599,1775256545.803953,0
10649,1775256563.905928,0
10699,1775256581.422982,0
10749,1775256598.637594,0
10799,1775256617.107502,0
10849,1775256634.856606,0
10899,1775256651.904305,0
10949,1775256669.379784,0
10999,1775256687.430927,0
11049,1775256705.158056,0
11099,1775256722.730952,0
11149,1775256740.284805,0
11199,1775256757.334781,0
11249,1775256774.487429,0
11299,1775256790.927340,0
11349,1775258621.552777,0
11399,1775258639.787159,0
11449,1775258658.030990,0
11499,1775258675.060575,0
11549,1775258692.514691,0
11599,1775258708.516465,0
11649,1775258724.990327,0
11699,1775258741.290137,0
11749,1775258757.054366,0
11799,1775258774.248575,0
11849,1775258791.214878,0
11899,1775258807.405754,0
11949,1775258825.989248,0
11999,1775258844.450129,0
12049,1775258861.581349,0
12099,1775258880.923785,0
12149,1775258898.608469,0
12199,1775258917.264926,0
12249,1775258933.240994,0
12299,1775258951.595528,0
12349,1775258969.581595,0
12399,1775258987.389037,0
12449,1775259005.013035,0
12499,1775259022.560163,0
12549,1775259039.689224,0
12599,1775259056.929668,0
12649,1775259074.586835,0
12699,1775259091.352801,0
12749,1775259108.634531,0
12799,1775259125.873531,0
12849,1775259144.236185,0
12899,1775259160.503909,0
12949,1775259176.854409,0
12999,1775259194.521950,0
13049,1775259211.685532,0
13099,1775259229.182425,0
13149,1775259245.818812,0
13199,1775259263.465621,0
13249,1775259281.416183,0
13299,1775259299.505692,0
13349,1775259316.028917,0
13399,1775259332.689553,0
13449,1775259350.509972,0
13499,1775259367.803746,0
13549,1775259383.890037,0
13599,1775259401.072525,0
13649,1775259416.761443,0
13699,1775259432.686341,0
13749,1775259449.180593,0
13799,1775259467.994368,0
13849,1775259485.647330,0
13899,1775259503.621910,0
13949,1775259520.225160,0
13999,1775259536.810783,0
14049,1775259554.746116,0
14099,1775259571.522014,0
14149,1775259588.103073,0
14199,1775259604.089384,0
14249,1775259620.180072,0
14299,1775259637.781803,0
14349,1775259656.824355,0
14399,1775259674.605337,0
14449,1775259690.381279,0
14499,1775259707.694606,0
14549,1775259725.235742,0
14599,1775259742.074716,0
14649,1775259759.334639,0
14699,1775259775.437749,0
14749,1775259793.483842,0
14799,1775259811.160463,0
14849,1775259827.724200,0
14899,1775259845.097435,0
14949,1775259861.787420,0
14999,1775259878.867396,0
15049,1775259896.357617,0
15099,1775261796.914176,0
15149,1775261814.284178,0
15199,1775261832.047924,0
15249,1775261849.591739,0
15299,1775261866.635786,0
15349,1775261883.393615,0
15399,1775261900.476011,0
15449,1775261917.224850,0
15499,1775261933.774670,0
15549,1775261950.118014,0
15599,1775261966.968009,0
15649,1775261983.248367,0
15699,1775262000.053367,0
15749,1775262016.280823,0
15799,1775262033.533174,0
15849,1775262049.702954,0
15899,1775262066.123313,0
15949,1775262082.118770,0
15999,1775262099.864269,0
16049,1775262116.802291,0
16099,1775262133.024804,0
16149,1775262149.533011,0
16199,1775262166.099683,0
16249,1775262183.938198,0
16299,1775262200.834203,0
16349,1775262217.329563,0
16399,1775262233.695672,0
16449,1775262250.647035,0
16499,1775262267.084703,0
16549,1775262283.049254,0
16599,1775262299.714992,0
16649,1775262315.791842,0
16699,1775262332.465740,0
16749,1775262349.621201,0
16799,1775262367.023512,0
16849,1775262385.381554,0
16899,1775262402.386687,0
16949,1775262419.236690,0
16999,1775262435.477961,0
17049,1775262451.185698,0
17099,1775262467.648351,0
17149,1775262483.581418,0
17199,1775262499.837038,0
17249,1775262516.237200,0
17299,1775262533.409595,0
17349,1775262549.342558,0
17399,1775262565.907840,0
17449,1775262583.141702,0
17499,1775262599.892138,0
17549,1775262616.235075,0
17599,1775262632.899106,0
17649,1775262648.918862,0
17699,1775262665.457643,0
17749,1775262681.214638,0
17799,1775262696.813581,0
17849,1775262713.066648,0
17899,1775262728.813050,0
17949,1775262746.214366,0
17999,1775262764.269537,0
18049,1775262781.366550,0
18099,1775262798.525306,0
18149,1775262816.115596,0
18199,1775262834.136406,0
18249,1775262850.562527,0
18299,1775262867.747145,0
18349,1775262884.241601,0
18399,1775262900.855297,0
18449,1775262918.715818,0
18499,1775262936.070335,0
18549,1775262953.535871,0
18599,1775262970.493421,0
18649,1775262988.645110,0
18699,1775263005.750577,0
18749,1775263022.963828,0
18799,1775263039.274917,0
18849,1775263055.931293,0
18899,1775264918.208555,0
18949,1775264936.104065,0
18999,1775264953.384696,0
19049,1775264970.901103,0
19099,1775264989.584093,0
19149,1775265007.687569,0
19199,1775265023.794278,0
19249,1775265040.972987,0
19299,1775265057.066874,0
19349,1775265073.137169,0
19399,1775265090.233639,0
19449,1775265108.175901,0
19499,1775265124.184484,0
19549,1775265141.330739,0
19599,1775265157.151556,0
19649,1775265173.052551,0
19699,1775265189.501352,0
19749,1775265205.376297,0
19799,1775265222.029725,0
19849,1775265238.035227,0
19899,1775265253.778077,0
19949,1775265269.508016,0
19999,1775265285.509136,0
20049,1775265301.295541,0
20099,1775265317.075051,0
20149,1775265332.642912,0
20199,1775265348.586764,0
20249,1775265364.551206,0
20299,1775265381.513754,0
20349,1775265400.509723,0
20399,1775265418.823378,0
20449,1775265436.555296,0
20499,1775265453.979329,0
20549,1775265471.940581,0
20599,1775265490.457489,0
20649,1775265508.425289,0
20699,1775265526.097631,0
20749,1775265544.739141,0
20799,1775265562.358091,0
20849,1775265580.084344,0
20899,1775265597.193056,0
20949,1775265614.041509,0
20999,1775265630.442672,0
21049,1775265647.639982,0
21099,1775265663.630201,0
21149,1775265681.276988,0
21199,1775265699.292635,0
21249,1775265715.529184,0
21299,1775265732.176637,0
21349,1775265750.138795,0
21399,1775265766.447438,0
21449,1775265783.078928,0
21499,1775265800.134834,0
21549,1775265817.945538,0
21599,1775265835.373988,0
21649,1775265852.326117,0
21699,1775265869.021083,0
21749,1775265886.305283,0
21799,1775265903.756394,0
21849,1775265920.612868,0
21899,1775265936.780452,0
21949,1775265953.346918,0
21999,1775265970.527536,0
22049,1775265988.538303,0
22099,1775266005.279555,0
22149,1775266022.306801,0
22199,1775266041.279715,0
22249,1775266059.225006,0
22299,1775266077.402575,0
22349,1775266095.477991,0
22399,1775266112.130175,0
22449,1775266130.173779,0
22499,1775266147.265559,0
22549,1775266163.917774,0
22599,1775266180.829399,0
22649,1775268008.850963,0
22699,1775268026.461035,0
22749,1775268042.659971,0
22799,1775268060.944302,0
22849,1775268079.510734,0
22899,1775268096.585738,0
22949,1775268115.073437,0
22999,1775268131.512256,0
23049,1775268149.482409,0
23099,1775268167.162655,0
23149,1775268184.323180,0
23199,1775268202.898586,0
23249,1775268221.532037,0
23299,1775268239.157343,0
23349,1775268256.558467,0
23399,1775268274.322149,0
23449,1775268292.058874,0
23499,1775268309.693403,0
23549,1775268327.548470,0
23599,1775268344.967970,0
23649,1775268363.104317,0
23699,1775268379.044343,0
23749,1775268396.110357,0
23799,1775268412.344331,0
23849,1775268429.858294,0
23899,1775268447.250766,0
23949,1775268464.984609,0
23999,1775268481.228220,0
24049,1775268498.302011,0
24099,1775268514.976307,0
24149,1775268530.855679,0
24199,1775268546.878783,0
24249,1775268562.920963,0
24299,1775268581.132567,0
24349,1775268598.567672,0
24399,1775268615.561185,0
24449,1775268633.208623,0
24499,1775268650.906409,0
24549,1775268669.146516,0
24599,1775268686.538565,0
24649,1775268704.624667,0
24699,1775268722.855061,0
24749,1775268739.857508,0
24799,1775268756.823326,0
24849,1775268773.885230,0
24899,1775268790.609235,0
24949,1775268808.732290,0
24999,1775268825.834633,0
25049,1775268842.895934,0
25099,1775268860.533412,0
25149,1775268878.852575,0
25199,1775268897.614243,0
25249,1775268914.922583,0
25299,1775268931.628155,0
25349,1775268949.046021,0
25399,1775268966.191221,0
25449,1775268983.903607,0
25499,1775269002.197841,0
25549,1775269019.873440,0
25599,1775269037.190560,0
25649,1775269055.514587,0
25699,1775269072.443902,0
25749,1775269090.502412,0
25799,1775269108.113777,0
25849,1775269126.387369,0
25899,1775269143.857501,0
25949,1775269161.248905,0
25999,1775269178.817090,0
26049,1775269195.955447,0
26099,1775269213.004941,0
26149,1775269230.135093,0
26199,1775269247.990072,0
26249,1775269264.719944,0
26299,1775269281.405993,0
26349,1775269297.838303,0
26399,1775269314.962999,0
26449,1775271151.289508,0
26499,1775271167.420441,0
26549,1775271183.258066,0
26599,1775271199.235049,0
26649,1775271216.158651,0
26699,1775271232.640037,0
26749,1775271249.420479,0
26799,1775271265.602313,0
26849,1775271283.326448,0
26899,1775271300.959747,0
26949,1775271317.221736,0
26999,1775271333.961533,0
27049,1775271351.740197,0
27099,1775271368.861175,0
27149,1775271386.101877,0
27199,1775271403.436983,0
27249,1775271421.181160,0
27299,1775271437.929234,0
27349,1775271455.298451,0
27399,1775271472.743121,0
27449,1775271489.703753,0
27499,1775271506.409314,0
27549,1775271523.446342,0
27599,1775271539.797374,0
27649,1775271556.248543,0
27699,1775271572.472560,0
27749,1775271588.934356,0
27799,1775271605.128515,0
27849,1775271621.971058,0
27899,1775271638.527622,0
27949,1775271655.403175,0
27999,1775271671.718973,0
28049,1775271687.648531,0
28099,1775271704.425891,0
28149,1775271722.124660,0
28199,1775271739.972935,0
28249,1775271755.854651,0
28299,1775271773.383078,0
28349,1775271789.461184,0
28399,1775271805.723942,0
28449,1775271822.593639,0
28499,1775271838.942707,0
28549,1775271856.672905,0
28599,1775271873.132401,0
28649,1775271889.368231,0
28699,1775271906.467044,0
28749,1775271924.160737,0
28799,1775271940.792595,0
28849,1775271957.686346,0
28899,1775271974.525728,0
28949,1775271991.153519,0
28999,1775272007.892009,0
29049,1775272024.729827,0
29099,1775272042.224176,0
29149,1775272058.334285,0
29199,1775272074.494079,0
29249,1775272091.023503,0
29299,1775272109.075391,0
29349,1775272125.608757,0
29399,1775272141.532642,0
29449,1775272159.446930,0
29499,1775272176.583723,0
29549,1775272193.299951,0
29599,1775272212.364406,0
29649,1775272229.056517,0
29699,1775272245.594615,0
29749,1775272262.724355,0
29799,1775272279.326769,0
29849,1775272295.764859,0
29899,1775272312.384231,0
29949,1775272329.576524,0
29999,1775272347.046944,0
30049,1775272363.237184,0
30099,1775272380.582379,0
30149,1775272396.584170,0
30199,1775274240.297945,0
30249,1775274259.098647,0
30299,1775274275.642171,0
30349,1775274293.460189,0
30399,1775274309.168760,0
30449,1775274325.660132,0
30499,1775274343.578460,0
30549,1775274360.264121,0
30599,1775274378.063314,0
30649,1775274395.024777,0
30699,1775274412.492652,0
30749,1775274429.059425,0
30799,1775274446.071701,0
30849,1775274463.603202,0
30899,1775274479.723010,0
30949,1775274496.561230,0
30999,1775274513.099747,0
31049,1775274530.539953,0
31099,1775274547.126390,0
31149,1775274564.633817,0
31199,1775274582.472533,0
31249,1775274600.856493,0
31299,1775274617.927203,0
31349,1775274635.093555,0
31399,1775274651.925066,0
31449,1775274669.409665,0
31499,1775274686.453713,0
31549,1775274702.480008,0
31599,1775274718.585781,0
31649,1775274735.525990,0
31699,1775274752.164135,0
31749,1775274768.441178,0
31799,1775274784.748519,0
31849,1775274801.674042,0
31899,1775274819.758370,0
31949,1775274837.069738,0
31999,1775274853.478571,0
32049,1775274869.759101,0
32099,1775274887.052878,0
32149,1775274904.305606,0
32199,1775274921.098737,0
32249,1775274938.812974,0
32299,1775274955.001320,0
32349,1775274970.939608,0
32399,1775274988.065593,0
32449,1775275005.325530,0
32499,1775275021.754359,0
32549,1775275037.904772,0
32599,1775275054.609376,0
32649,1775275072.294861,0
32699,1775275090.824052,0
32749,1775275108.096965,0
32799,1775275126.065877,0
32849,1775275143.784384,0
32899,1775275161.089421,0
32949,1775275177.904173,0
32999,1775275195.498509,0
33049,1775275213.346505,0
33099,1775275231.438693,0
33149,1775275248.703370,0
33199,1775275266.477801,0
33249,1775275284.686938,0
33299,1775275302.079448,0
33349,1775275319.116054,0
33399,1775275335.385085,0
33449,1775275351.444367,0
33499,1775275367.514158,0
33549,1775275383.672545,0
33599,1775275400.397352,0
33649,1775275416.918643,0
33699,1775275433.358103,0
33749,1775275449.823647,0
33799,1775275466.441027,0
33849,1775275482.904652,0
33899,1775275500.175321,0
33949,1775275521.198677,0
33999,1775277502.203311,0
34049,1775277519.965959,0
34099,1775277537.592696,0
34149,1775277555.014132,0
34199,1775277571.948761,0
34249,1775277588.668591,0
34299,1775277605.116415,0
34349,1775277623.493811,0
34399,1775277640.062040,0
34449,1775277656.191649,0
34499,1775277672.060308,0
34549,1775277687.967710,0
34599,1775277703.983634,0
34649,1775277719.794704,0
34699,1775277736.264624,0
34749,1775277753.112037,0
34799,1775277768.997342,0
34849,1775277784.656391,0
34899,1775277801.341007,0
34949,1775277817.959771,0
34999,1775277834.620361,0
35049,1775277850.687431,0
35099,1775277866.906011,0
35149,1775277884.453554,0
35199,1775277902.079171,0
35249,1775277919.623399,0
35299,1775277936.629166,0
35349,1775277952.660560,0
35399,1775277968.565790,0
35449,1775277985.331250,0
35499,1775278001.659820,0
35549,1775278017.583291,0
35599,1775278034.726790,0
35649,1775278050.364840,0
35699,1775278066.060309,0
35749,1775278081.993566,0
35799,1775278098.107278,0
35849,1775278113.788076,0
35899,1775278129.723829,0
35949,1775278145.406826,0
35999,1775278162.482081,0
36049,1775278178.729767,0
36099,1775278194.454784,0
36149,1775278210.487065,0
36199,1775278226.449691,0
36249,1775278242.999551,0
36299,1775278259.558108,0
36349,1775278275.557426,0
36399,1775278291.598981,0
36449,1775278307.454702,0
36499,1775278323.454686,0
36549,1775278340.890874,0
36599,1775278359.351860,0
36649,1775278377.114003,0
36699,1775278394.646119,0
36749,1775278412.010960,0
36799,1775278429.991737,0
36849,1775278447.088297,0
36899,1775278465.039597,0
36949,1775278483.715414,0
36999,1775278502.061906,0
37049,1775278520.224742,0
37099,1775278537.384320,0
37149,1775278554.917999,0
37199,1775278572.297225,0
37249,1775278589.738614,0
37299,1775278608.065679,0
37349,1775278625.528071,0
