step,wall_time,value
49,1775249263.972804,0.773505688
99,1775249280.789385,0.7265625
149,1775249298.072271,0.673834205
199,1775249316.108064,0.625613809
249,1775249333.715875,0.591150105
299,1775249350.330286,0.567141891
349,1775249366.429985,0.549513817
399,1775249382.981101,0.532422304
449,1775249399.801273,0.522713363
499,1775249417.245194,0.50497669
549,1775249434.922257,0.488299459
599,1775249452.569727,0.472304165
649,1775249468.658252,0.458916247
699,1775249486.455209,0.458310366
749,1775249503.750869,0.445818365
799,1775249519.410263,0.429847777
849,1775249536.150714,0.423443079
899,1775249552.229620,0.392447233
949,1775249569.700115,0.386382461
999,1775249587.907549,0.380407393
1049,1775249604.217090,0.33829999
1099,1775249620.976763,0.308581352
1149,1775249637.568017,0.29910332
1199,1775249653.713078,0.312795281
1249,1775249669.722682,0.268982708
1299,1775249686.811917,0.276178867
1349,1775249703.398586,0.25561738
1399,1775249719.472016,0.25154531
1449,1775249735.222186,0.249651998
1499,1775249751.720579,0.232804805
1549,1775249767.665231,0.240361303
1599,1775249783.751714,0.233993173
1649,1775249800.083801,0.235510126
1699,1775249816.403335,0.227430493
1749,1775249832.341849,0.242836371
1799,1775249849.769719,0.223491117
1849,1775249866.387668,0.222250283
1899,1775249882.410822,0.226932555
1949,1775249898.255406,0.206977159
1999,1775249914.688676,0.219957203
2049,1775249930.579859,0.206931204
2099,1775249946.632316,0.210610837
2149,1775249963.162086,0.209324658
2199,1775249980.443927,0.223290801
2249,1775249996.860738,0.203291148
2299,1775250013.259501,0.222991392
2349,1775250029.390130,0.206656098
2399,1775250046.878258,0.208161935
2449,1775250062.829702,0.197917223
2499,1775250079.118018,0.198935568
2549,1775250095.552391,0.222641677
2599,1775250111.886286,0.2083202
2649,1775250128.572644,0.203062251
2699,1775250145.467568,0.197126895
2749,1775250161.439605,0.199535847
2799,1775250177.124342,0.190258503
2849,1775250193.500922,0.190467864
2899,1775250209.699070,0.204571128
2949,1775250225.823397,0.207594484
2999,1775250242.396179,0.189742714
3049,1775250258.948676,0.191152573
3099,1775250275.013171,0.194182694
3149,1775250290.800476,0.205064833
3199,1775250307.926395,0.196455479
3249,1775250323.580357,0.192187726
3299,1775250339.766263,0.201264292
3349,1775250356.050725,0.176113263
3399,1775250373.456017,0.197951734
3449,1775250389.286203,0.18353647
3499,1775250406.410522,0.216006428
3549,1775250422.971353,0.202879742
3599,1775250439.511091,0.184404284
3649,1775250456.220386,0.185133576
3699,1775250473.356481,0.186786756
3749,1775250489.286594,0.205549151
3799,1775252338.267277,0.191413581
3849,1775252355.343221,0.178133547
3899,1775252372.207871,0.1885809
3949,1775252388.830685,0.169844985
3999,1775252407.439122,0.186389297
4049,1775252424.149688,0.187849388
4099,1775252441.868908,0.188031226
4149,1775252459.199722,0.192329526
4199,1775252476.214731,0.192727953
4249,1775252493.579124,0.172984794
4299,1775252510.630697,0.19050324
4349,1775252527.663249,0.174065977
4399,1775252543.676071,0.1915977
4449,1775252561.067825,0.180268094
4499,1775252578.429333,0.180843025
4549,1775252595.163049,0.180663139
4599,1775252611.019165,0.186856374
4649,1775252628.781320,0.182690889
4699,1775252644.971598,0.192330033
4749,1775252660.802606,0.185531437
4799,1775252677.896043,0.180202395
4849,1775252695.091247,0.177959889
4899,1775252711.452152,0.190229505
4949,1775252728.498362,0.182278305
4999,1775252745.785732,0.186328351
5049,1775252762.782836,0.178444654
5099,1775252780.502023,0.166179314
5149,1775252799.628894,0.189230263
5199,1775252817.779019,0.192619115
5249,1775252835.816779,0.181355983
5299,1775252853.033684,0.194775209
5349,1775252870.996599,0.176851153
5399,1775252888.240927,0.182349592
5449,1775252906.069844,0.187043473
5499,1775252924.129596,0.177303359
5549,1775252942.528302,0.186367512
5599,1775252958.963647,0.204936087
5649,1775252976.739927,0.189108163
5699,1775252994.253992,0.169957623
5749,1775253011.805338,0.185035393
5799,1775253029.499300,0.17377542
5849,1775253047.637314,0.186074123
5899,1775253065.082864,0.179566398
5949,1775253083.251311,0.187082097
5999,1775253101.358555,0.192500383
6049,1775253118.356280,0.188657328
6099,1775253136.048588,0.165457428
6149,1775253152.396394,0.180253208
6199,1775253168.622177,0.178925991
