step,wall_time,value
3773,1775252319.703394,0.444217652
7547,1775255472.568678,0.36752525
11321,1775258604.058294,0.362104326
15095,1775261786.487294,0.382730275
18869,1775264899.958998,0.412124515
22643,1775267998.871916,0.409403414
26417,1775271132.119666,0.428826481
30191,1775274229.188035,0.454004705
33965,1775277480.043182,0.450341702
37739,1775280738.181063,0.465775073
41513,1775283976.664809,0.45775196
45287,1775287172.664142,0.452035755
49061,1775290302.867226,0.450042814
52835,1775293564.938901,0.461471289
56609,1775296729.224296,0.461819142
60383,1775299898.706037,0.463547975
64157,1775303090.271726,0.469174773
67931,1775306288.828189,0.472202301
71705,1775309537.522407,0.467124254
75479,1775312842.394246,0.465934187
79253,1775316101.017292,0.470312566
83027,1775319343.537243,0.470046788
86801,1775322656.192839,0.471372545
90575,1775325912.893843,0.470684409
94349,1775329157.697512,0.471320957
