step,wall_time,value
3773,1775252319.702777,0.721698105
7547,1775255472.568054,0.879739106
11321,1775258604.057687,0.814617276
15095,1775261786.486917,0.78952688
18869,1775264899.958420,0.814391851
22643,1775267998.871303,0.83380276
26417,1775271132.119076,0.832340181
30191,1775274229.187517,0.801583529
33965,1775277480.042853,0.795644641
37739,1775280738.180366,0.799854875
41513,1775283976.664145,0.791406751
45287,1775287172.663373,0.779285371
49061,1775290302.866524,0.788967788
52835,1775293564.938302,0.784878254
56609,1775296729.223696,0.781302691
60383,1775299898.705285,0.788569212
64157,1775303090.271067,0.797802329
67931,1775306288.827688,0.789819658
71705,1775309537.521892,0.801656604
75479,1775312842.393777,0.798395455
79253,1775316101.016824,0.803701103
83027,1775319343.536609,0.800756514
86801,1775322656.192194,0.797682106
90575,1775325912.893246,0.798720837
94349,1775329157.696797,0.79983592
