step,wall_time,value
3773,1775252319.703760,0.0558893457
7547,1775255472.569042,0.0370067954
11321,1775258604.058455,0.0408900157
15095,1775261786.487750,0.0447220616
18869,1775264899.959221,0.0449358039
22643,1775267998.872243,0.0445657261
26417,1775271132.119971,0.0478359014
30191,1775274229.188332,0.0533740968
33965,1775277480.043416,0.0584889203
37739,1775280738.181259,0.0587906279
41513,1775283976.665176,0.061168462
45287,1775287172.664511,0.0641427189
49061,1775290302.867563,0.0630745664
52835,1775293564.939199,0.0666377544
56609,1775296729.224508,0.068339251
60383,1775299898.706362,0.0717361271
64157,1775303090.272036,0.0723295882
67931,1775306288.828450,0.073609367
71705,1775309537.522622,0.0727766603
75479,1775312842.394646,0.0728960112
79253,1775316101.017506,0.0750987679
83027,1775319343.537516,0.074820444
86801,1775322656.193064,0.0747369304
90575,1775325912.894200,0.0749717727
94349,1775329157.697685,0.0751647428
