step,wall_time,value
3773,1775252319.703408,0.528442323
7547,1775255472.568803,0.390372604
11321,1775258604.058311,0.436793268
15095,1775261786.487365,0.464129746
18869,1775264899.959073,0.444245934
22643,1775267998.871932,0.442452669
26417,1775271132.119813,0.46087867
30191,1775274229.188242,0.494439602
33965,1775277480.043253,0.54843539
37739,1775280738.181076,0.535955548
41513,1775283976.664928,0.567438364
45287,1775287172.664304,0.60321939
49061,1775290302.867338,0.594653606
52835,1775293564.939090,0.617535353
56609,1775296729.224366,0.634054899
60383,1775299898.706050,0.665860832
64157,1775303090.271839,0.66475451
67931,1775306288.828262,0.673588634
71705,1775309537.522424,0.671771526
75479,1775312842.394499,0.674464583
79253,1775316101.017364,0.690793514
83027,1775319343.537335,0.688367844
86801,1775322656.192976,0.68581897
90575,1775325912.893983,0.689045489
94349,1775329157.697530,0.690131485
