step,wall_time,value
3773,1775252319.703554,0.441511124
7547,1775255472.568927,0.366791248
11321,1775258604.058384,0.359704524
15095,1775261786.487458,0.380114347
18869,1775264899.959147,0.411092371
22643,1775267998.872092,0.408341467
26417,1775271132.119831,0.427796453
30191,1775274229.188259,0.452704608
33965,1775277480.043324,0.44718945
37739,1775280738.181089,0.463519424
41513,1775283976.665005,0.454226702
45287,1775287172.664321,0.447177082
49061,1775290302.867452,0.445396394
52835,1775293564.939108,0.456456393
56609,1775296729.224437,0.456284225
60383,1775299898.706123,0.457046419
64157,1775303090.272017,0.46288988
67931,1775306288.828333,0.465730906
71705,1775309537.522604,0.460548341
75479,1775312842.394574,0.459233314
79253,1775316101.017435,0.463227451
83027,1775319343.537426,0.463030934
86801,1775322656.192991,0.464481205
90575,1775325912.894183,0.463667274
94349,1775329157.697544,0.464289963
