step,wall_time,value
30194,1775351884.773017,0.953785539
60389,1775358287.363328,0.956018806
90584,1775364779.483537,0.954688549
120779,1775371210.121232,0.950305521
150974,1775377654.587096,0.957842052
181169,1775384186.200859,0.958806813
211364,1775390640.972242,0.960362315
241559,1775397206.057724,0.9552176
271754,1775403843.585307,0.958319187
301949,1775410434.264488,0.957092762
332144,1775416935.457936,0.95561403
362339,1775423491.203084,0.96183449
392534,1775430082.297399,0.958428204
422729,1775436611.992518,0.959046006
452924,1775443166.648100,0.958917856
483119,1775449783.185347,0.958967626
513314,1775456406.766479,0.963541627
543509,1775463076.657662,0.959074795
573704,1775469819.800718,0.958789349
603899,1775476372.379271,0.960227966
634094,1775482854.570577,0.960827589
664289,1775489555.979456,0.960960507
694484,1775496310.679702,0.95973134
724679,1775503073.241799,0.961789489
754874,1775510641.640474,0.963768959
