step,wall_time,value
30194,1775351884.785858,0.00389046734
60389,1775358287.374718,0.00276676682
90584,1775364779.494355,0.00149248191
120779,1775371210.132075,0.000861407723
150974,1775377654.598414,0.00052425242
181169,1775384186.212120,0.00040304329
211364,1775390640.983843,0.000314907869
241559,1775397206.069028,0.000360937993
271754,1775403843.596124,0.00036157592
301949,1775410434.275642,0.000444000936
332144,1775416935.469481,0.000333169097
362339,1775423491.214023,0.000501858594
392534,1775430082.308458,0.000401207828
422729,1775436612.003445,0.000415841001
452924,1775443166.659292,0.000393711322
483119,1775449783.196393,0.000440648961
513314,1775456406.777598,0.000296329206
543509,1775463076.669502,0.000321661151
573704,1775469819.812148,0.000415045564
603899,1775476372.390811,0.000391889014
634094,1775482854.581111,0.000388084154
664289,1775489555.990254,0.000364980428
694484,1775496310.690742,0.000349147216
724679,1775503073.252813,0.000349496084
754874,1775510641.652141,0.000379689503
