step,wall_time,value
49,1775345371.634348,0
99,1775345378.059168,0
149,1775345384.807137,0
199,1775345391.365907,0
249,1775345398.122731,0
299,1775345404.998241,0
349,1775345411.290490,0
399,1775345418.146142,0
449,1775345424.690489,0
499,1775345431.256637,0
549,1775345437.633792,0
599,1775345444.287031,0
649,1775345450.705240,0
699,1775345457.552539,0
749,1775345463.789058,0
799,1775345470.355637,0
849,1775345477.013054,0
899,1775345483.624206,0
949,1775345491.709103,0
999,1775345498.367054,0
1049,1775345505.329598,0
1099,1775345512.052493,0
1149,1775345518.729803,0
1199,1775345525.661855,0
1249,1775345532.294586,0
1299,1775345538.833344,0
1349,1775345545.589817,0
1399,1775345552.367563,0
1449,1775345559.011761,0
1499,1775345565.565096,0
1549,1775345572.201198,0
1599,1775345578.972649,0
1649,1775345585.518032,0
1699,1775345591.884531,0
1749,1775345598.420527,0
1799,1775345605.141044,0
1849,1775345611.881608,0
1899,1775345618.567332,0
1949,1775345625.363157,0
1999,1775345631.902029,0
2049,1775345638.484334,0
2099,1775345646.507797,0
2149,1775345653.290436,0
2199,1775345659.900995,0
2249,1775345666.566137,0
2299,1775345673.202722,0
2349,1775345680.003023,0
2399,1775345686.749648,0
2449,1775345693.382852,0
2499,1775345700.040375,0
2549,1775345706.530343,0
2599,1775345713.435741,0
2649,1775345720.197875,0
2699,1775345727.102311,0
2749,1775345733.770732,0
2799,1775345740.547137,0
2849,1775345747.375191,0
2899,1775345753.702367,0
2949,1775345759.944651,0
2999,1775345766.522681,0
3049,1775345773.336169,0
3099,1775345780.139624,0
3149,1775345786.661908,0
3199,1775345793.357006,0
3249,1775345800.795703,0
3299,1775345807.237873,0
3349,1775345813.930155,0
3399,1775345820.628303,0
3449,1775345827.320454,0
3499,1775345834.187748,0
3549,1775345840.728564,0
3599,1775345847.491567,0
3649,1775345853.932253,0
3699,1775345860.355422,0
3749,1775345867.004994,0
3799,1775345873.412709,0
3849,1775345880.004202,0
3899,1775345886.637305,0
3949,1775345893.087917,0
3999,1775345899.734963,0
4049,1775345906.461037,0
4099,1775345912.802665,0
