step,wall_time,value
49,1775345371.634421,0
99,1775345378.059219,0
149,1775345384.807194,0
199,1775345391.365963,0
249,1775345398.122802,0
299,1775345404.998293,0
349,1775345411.290545,0
399,1775345418.146201,0
449,1775345424.690550,0
499,1775345431.256696,0
549,1775345437.633849,0
599,1775345444.287085,0
649,1775345450.705296,0
699,1775345457.552633,0
749,1775345463.789114,0
799,1775345470.355696,0
849,1775345477.013112,0
899,1775345483.624263,0
949,1775345491.709187,0
999,1775345498.367111,0
1049,1775345505.329655,0
1099,1775345512.052558,0
1149,1775345518.729878,0
1199,1775345525.661932,0
1249,1775345532.294643,0
1299,1775345538.833399,0
1349,1775345545.589874,0
1399,1775345552.367622,0
1449,1775345559.011814,0
1499,1775345565.565151,0
1549,1775345572.201255,0
1599,1775345578.972705,0
1649,1775345585.518092,0
1699,1775345591.884591,0
1749,1775345598.420593,0
1799,1775345605.141102,0
1849,1775345611.881664,0
1899,1775345618.567388,0
1949,1775345625.363222,0
1999,1775345631.902090,0
2049,1775345638.484389,0
2099,1775345646.507853,0
2149,1775345653.290508,0
2199,1775345659.901048,0
2249,1775345666.566193,0
2299,1775345673.202775,0
2349,1775345680.003083,0
2399,1775345686.749707,0
2449,1775345693.382936,0
2499,1775345700.040444,0
2549,1775345706.530402,0
2599,1775345713.435799,0
2649,1775345720.197945,0
2699,1775345727.102379,0
2749,1775345733.770786,0
2799,1775345740.547212,0
2849,1775345747.375264,0
2899,1775345753.702427,0
2949,1775345759.944705,0
2999,1775345766.522736,0
3049,1775345773.336243,0
3099,1775345780.139683,0
3149,1775345786.661965,0
3199,1775345793.357061,0
3249,1775345800.795764,0
3299,1775345807.237941,0
3349,1775345813.930208,0
3399,1775345820.628374,0
3449,1775345827.320523,0
3499,1775345834.187805,0
3549,1775345840.728618,0
3599,1775345847.491623,0
3649,1775345853.932336,0
3699,1775345860.355476,0
3749,1775345867.005071,0
3799,1775345873.412770,0
3849,1775345880.004259,0
3899,1775345886.637366,0
3949,1775345893.087977,0
3999,1775345899.735018,0
4049,1775345906.461095,0
4099,1775345912.802722,0
4149,1775345919.400717,0
4199,1775345926.377395,0
4249,1775345933.194574,0
4299,1775345940.242366,0
4349,1775345946.952894,0
4399,1775345953.674034,0
4449,1775345961.408017,0
4499,1775345968.059589,0
4549,1775345974.736166,0
4599,1775345981.309909,0
4649,1775345987.697160,0
4699,1775345994.424752,0
4749,1775346000.968862,0
4799,1775346007.398988,0
4849,1775346014.038289,0
4899,1775346020.617279,0
4949,1775346027.225384,0
4999,1775346033.594337,0
5049,1775346040.155424,0
5099,1775346046.655463,0
5149,1775346052.825426,0
5199,1775346059.292559,0
5249,1775346065.390586,0
5299,1775346071.785002,0
5349,1775346078.266533,0
5399,1775346084.669114,0
5449,1775346090.842350,0
5499,1775346096.736329,0
5549,1775346103.338713,0
5599,1775346110.882103,0
5649,1775346117.212459,0
5699,1775346123.737855,0
5749,1775346129.931207,0
5799,1775346136.316404,0
5849,1775346142.680503,0
5899,1775346149.157993,0
5949,1775346155.602016,0
5999,1775346162.012470,0
6049,1775346168.462554,0
6099,1775346174.760441,0
6149,1775346181.155610,0
6199,1775346187.373111,0
6249,1775346193.842433,0
6299,1775346200.352728,0
6349,1775346206.650320,0
6399,1775346212.695055,0
6449,1775346219.074587,0
6499,1775346225.599015,0
6549,1775346231.778896,0
6599,1775346238.235346,0
6649,1775346244.885248,0
6699,1775346251.195659,0
6749,1775346258.423625,0
6799,1775346264.671840,0
6849,1775346271.029360,0
6899,1775346277.427724,0
6949,1775346283.557674,0
6999,1775346290.142187,0
7049,1775346296.294283,0
7099,1775346302.603116,0
7149,1775346308.983473,0
7199,1775346315.410928,0
7249,1775346321.956082,0
7299,1775346328.280007,0
7349,1775346334.586753,0
7399,1775346340.971215,0
7449,1775346347.724763,0
7499,1775346354.204143,0
7549,1775346360.726943,0
7599,1775346367.248665,0
7649,1775346373.474175,0
7699,1775346379.730283,0
7749,1775346386.191360,0
7799,1775346392.752644,0
7849,1775346399.399649,0
7899,1775346406.451378,0
7949,1775346413.233727,0
7999,1775346419.571028,0
8049,1775346426.273479,0
8099,1775346433.033848,0
8149,1775346440.050824,0
8199,1775346446.958704,0
8249,1775346453.755013,0
8299,1775346460.624030,0
8349,1775346467.377637,0
8399,1775346474.047610,0
8449,1775346480.867718,0
8499,1775346487.389074,0
8549,1775346494.129376,0
8599,1775346501.304624,0
8649,1775346508.061510,0
8699,1775346515.073167,0
8749,1775346521.983836,0
8799,1775346528.795818,0
8849,1775346535.677989,0
8899,1775346542.283953,0
8949,1775346548.868433,0
8999,1775346555.913965,0
9049,1775346563.415500,0
9099,1775346569.988692,0
9149,1775346576.836130,0
9199,1775346583.559565,0
9249,1775346590.452133,0
9299,1775346597.229508,0
9349,1775346603.993851,0
9399,1775346610.639064,0
9449,1775346617.330102,0
9499,1775346623.957981,0
9549,1775346630.680835,0
9599,1775346637.276584,0
9649,1775346644.069778,0
9699,1775346650.573819,0
9749,1775346656.722111,0
9799,1775346663.366980,0
9849,1775346669.996409,0
9899,1775346676.431994,0
9949,1775346682.591772,0
9999,1775346689.156170,0
10049,1775346695.503859,0
10099,1775346701.479101,0
10149,1775346707.798024,0
10199,1775346714.979535,0
10249,1775346721.368247,0
10299,1775346727.793935,0
10349,1775346734.214109,0
10399,1775346740.506638,0
10449,1775346746.826079,0
10499,1775346753.201389,0
10549,1775346759.396476,0
10599,1775346765.830529,0
10649,1775346772.653638,0
10699,1775346779.216151,0
10749,1775346785.927198,0
10799,1775346792.776615,0
10849,1775346799.125139,0
10899,1775346805.675016,0
10949,1775346812.313426,0
10999,1775346818.792683,0
11049,1775346824.948506,0
11099,1775346831.184616,0
11149,1775346837.603005,0
11199,1775346844.219486,0
11249,1775346850.622838,0
11299,1775346856.831542,0
11349,1775346863.743757,0
11399,1775346870.226804,0
11449,1775346876.261257,0
11499,1775346882.388203,0
11549,1775346888.394681,0
11599,1775346894.899648,0
11649,1775346900.953804,0
11699,1775346907.217327,0
11749,1775346913.191252,0
11799,1775346919.172523,0
11849,1775346925.598078,0
11899,1775346931.986073,0
11949,1775346937.822418,0
11999,1775346944.475084,0
12049,1775346950.598379,0
12099,1775346956.999744,0
12149,1775346963.345247,0
12199,1775346969.486156,0
12249,1775346975.397261,0
12299,1775346981.437007,0
12349,1775346987.704070,0
12399,1775346994.220203,0
12449,1775347000.808621,0
12499,1775347007.891307,0
12549,1775347014.220700,0
12599,1775347020.685339,0
12649,1775347027.182202,0
12699,1775347033.768533,0
12749,1775347040.179350,0
12799,1775347046.530366,0
12849,1775347052.592784,0
12899,1775347058.434018,0
12949,1775347064.881518,0
12999,1775347071.531744,0
13049,1775347077.851526,0
13099,1775347084.358710,0
13149,1775347090.802641,0
13199,1775347097.221577,0
13249,1775347103.681478,0
13299,1775347110.035761,0
13349,1775347116.337432,0
13399,1775347122.804414,0
13449,1775347129.120444,0
13499,1775347135.558572,0
13549,1775347142.134586,0
13599,1775347148.640258,0
13649,1775347155.793410,0
13699,1775347162.017235,0
13749,1775347168.480852,0
13799,1775347175.028735,0
13849,1775347181.510314,0
13899,1775347187.327421,0
13949,1775347193.392509,0
13999,1775347199.916935,0
14049,1775347206.085370,0
14099,1775347212.442634,0
14149,1775347218.799253,0
14199,1775347225.383968,0
14249,1775347231.669023,0
14299,1775347237.933316,0
14349,1775347244.360298,0
14399,1775347250.793904,0
14449,1775347256.821044,0
14499,1775347262.742278,0
14549,1775347268.562680,0
14599,1775347274.766495,0
14649,1775347280.492233,0
14699,1775347286.577355,0
14749,1775347292.634559,0
14799,1775347299.454890,0
14849,1775347306.093722,0
14899,1775347312.893147,0
14949,1775347319.249583,0
14999,1775347325.724648,0
15049,1775347332.632922,0
15099,1775347338.863184,0
15149,1775347345.438189,0
15199,1775347352.182345,0
15249,1775347358.649705,0
15299,1775347365.175204,0
15349,1775347371.868540,0
15399,1775347378.558404,0
15449,1775347385.372313,0
15499,1775347392.054164,0
15549,1775347398.600321,0
15599,1775347405.497445,0
15649,1775347411.991724,0
15699,1775347418.352678,0
15749,1775347424.751238,0
15799,1775347431.187275,0
15849,1775347437.591193,0
15899,1775347444.087165,0
15949,1775347450.478766,0
15999,1775347457.374499,0
16049,1775347463.828867,0
16099,1775347470.130563,0
16149,1775347476.577815,0
16199,1775347482.408691,0
16249,1775347488.214327,0
16299,1775347494.515012,0
16349,1775347500.908979,0
16399,1775347507.153592,0
16449,1775347513.309684,0
16499,1775347519.514934,0
16549,1775347525.968597,0
16599,1775347532.122260,0
16649,1775347538.670630,0
16699,1775347545.255184,0
16749,1775347551.767643,0
16799,1775347558.344278,0
16849,1775347564.742364,0
16899,1775347571.004387,0
16949,1775347577.157405,0
16999,1775347583.506208,0
17049,1775347590.005759,0
17099,1775347596.781870,0
17149,1775347602.952838,0
17199,1775347609.126892,0
17249,1775347615.496834,0
17299,1775347621.673537,0
17349,1775347627.732603,0
17399,1775347634.244226,0
17449,1775347640.779731,0
17499,1775347646.678376,0
17549,1775347652.739205,0
17599,1775347659.204540,0
17649,1775347665.872782,0
17699,1775347672.080833,0
17749,1775347678.678019,0
17799,1775347684.750144,0
17849,1775347691.290615,0
17899,1775347697.499977,0
17949,1775347703.823394,0
17999,1775347710.227508,0
18049,1775347716.903909,0
18099,1775347723.012232,0
18149,1775347729.157627,0
18199,1775347735.482285,0
18249,1775347742.056828,0
18299,1775347748.415159,0
18349,1775347754.971462,0
18399,1775347761.807177,0
18449,1775347768.701715,0
18499,1775347775.343129,0
18549,1775347781.939909,0
18599,1775347788.524307,0
18649,1775347794.954231,0
18699,1775347801.295778,0
18749,1775347807.896771,0
18799,1775347814.621991,0
18849,1775347821.151643,0
18899,1775347827.823175,0
18949,1775347834.012385,0
18999,1775347840.352089,0
19049,1775347846.614379,0
19099,1775347853.009481,0
19149,1775347859.456968,0
19199,1775347865.215114,0
19249,1775347871.563592,0
19299,1775347877.844495,0
19349,1775347884.503188,0
19399,1775347891.422913,0
19449,1775347897.271452,0
19499,1775347903.601124,0
19549,1775347909.785752,0
19599,1775347916.315721,0
19649,1775347923.158346,0
19699,1775347929.636981,0
19749,1775347936.249635,0
19799,1775347942.414495,0
19849,1775347949.001605,0
19899,1775347955.531722,0
19949,1775347961.546577,0
19999,1775347967.812669,0
20049,1775347974.294225,0
20099,1775347980.651391,0
20149,1775347987.342594,0
20199,1775347993.746880,0
20249,1775348000.328428,0
20299,1775348006.450823,0
20349,1775348012.801872,0
20399,1775348019.106490,0
20449,1775348025.553398,0
20499,1775348032.231325,0
20549,1775348039.186539,0
20599,1775348045.730945,0
20649,1775348052.467852,0
20699,1775348059.279611,0
20749,1775348065.807948,0
20799,1775348072.342262,0
20849,1775348079.102111,0
20899,1775348085.045826,0
20949,1775348091.604767,0
20999,1775348097.860319,0
21049,1775348103.927063,0
21099,1775348110.080044,0
21149,1775348116.187457,0
21199,1775348122.441915,0
21249,1775348128.573378,0
21299,1775348134.927335,0
21349,1775348141.596919,0
21399,1775348148.165383,0
21449,1775348154.703611,0
21499,1775348161.114007,0
21549,1775348167.272448,0
21599,1775348173.767575,0
21649,1775348180.409459,0
21699,1775348187.708029,0
21749,1775348194.390570,0
21799,1775348201.036947,0
21849,1775348207.694639,0
21899,1775348214.327950,0
21949,1775348220.727118,0
21999,1775348227.310130,0
22049,1775348234.104933,0
22099,1775348240.911812,0
22149,1775348247.574858,0
22199,1775348254.035233,0
22249,1775348260.425041,0
22299,1775348266.376456,0
22349,1775348272.737835,0
22399,1775348278.947566,0
22449,1775348285.447932,0
22499,1775348291.949774,0
22549,1775348297.962393,0
22599,1775348304.371233,0
22649,1775348311.142133,0
22699,1775348317.330870,0
