step,wall_time,value
49,1775345371.634485,0.795308828
99,1775345378.059266,0.869381547
149,1775345384.807287,0.849631369
199,1775345391.366055,0.742376983
249,1775345398.122931,0.784888983
299,1775345404.998338,0.79962337
349,1775345411.290592,0.772628903
399,1775345418.146251,0.744096041
449,1775345424.690639,0.717704177
499,1775345431.256746,0.687472224
549,1775345437.633908,0.646635056
599,1775345444.287130,0.634131193
649,1775345450.705343,0.591400504
699,1775345457.552685,0.577819228
749,1775345463.789208,0.580341935
799,1775345470.355744,0.535385251
849,1775345477.013212,0.536556363
899,1775345483.624309,0.549521685
949,1775345491.709234,0.510758281
999,1775345498.367156,0.527260542
1049,1775345505.329754,0.518254519
1099,1775345512.052616,0.496568382
1149,1775345518.730030,0.511687398
1199,1775345525.661990,0.486247659
1249,1775345532.294688,0.50265038
1299,1775345538.833447,0.471309364
1349,1775345545.589973,0.486127019
1399,1775345552.367671,0.484276712
1449,1775345559.011861,0.46707961
1499,1775345565.565240,0.46345228
1549,1775345572.201302,0.4689852
1599,1775345578.972751,0.461993098
1649,1775345585.518138,0.467863053
1699,1775345591.884640,0.484154105
1749,1775345598.420713,0.42303589
1799,1775345605.141147,0.447047621
1849,1775345611.881711,0.465641916
1899,1775345618.567435,0.430618674
1949,1775345625.363326,0.482991099
1999,1775345631.902137,0.417615414
2049,1775345638.484482,0.433007598
2099,1775345646.507963,0.407518834
2149,1775345653.290627,0.445931256
2199,1775345659.901093,0.44241184
2249,1775345666.566286,0.439878196
2299,1775345673.202870,0.423934996
2349,1775345680.003133,0.424061537
2399,1775345686.749754,0.419872284
2449,1775345693.383000,0.427616596
2499,1775345700.040504,0.39804408
2549,1775345706.530501,0.408979088
2599,1775345713.435847,0.427725255
2649,1775345720.197993,0.411250979
2699,1775345727.102507,0.397877693
2749,1775345733.770896,0.384279728
2799,1775345740.547325,0.391055524
2849,1775345747.375380,0.375508666
2899,1775345753.702474,0.382875711
2949,1775345759.944797,0.414640635
2999,1775345766.522829,0.360574365
3049,1775345773.336430,0.380462915
3099,1775345780.139727,0.348053813
3149,1775345786.662015,0.356145859
3199,1775345793.357109,0.380100369
3249,1775345800.795815,0.360801071
3299,1775345807.237987,0.351240218
3349,1775345813.930252,0.362227798
3399,1775345820.628435,0.320576429
3449,1775345827.320634,0.30884853
3499,1775345834.187905,0.338279009
3549,1775345840.728666,0.295660853
3599,1775345847.491719,0.288782924
3649,1775345853.932405,0.332809329
3699,1775345860.355570,0.293380082
3749,1775345867.005136,0.310442358
3799,1775345873.412816,0.309654832
3849,1775345880.004348,0.30140397
3899,1775345886.637454,0.320237875
3949,1775345893.088027,0.291238695
3999,1775345899.735111,0.293540657
4049,1775345906.461185,0.295173109
4099,1775345912.802813,0.270371675
4149,1775345919.400780,0.236730799
4199,1775345926.377609,0.238367021
4249,1775345933.194624,0.284000129
4299,1775345940.242420,0.240750909
4349,1775345946.952944,0.240736052
4399,1775345953.674082,0.279343247
4449,1775345961.408063,0.230640709
4499,1775345968.059747,0.275500596
4549,1775345974.736210,0.234495178
4599,1775345981.309956,0.231132254
4649,1775345987.697203,0.228725821
4699,1775345994.424818,0.236362681
4749,1775346000.968920,0.259422272
4799,1775346007.399039,0.242128313
4849,1775346014.038335,0.261695385
4899,1775346020.617399,0.223462299
4949,1775346027.225448,0.216980353
4999,1775346033.594438,0.171087623
5049,1775346040.155470,0.246804893
5099,1775346046.655526,0.241080463
5149,1775346052.825472,0.242502868
5199,1775346059.292604,0.207915962
5249,1775346065.390631,0.226497233
5299,1775346071.785048,0.212650418
5349,1775346078.266624,0.224304333
5399,1775346084.669164,0.211066067
5449,1775346090.842399,0.23097381
5499,1775346096.736426,0.213182047
5549,1775346103.338759,0.16513145
5599,1775346110.882151,0.2217682
5649,1775346117.212549,0.216737926
5699,1775346123.737915,0.215977773
5749,1775346129.931255,0.212767571
5799,1775346136.316458,0.185647324
5849,1775346142.680568,0.185602695
5899,1775346149.158086,0.2332744
5949,1775346155.602112,0.245108664
5999,1775346162.012518,0.212902635
6049,1775346168.462600,0.220464021
6099,1775346174.760487,0.224741951
6149,1775346181.155707,0.243831575
6199,1775346187.373156,0.209578052
6249,1775346193.842586,0.176636934
6299,1775346200.352850,0.157465085
6349,1775346206.650367,0.182675958
6399,1775346212.695100,0.211288929
6449,1775346219.074681,0.186324805
6499,1775346225.599059,0.19109574
6549,1775346231.778989,0.212753117
6599,1775346238.235432,0.207309872
6649,1775346244.885297,0.14438504
6699,1775346251.195711,0.182567745
6749,1775346258.423721,0.231362104
6799,1775346264.671970,0.24949187
6849,1775346271.029452,0.226248503
6899,1775346277.427839,0.187643409
6949,1775346283.557720,0.212989628
6999,1775346290.142231,0.173216522
7049,1775346296.294391,0.217340559
7099,1775346302.603211,0.180586159
7149,1775346308.983569,0.172001556
7199,1775346315.410973,0.176098704
7249,1775346321.956127,0.19975999
7299,1775346328.280054,0.21602051
7349,1775346334.586800,0.17132175
7399,1775346340.971262,0.179380029
7449,1775346347.724811,0.16041258
7499,1775346354.204191,0.212975115
7549,1775346360.726992,0.190539718
7599,1775346367.248712,0.183700502
7649,1775346373.474274,0.20389621
7699,1775346379.730381,0.193041563
7749,1775346386.191451,0.176882356
7799,1775346392.752692,0.182689875
7849,1775346399.399697,0.143464237
7899,1775346406.451425,0.190063417
7949,1775346413.233823,0.195715904
7999,1775346419.571076,0.188463122
8049,1775346426.273525,0.210070491
8099,1775346433.033945,0.17196542
8149,1775346440.050874,0.208227634
8199,1775346446.958750,0.254961014
8249,1775346453.755077,0.190162152
8299,1775346460.624156,0.190919116
8349,1775346467.377682,0.161866561
8399,1775346474.047657,0.198029965
8449,1775346480.867857,0.190401077
8499,1775346487.389167,0.156492233
8549,1775346494.129421,0.162429243
8599,1775346501.304713,0.212263793
8649,1775346508.061624,0.187833205
8699,1775346515.073256,0.155266434
8749,1775346521.983904,0.166493401
8799,1775346528.795865,0.19578144
8849,1775346535.678036,0.159385264
8899,1775346542.284065,0.181573972
8949,1775346548.868498,0.181797266
8999,1775346555.914008,0.235925287
9049,1775346563.415546,0.19161281
9099,1775346569.988738,0.187451869
9149,1775346576.836175,0.192255929
9199,1775346583.559659,0.192788512
9249,1775346590.452182,0.163306236
9299,1775346597.229553,0.16911988
9349,1775346603.993912,0.159650162
9399,1775346610.639159,0.179131001
9449,1775346617.330160,0.17823334
9499,1775346623.958029,0.19639492
9549,1775346630.680893,0.230978608
9599,1775346637.276692,0.215417579
9649,1775346644.069842,0.154566079
9699,1775346650.573870,0.165938377
9749,1775346656.722161,0.167382032
9799,1775346663.367025,0.161026001
9849,1775346669.996455,0.158585072
9899,1775346676.432045,0.173054546
9949,1775346682.591817,0.215624273
9999,1775346689.156216,0.160681158
10049,1775346695.503921,0.190553188
10099,1775346701.479230,0.163190782
10149,1775346707.798120,0.219277054
10199,1775346714.979600,0.171523184
10249,1775346721.368308,0.195282534
10299,1775346727.794032,0.171138227
10349,1775346734.214200,0.170342207
10399,1775346740.506687,0.16913496
