step,wall_time,value
30194,1775351884.786907,0.602271557
60389,1775358287.376145,0.611679137
90584,1775364779.495200,0.621766686
120779,1775371210.132900,0.636065125
150974,1775377654.599453,0.661227167
181169,1775384186.213048,0.66189158
211364,1775390640.984872,0.649068356
241559,1775397206.070006,0.647683561
271754,1775403843.596949,0.667337477
301949,1775410434.276599,0.658960104
332144,1775416935.470474,0.642980576
362339,1775423491.214864,0.661029816
392534,1775430082.309422,0.651491761
422729,1775436612.004359,0.661922336
452924,1775443166.660309,0.650474668
483119,1775449783.197133,0.650669456
513314,1775456406.778748,0.649045765
543509,1775463076.670578,0.643018901
573704,1775469819.813241,0.634256124
603899,1775476372.391876,0.629085243
634094,1775482854.582190,0.618455172
664289,1775489555.991419,0.628759325
694484,1775496310.691535,0.634194911
724679,1775503073.253704,0.629561663
754874,1775510641.653682,0.621312141
