step,wall_time,value
30194,1775351884.786256,0.993691802
60389,1775358287.375288,0.959793031
90584,1775364779.494508,0.999242127
120779,1775371210.132441,0.997972429
150974,1775377654.598868,0.999691844
181169,1775384186.212570,0.99958688
211364,1775390640.984429,0.99966085
241559,1775397206.069414,0.999682248
271754,1775403843.596603,0.999552906
301949,1775410434.276029,0.999688447
332144,1775416935.469934,0.999715388
362339,1775423491.214450,0.999588072
392534,1775430082.309004,0.999456108
422729,1775436612.003866,0.99912715
452924,1775443166.659769,0.998607159
483119,1775449783.196813,0.99815166
513314,1775456406.778181,0.99851042
543509,1775463076.670034,0.997366488
573704,1775469819.812770,0.997619092
603899,1775476372.391423,0.998874068
634094,1775482854.581596,0.995552301
664289,1775489555.990824,0.99447602
694484,1775496310.691207,0.995807588
724679,1775503073.253325,0.992567599
754874,1775510641.652701,0.993245959
