step,wall_time,value
30194,1775351884.787370,0.110580802
60389,1775358287.376197,0.0986766294
90584,1775364779.495365,0.109157532
120779,1775371210.133219,0.110006541
150974,1775377654.599626,0.119286798
181169,1775384186.213344,0.120849147
211364,1775390640.985222,0.114577413
241559,1775397206.070170,0.114908211
271754,1775403843.597296,0.120292522
301949,1775410434.276818,0.11588525
332144,1775416935.470787,0.110449538
362339,1775423491.215312,0.117684647
392534,1775430082.309743,0.116231866
422729,1775436612.004641,0.119181179
452924,1775443166.660595,0.120075122
483119,1775449783.197348,0.116543256
513314,1775456406.779111,0.119227722
543509,1775463076.670857,0.111488
573704,1775469819.813479,0.111301623
603899,1775476372.392236,0.109814733
634094,1775482854.582485,0.104008652
664289,1775489555.991462,0.106178634
694484,1775496310.692019,0.108808018
724679,1775503073.254024,0.107121624
754874,1775510641.653734,0.105164789
