step,wall_time,value
30194,1775351884.786924,0.794904888
60389,1775358287.376165,0.683384359
90584,1775364779.495216,0.744926274
120779,1775371210.132975,0.723036766
150974,1775377654.599472,0.737569451
181169,1775384186.213196,0.747145355
211364,1775390640.984993,0.729979992
241559,1775397206.070024,0.735262394
271754,1775403843.597021,0.731251359
301949,1775410434.276674,0.718549788
332144,1775416935.470640,0.712529421
362339,1775423491.215052,0.726775467
392534,1775430082.309555,0.736803293
422729,1775436612.004375,0.735364377
452924,1775443166.660425,0.766729236
483119,1775449783.197205,0.740802109
513314,1775456406.778860,0.763703942
543509,1775463076.670650,0.720028639
573704,1775469819.813260,0.736283362
603899,1775476372.392036,0.735501766
634094,1775482854.582211,0.711901963
664289,1775489555.991435,0.708854377
694484,1775496310.691553,0.717900991
724679,1775503073.253820,0.714351654
754874,1775510641.653702,0.715351641
