step,wall_time,value
30194,1775351884.787158,0.59608525
60389,1775358287.376181,0.609377325
90584,1775364779.495291,0.617811024
120779,1775371210.133046,0.63327229
150974,1775377654.599486,0.658773243
181169,1775384186.213216,0.659154177
211364,1775390640.985108,0.646468461
241559,1775397206.070152,0.644870758
271754,1775403843.597277,0.66528672
301949,1775410434.276746,0.657046676
332144,1775416935.470659,0.640745521
362339,1775423491.215297,0.65891856
392534,1775430082.309670,0.648750305
422729,1775436612.004526,0.659560561
452924,1775443166.660443,0.646734834
483119,1775449783.197276,0.647774279
513314,1775456406.778939,0.645360589
543509,1775463076.670719,0.640543044
573704,1775469819.813460,0.630978823
603899,1775476372.392055,0.625667095
634094,1775482854.582296,0.615451694
664289,1775489555.991448,0.626185358
694484,1775496310.691750,0.63150543
724679,1775503073.253947,0.626836479
754874,1775510641.653719,0.618289888
