step,wall_time,value
3773,1775583597.882270,0.958093286
7547,1775589253.185935,0.95290333
11321,1775594864.130331,0.962373376
15095,1775600212.575253,0.963211596
18869,1775605352.064596,0.963245392
22643,1775609834.468930,0.961963534
26417,1775614209.948219,0.957681775
30191,1775619207.365856,0.969942272
33965,1775624372.845696,0.966577291
37739,1775629447.067907,0.963366926
41513,1775633920.307099,0.963961661
45287,1775639099.795415,0.964886844
49061,1775644848.889869,0.960781217
52835,1775650462.654959,0.965399086
56609,1775656023.124324,0.961922884
60383,1775661902.462816,0.964699745
64157,1775667069.986944,0.958774269
67931,1775671063.865727,0.961092949
71705,1775676456.159582,0.963679552
75479,1775682037.634986,0.963252008
79253,1775687578.896541,0.961508334
83027,1775693423.510998,0.965891182
86801,1775699285.853192,0.963532448
90575,1775704647.319125,0.962034523
94349,1775708252.915398,0.962022781
98123,1775711967.915860,0.963472247
101897,1775715613.542749,0.965795517
105671,1775719301.000145,0.965629697
109445,1775723028.999259,0.965214193
113219,1775726657.575642,0.964075148
116993,1775730385.480335,0.965194464
120767,1775734081.006658,0.965180039
124541,1775737671.242889,0.962421477
128315,1775741597.197824,0.966192126
132089,1775746790.621416,0.965595901
135863,1775750362.683048,0.961320758
