step,wall_time,value
49,1775577889.695903,0
99,1775577912.202189,0
149,1775577957.226075,0
199,1775578004.631504,0
249,1775578052.322811,0
299,1775578099.749681,0
349,1775578146.879088,0
399,1775578194.014823,0
449,1775578241.918754,0
499,1775578290.139025,0
549,1775578337.784153,0
599,1775578385.358988,0
649,1775578433.164565,0
699,1775578481.047419,0
749,1775578528.926513,0
799,1775578576.295402,0
849,1775578623.761354,0
899,1775578672.476690,0
949,1775578720.044930,0
999,1775578767.530718,0
1049,1775578815.128109,0
1099,1775578863.015203,0
1149,1775578910.645793,0
1199,1775578957.789832,0
1249,1775579005.517347,0
1299,1775579053.295257,0
1349,1775579100.966692,0
1399,1775579143.611539,0
1449,1775579191.078059,0
1499,1775579238.845766,0
1549,1775579286.565784,0
1599,1775579334.717606,0
1649,1775579382.988938,0
1699,1775579430.617870,0
1749,1775579461.268591,0
1799,1775579506.403110,0
1849,1775579551.759855,0
1899,1775579596.849531,0
1949,1775579641.718445,0
1999,1775579683.292332,0
2049,1775579710.759498,0
2099,1775579758.180565,0
2149,1775579805.263052,0
2199,1775579852.633367,0
2249,1775579899.662653,0
2299,1775579946.668756,0
2349,1775579993.792696,0
2399,1775580041.191751,0
2449,1775580088.256239,0
2499,1775580135.674447,0
2549,1775580183.229634,0
2599,1775580230.441638,0
2649,1775580277.235132,0
2699,1775580324.473716,0
2749,1775580371.722928,0
2799,1775580419.006015,0
2849,1775580466.171778,0
2899,1775580513.393320,0
2949,1775580560.715042,0
2999,1775580607.808775,0
3049,1775580655.160208,0
3099,1775580703.016587,0
3149,1775580750.649310,0
3199,1775580799.335453,0
3249,1775580846.476598,0
3299,1775580894.015871,0
3349,1775580927.058960,0
3399,1775580949.923707,0
3449,1775580971.745344,0
3499,1775580995.511807,0
3549,1775581040.582927,0
3599,1775581088.071487,0
3649,1775581136.152752,0
3699,1775581184.106251,0
3749,1775581231.585675,0
3773,1775583597.895541,0
3773,1775583598.303327,0
3799,1775583630.799604,1
3849,1775583678.400473,1
3899,1775583726.531909,1
3949,1775583774.222589,1
3999,1775583821.948183,1
4049,1775583869.996238,1
4099,1775583918.268309,1
4149,1775583965.937757,1
4199,1775584013.853387,1
4249,1775584061.742679,1
4299,1775584109.552062,1
4349,1775584157.207519,1
4399,1775584204.717205,1
4449,1775584252.086339,1
4499,1775584299.421599,1
4549,1775584346.835449,1
4599,1775584394.245233,1
4649,1775584441.433906,1
4699,1775584488.712571,1
4749,1775584537.572866,1
4799,1775584584.286319,1
4849,1775584631.376379,1
4899,1775584673.651832,1
4949,1775584695.615445,1
4999,1775584717.470728,1
5049,1775584739.553366,1
5099,1775584762.261593,1
5149,1775584783.689940,1
5199,1775584805.665178,1
5249,1775584827.553626,1
5299,1775584849.545348,1
5349,1775584871.744282,1
5399,1775584894.016831,1
5449,1775584915.395893,1
5499,1775584958.161190,1
5549,1775585005.547154,1
5599,1775585052.928784,1
5649,1775585100.565858,1
5699,1775585148.694935,1
5749,1775585196.402660,1
5799,1775585244.433027,1
5849,1775585292.561683,1
5899,1775585341.711491,1
5949,1775585389.895613,1
5999,1775585438.012477,1
6049,1775585486.405716,1
6099,1775585534.402672,1
6149,1775585582.839079,1
6199,1775585631.610028,1
6249,1775585679.489422,1
6299,1775585727.478524,1
6349,1775585775.719533,1
6399,1775585823.619360,1
6449,1775585871.838579,1
6499,1775585920.291693,1
6549,1775585968.330676,1
6599,1775586016.367976,1
6649,1775586064.528535,1
6699,1775586112.982269,1
6749,1775586148.759115,1
6799,1775586170.173289,1
6849,1775586192.817481,1
6899,1775586216.072841,1
6949,1775586256.931001,1
6999,1775586304.776143,1
7049,1775586353.636933,1
7099,1775586401.608045,1
7149,1775586449.237731,1
7199,1775586497.185117,1
7249,1775586544.631872,1
7299,1775586592.614585,1
7349,1775586640.335947,1
7399,1775586687.842854,1
7449,1775586735.667569,1
7499,1775586783.671197,1
7547,1775589253.199718,1
7547,1775589253.751550,1
7549,1775589263.430472,2
7599,1775589311.486385,2
7649,1775589359.691334,2
7699,1775589408.062426,2
7749,1775589456.367949,2
7799,1775589504.691121,2
7849,1775589552.870179,2
7899,1775589600.334075,2
7949,1775589622.474446,2
7999,1775589645.046208,2
8049,1775589676.615118,2
8099,1775589724.481846,2
8149,1775589772.772338,2
8199,1775589820.546132,2
8249,1775589868.989789,2
8299,1775589916.809939,2
8349,1775589964.670497,2
8399,1775590012.584183,2
8449,1775590060.319864,2
8499,1775590108.087699,2
8549,1775590155.838645,2
8599,1775590203.582162,2
8649,1775590251.340414,2
8699,1775590299.356848,2
8749,1775590348.406546,2
8799,1775590396.192253,2
8849,1775590444.124004,2
8899,1775590492.091968,2
8949,1775590539.791597,2
8999,1775590587.664098,2
9049,1775590635.393524,2
9099,1775590683.175866,2
9149,1775590730.787881,2
9199,1775590778.393113,2
9249,1775590825.899974,2
9299,1775590872.902936,2
9349,1775590896.459833,2
9399,1775590917.907156,2
9449,1775590940.099969,2
9499,1775590961.368307,2
9549,1775590983.626120,2
9599,1775591005.548316,2
9649,1775591027.329349,2
9699,1775591049.549287,2
9749,1775591073.902772,2
9799,1775591121.156220,2
9849,1775591169.461206,2
9899,1775591217.517060,2
9949,1775591266.256108,2
9999,1775591313.596506,2
10049,1775591361.387477,2
10099,1775591409.017091,2
10149,1775591456.868649,2
10199,1775591504.308407,2
10249,1775591551.884966,2
10299,1775591599.339542,2
10349,1775591647.010355,2
10399,1775591694.606264,2
10449,1775591742.230862,2
10499,1775591790.018313,2
10549,1775591837.327547,2
10599,1775591884.979172,2
10649,1775591933.099737,2
10699,1775591981.093003,2
10749,1775592028.701987,2
10799,1775592076.382960,2
10849,1775592123.760446,2
10899,1775592171.977998,2
10949,1775592219.967524,2
10999,1775592267.574047,2
11049,1775592309.564643,2
11099,1775592358.088554,2
11149,1775592406.294288,2
11199,1775592454.439896,2
11249,1775592502.663847,2
11299,1775592550.828534,2
11321,1775594864.145440,2
11321,1775594864.781995,2
11349,1775594898.597916,3
11399,1775594946.399181,3
11449,1775594994.705036,3
11499,1775595043.120555,3
11549,1775595091.686293,3
11599,1775595123.651163,3
11649,1775595144.459954,3
11699,1775595167.029714,3
11749,1775595204.412318,3
11799,1775595249.287706,3
11849,1775595294.399349,3
11899,1775595339.134877,3
11949,1775595384.618154,3
11999,1775595430.348422,3
12049,1775595475.376781,3
12099,1775595520.385465,3
12149,1775595565.223590,3
12199,1775595609.218478,3
12249,1775595653.406874,3
12299,1775595698.882692,3
12349,1775595741.375163,3
12399,1775595784.656347,3
12449,1775595827.114977,3
12499,1775595869.810671,3
12549,1775595912.573282,3
12599,1775595954.377635,3
12649,1775595997.970532,3
12699,1775596044.874112,3
12749,1775596094.583398,3
12799,1775596143.774699,3
12849,1775596192.866488,3
12899,1775596241.444571,3
12949,1775596290.192694,3
12999,1775596338.944973,3
13049,1775596383.833962,3
13099,1775596432.929939,3
13149,1775596481.666466,3
13199,1775596530.684560,3
13249,1775596579.606147,3
13299,1775596628.535900,3
13349,1775596675.122114,3
13399,1775596702.148147,3
13449,1775596747.890007,3
13499,1775596793.421636,3
13549,1775596838.638246,3
13599,1775596884.161740,3
13649,1775596929.935164,3
13699,1775596950.234657,3
13749,1775596972.487819,3
13799,1775596995.116778,3
13849,1775597026.609609,3
13899,1775597076.040448,3
13949,1775597124.616532,3
13999,1775597172.945517,3
14049,1775597221.194960,3
14099,1775597269.771567,3
14149,1775597318.391844,3
14199,1775597366.859967,3
14249,1775597415.644057,3
14299,1775597464.482646,3
14349,1775597512.537011,3
14399,1775597561.546505,3
14449,1775597610.693411,3
14499,1775597659.737110,3
14549,1775597708.633245,3
14599,1775597757.701357,3
14649,1775597806.518072,3
14699,1775597855.441648,3
14749,1775597904.119182,3
14799,1775597952.703382,3
14849,1775598001.764208,3
14899,1775598050.756958,3
14949,1775598099.549868,3
14999,1775598148.299826,3
15049,1775598198.235867,3
15095,1775600212.590178,3
15095,1775600213.077817,3
15099,1775600230.066247,4
15149,1775600284.248982,4
15199,1775600332.787248,4
15249,1775600381.563546,4
15299,1775600430.390070,4
15349,1775600478.940504,4
15399,1775600527.502687,4
15449,1775600576.177392,4
15499,1775600625.726952,4
15549,1775600674.630226,4
15599,1775600723.327367,4
15649,1775600771.705325,4
15699,1775600820.099355,4
15749,1775600868.260351,4
15799,1775600916.372788,4
15849,1775600964.606869,4
15899,1775601012.939632,4
15949,1775601061.313454,4
15999,1775601109.111226,4
16049,1775601132.340384,4
16099,1775601153.877398,4
16149,1775601175.895344,4
16199,1775601200.465354,4
16249,1775601223.950789,4
16299,1775601246.397871,4
16349,1775601268.849245,4
16399,1775601290.298457,4
16449,1775601312.768370,4
16499,1775601335.168755,4
16549,1775601358.475919,4
16599,1775601380.099447,4
16649,1775601402.215879,4
16699,1775601426.941399,4
16749,1775601449.281631,4
16799,1775601472.101518,4
16849,1775601494.941537,4
16899,1775601517.727823,4
16949,1775601539.375568,4
16999,1775601562.086579,4
17049,1775601584.689507,4
17099,1775601607.259453,4
17149,1775601629.637717,4
17199,1775601664.013592,4
17249,1775601712.097461,4
17299,1775601760.213339,4
17349,1775601808.502755,4
17399,1775601856.653679,4
17449,1775601904.940535,4
17499,1775601953.229230,4
17549,1775602001.326144,4
17599,1775602049.531628,4
17649,1775602097.591059,4
17699,1775602145.702064,4
17749,1775602193.957689,4
17799,1775602242.023391,4
17849,1775602291.402693,4
17899,1775602339.850497,4
17949,1775602388.080521,4
17999,1775602436.151981,4
18049,1775602484.268599,4
18099,1775602532.399724,4
18149,1775602580.610412,4
18199,1775602628.820157,4
18249,1775602676.923293,4
18299,1775602725.105677,4
18349,1775602773.258043,4
18399,1775602821.550716,4
18449,1775602865.403361,4
18499,1775602913.760497,4
18549,1775602962.160535,4
18599,1775603010.558496,4
18649,1775603058.393200,4
18699,1775603106.749582,4
18749,1775603154.847696,4
18799,1775603183.059586,4
18849,1775603228.039137,4
18869,1775605352.078558,4
18869,1775605353.005944,4
18899,1775605373.043310,5
18949,1775605394.734166,5
18999,1775605416.124741,5
19049,1775605438.182828,5
19099,1775605460.622301,5
19149,1775605482.249408,5
19199,1775605504.435596,5
19249,1775605526.641861,5
19299,1775605549.034158,5
19349,1775605570.836205,5
19399,1775605592.211751,5
19449,1775605613.603143,5
19499,1775605637.766491,5
19549,1775605660.406128,5
19599,1775605684.147750,5
19649,1775605706.060203,5
19699,1775605728.447614,5
19749,1775605751.551446,5
19799,1775605773.953277,5
19849,1775605795.790713,5
19899,1775605818.378517,5
19949,1775605839.769610,5
19999,1775605866.415451,5
20049,1775605914.443361,5
20099,1775605962.566595,5
20149,1775606010.821735,5
20199,1775606059.236649,5
20249,1775606107.534415,5
20299,1775606155.711688,5
20349,1775606204.088803,5
20399,1775606252.783131,5
20449,1775606300.785803,5
20499,1775606348.981638,5
20549,1775606397.129508,5
20599,1775606445.058592,5
20649,1775606493.395401,5
20699,1775606541.862933,5
20749,1775606590.027102,5
20799,1775606638.992522,5
20849,1775606686.788578,5
20899,1775606735.210705,5
20949,1775606783.697129,5
20999,1775606831.914248,5
21049,1775606880.036511,5
21099,1775606928.321169,5
21149,1775606976.536919,5
21199,1775607024.597981,5
21249,1775607072.808589,5
21299,1775607099.245556,5
21349,1775607119.852841,5
21399,1775607141.135846,5
21449,1775607161.574824,5
21499,1775607182.113018,5
21549,1775607203.683865,5
21599,1775607224.630229,5
21649,1775607245.989894,5
21699,1775607267.023099,5
21749,1775607287.627742,5
21799,1775607309.491986,5
21849,1775607330.821466,5
21899,1775607351.782709,5
21949,1775607372.763707,5
21999,1775607394.708288,5
22049,1775607415.610393,5
22099,1775607436.813195,5
22149,1775607457.871956,5
22199,1775607479.135811,5
22249,1775607499.978556,5
22299,1775607522.048429,5
22349,1775607545.640245,5
22399,1775607566.901184,5
22449,1775607588.028034,5
22499,1775607609.009137,5
22549,1775607630.610444,5
22599,1775607651.644342,5
22643,1775609834.483700,5
22643,1775609834.970261,5
22649,1775609845.535045,6
22699,1775609873.701215,6
22749,1775609897.299360,6
22799,1775609920.525605,6
22849,1775609943.203326,6
22899,1775609965.078272,6
22949,1775609986.861955,6
22999,1775610009.201639,6
23049,1775610031.000311,6
23099,1775610052.994606,6
23149,1775610073.937160,6
23199,1775610094.920502,6
23249,1775610115.705069,6
23299,1775610137.259141,6
23349,1775610159.848598,6
23399,1775610199.059954,6
23449,1775610247.268736,6
23499,1775610295.125379,6
23549,1775610342.953112,6
23599,1775610390.907211,6
23649,1775610438.752781,6
23699,1775610486.903972,6
23749,1775610535.714571,6
23799,1775610583.698008,6
23849,1775610631.831674,6
23899,1775610679.777440,6
23949,1775610727.692408,6
23999,1775610775.624953,6
24049,1775610823.588725,6
24099,1775610871.742245,6
24149,1775610919.664348,6
24199,1775610967.534324,6
24249,1775611015.392717,6
24299,1775611063.363089,6
24349,1775611111.401584,6
24399,1775611159.241604,6
24449,1775611206.904286,6
24499,1775611254.887588,6
24549,1775611302.724740,6
24599,1775611350.475049,6
24649,1775611389.810604,6
24699,1775611411.074628,6
24749,1775611432.424876,6
24799,1775611454.756143,6
24849,1775611476.088220,6
24899,1775611498.664710,6
24949,1775611520.807878,6
24999,1775611543.207212,6
25049,1775611564.578825,6
25099,1775611586.504461,6
25149,1775611609.492393,6
25199,1775611631.034305,6
25249,1775611652.474620,6
25299,1775611674.638811,6
25349,1775611695.431360,6
25399,1775611716.425317,6
25449,1775611739.272624,6
25499,1775611762.084419,6
25549,1775611783.625472,6
25599,1775611805.739584,6
25649,1775611826.594338,6
25699,1775611848.423907,6
25749,1775611870.594445,6
25799,1775611892.291345,6
25849,1775611914.258671,6
25899,1775611935.607942,6
25949,1775611957.117988,6
25999,1775611978.136639,6
26049,1775611999.002339,6
26099,1775612020.044960,6
26149,1775612042.344096,6
26199,1775612063.190055,6
26249,1775612084.106900,6
26299,1775612105.415655,6
26349,1775612127.314937,6
26399,1775612149.036392,6
26417,1775614209.961183,6
26417,1775614210.438930,6
26449,1775614249.617524,7
26499,1775614297.849647,7
26549,1775614346.000415,7
26599,1775614395.246233,7
26649,1775614443.152406,7
26699,1775614491.062661,7
26749,1775614532.224519,7
26799,1775614580.518563,7
26849,1775614628.626914,7
26899,1775614676.658152,7
26949,1775614724.712478,7
26999,1775614772.777283,7
27049,1775614812.963637,7
27099,1775614846.095630,7
27149,1775614891.928049,7
27199,1775614937.760140,7
27249,1775614983.471772,7
27299,1775615029.231451,7
27349,1775615067.178616,7
27399,1775615097.919508,7
27449,1775615146.103598,7
27499,1775615194.202933,7
27549,1775615242.204311,7
27599,1775615290.217865,7
27649,1775615338.245951,7
27699,1775615386.367074,7
27749,1775615434.989914,7
27799,1775615482.792210,7
27849,1775615530.668351,7
27899,1775615578.744382,7
27949,1775615626.676576,7
27999,1775615674.209252,7
28049,1775615722.306167,7
28099,1775615770.477138,7
28149,1775615818.593267,7
28199,1775615866.533618,7
28249,1775615914.231029,7
28299,1775615962.008270,7
28349,1775616009.958341,7
28399,1775616057.854863,7
28449,1775616105.987664,7
28499,1775616154.011421,7
28549,1775616201.935202,7
28599,1775616249.810262,7
28649,1775616297.245090,7
28699,1775616320.105798,7
28749,1775616341.935592,7
28799,1775616363.587929,7
28849,1775616385.973183,7
28899,1775616407.564855,7
28949,1775616429.666152,7
28999,1775616451.841656,7
29049,1775616473.641023,7
29099,1775616495.113502,7
29149,1775616516.995828,7
29199,1775616538.539242,7
29249,1775616559.841361,7
29299,1775616581.698000,7
29349,1775616602.948328,7
29399,1775616623.851295,7
29449,1775616646.500122,7
29499,1775616670.083701,7
29549,1775616692.251309,7
29599,1775616714.020897,7
29649,1775616735.899949,7
29699,1775616758.681060,7
29749,1775616780.230141,7
29799,1775616801.812098,7
29849,1775616823.831712,7
29899,1775616845.407659,7
29949,1775616886.391146,7
29999,1775616933.352278,7
30049,1775616978.590199,7
30099,1775617025.995128,7
30149,1775617074.069148,7
30191,1775619207.378725,7
30191,1775619208.415584,7
30199,1775619219.586591,8
30249,1775619240.460103,8
30299,1775619261.282576,8
30349,1775619281.816988,8
30399,1775619303.411327,8
30449,1775619326.629812,8
30499,1775619349.821502,8
30549,1775619371.978385,8
30599,1775619393.156693,8
30649,1775619417.556969,8
30699,1775619438.557780,8
30749,1775619460.054077,8
30799,1775619481.163411,8
30849,1775619501.379328,8
30899,1775619521.976657,8
30949,1775619561.755658,8
30999,1775619608.698613,8
31049,1775619655.944278,8
31099,1775619703.856746,8
31149,1775619751.955868,8
31199,1775619800.153721,8
31249,1775619848.066817,8
31299,1775619895.868950,8
31349,1775619944.138638,8
31399,1775619992.199516,8
31449,1775620040.285267,8
31499,1775620088.015633,8
31549,1775620135.974215,8
31599,1775620183.821414,8
31649,1775620231.794249,8
31699,1775620279.806526,8
31749,1775620327.670690,8
31799,1775620375.955672,8
31849,1775620425.078746,8
31899,1775620473.194494,8
31949,1775620521.164525,8
31999,1775620569.104943,8
32049,1775620617.063115,8
32099,1775620664.956378,8
32149,1775620712.909021,8
32199,1775620757.454248,8
32249,1775620805.556038,8
32299,1775620853.660937,8
32349,1775620901.612668,8
32399,1775620949.515360,8
32449,1775620997.132154,8
32499,1775621045.144819,8
32549,1775621072.358008,8
32599,1775621117.757675,8
32649,1775621163.230510,8
32699,1775621208.954271,8
32749,1775621254.788586,8
32799,1775621300.614462,8
32849,1775621325.208775,8
32899,1775621372.923335,8
32949,1775621420.634268,8
32999,1775621469.222587,8
33049,1775621517.246852,8
33099,1775621564.971811,8
33149,1775621612.878653,8
33199,1775621660.624622,8
33249,1775621708.442479,8
33299,1775621756.216968,8
33349,1775621803.987444,8
33399,1775621851.864118,8
33449,1775621899.885463,8
33499,1775621947.965513,8
33549,1775621995.847199,8
33599,1775622043.643385,8
33649,1775622091.678026,8
33699,1775622138.894268,8
33749,1775622186.645050,8
33799,1775622234.468243,8
33849,1775622282.179049,8
33899,1775622329.694535,8
33949,1775622377.279357,8
33965,1775624372.858567,8
33965,1775624373.402624,8
33999,1775624412.643417,9
34049,1775624460.807932,9
34099,1775624508.742060,9
34149,1775624556.604584,9
34199,1775624604.502075,9
34249,1775624652.617513,9
34299,1775624700.582238,9
34349,1775624748.506058,9
34399,1775624796.350127,9
34449,1775624844.234405,9
34499,1775624892.223776,9
34549,1775624940.087556,9
34599,1775624988.140032,9
34649,1775625036.076592,9
34699,1775625085.110889,9
34749,1775625133.159153,9
34799,1775625181.117006,9
34849,1775625229.063551,9
34899,1775625276.842960,9
34949,1775625324.691368,9
34999,1775625372.706359,9
35049,1775625419.579822,9
35099,1775625440.201649,9
35149,1775625461.206697,9
35199,1775625482.171048,9
35249,1775625503.695294,9
35299,1775625524.640960,9
35349,1775625545.438744,9
35399,1775625566.684323,9
35449,1775625586.893075,9
35499,1775625608.279834,9
35549,1775625629.113259,9
35599,1775625649.864852,9
35649,1775625671.012078,9
35699,1775625691.511231,9
35749,1775625712.033091,9
35799,1775625731.816591,9
35849,1775625751.108915,9
35899,1775625772.731184,9
35949,1775625793.659178,9
35999,1775625815.182781,9
36049,1775625834.447933,9
36099,1775625855.035810,9
36149,1775625874.274727,9
36199,1775625894.175865,9
36249,1775625913.717154,9
36299,1775625934.564807,9
36349,1775625976.132078,9
36399,1775626022.316902,9
36449,1775626068.196445,9
36499,1775626114.278124,9
36549,1775626161.255190,9
36599,1775626208.477586,9
36649,1775626255.781616,9
36699,1775626303.081220,9
36749,1775626351.134104,9
36799,1775626399.575577,9
36849,1775626447.903107,9
36899,1775626496.358297,9
36949,1775626544.769360,9
36999,1775626592.978506,9
37049,1775626641.180866,9
37099,1775626690.816231,9
37149,1775626738.551780,9
37199,1775626786.457555,9
37249,1775626834.719325,9
37299,1775626882.505627,9
37349,1775626930.463890,9
37399,1775626978.379996,9
37449,1775627026.528447,9
37499,1775627074.330149,9
37549,1775627122.519192,9
37599,1775627166.396126,9
37649,1775627214.489546,9
37699,1775627262.683612,9
37739,1775629447.081403,9
37739,1775629447.838406,9
37749,1775629459.741679,10
37799,1775629480.417082,10
37849,1775629501.325480,10
37899,1775629521.920804,10
37949,1775629544.053577,10
37999,1775629565.428145,10
38049,1775629586.898403,10
38099,1775629608.915219,10
38149,1775629629.822239,10
38199,1775629649.410527,10
38249,1775629669.953263,10
38299,1775629690.850545,10
38349,1775629712.490649,10
38399,1775629732.395243,10
38449,1775629752.330333,10
38499,1775629773.289620,10
38549,1775629795.197519,10
38599,1775629815.825202,10
38649,1775629838.361019,10
38699,1775629860.586684,10
38749,1775629883.123465,10
38799,1775629903.639592,10
38849,1775629924.313145,10
38899,1775629945.595020,10
38949,1775629968.330555,10
