step,wall_time,value
3773,1775583597.893356,0.000123684906
7547,1775589253.197825,7.20028329e-05
11321,1775594864.143615,9.35369098e-05
15095,1775600212.587926,9.38428057e-05
18869,1775605352.076549,0.000191212399
22643,1775609834.481706,0.000277879386
26417,1775614209.959397,0.000222483955
30191,1775619207.376844,0.000332284195
33965,1775624372.856417,0.000282912311
37739,1775629447.079313,0.000191829415
41513,1775633920.318504,2.94568163e-05
45287,1775639099.806427,2.94568163e-05
49061,1775644848.900877,2.94568163e-05
52835,1775650462.665946,5.73632751e-05
56609,1775656023.135317,0
60383,1775661902.474044,2.0793048e-05
64157,1775667069.998760,2.71909084e-05
67931,1775671063.878381,2.0793048e-05
71705,1775676456.170819,2.0793048e-05
75479,1775682037.646770,2.0793048e-05
79253,1775687578.908143,2.0793048e-05
83027,1775693423.522957,0
86801,1775699285.864645,0
90575,1775704647.331044,0
94349,1775708252.926832,2.71909084e-05
98123,1775711967.927576,2.71909084e-05
101897,1775715613.554434,2.71909084e-05
105671,1775719301.011620,0
109445,1775723029.013671,2.71909084e-05
113219,1775726657.586702,2.71909084e-05
116993,1775730385.491522,0
120767,1775734081.017945,0
124541,1775737671.253806,0
128315,1775741597.209912,2.71909084e-05
132089,1775746790.632616,2.71909084e-05
135863,1775750362.695254,0
