step,wall_time,value
49,1775577889.695760,0.806536436
99,1775577912.201764,0.771747589
149,1775577957.225937,0.705981493
199,1775578004.631471,0.640866637
249,1775578052.322681,0.590726793
299,1775578099.749629,0.549189031
349,1775578146.879046,0.517621398
399,1775578194.014780,0.511950195
449,1775578241.918715,0.48793155
499,1775578290.138855,0.488251925
549,1775578337.784116,0.469811529
599,1775578385.358947,0.46443066
649,1775578433.164408,0.449857205
699,1775578481.047362,0.449249417
749,1775578528.926479,0.442581654
799,1775578576.295360,0.434597194
849,1775578623.761311,0.438992202
899,1775578672.476556,0.40536046
949,1775578720.044866,0.389261067
999,1775578767.530675,0.387664318
1049,1775578815.127981,0.365031719
1099,1775578863.015162,0.342788756
1149,1775578910.645751,0.30970633
1199,1775578957.789687,0.3084867
1249,1775579005.517190,0.259809881
1299,1775579053.295208,0.246881306
1349,1775579100.966564,0.233564302
1399,1775579143.611378,0.221908778
1449,1775579191.077941,0.210784674
1499,1775579238.845726,0.208462626
1549,1775579286.565728,0.200375065
1599,1775579334.717566,0.203891277
1649,1775579382.988860,0.198907867
1699,1775579430.617831,0.197057381
1749,1775579461.268554,0.194283247
1799,1775579506.403036,0.18584165
1849,1775579551.759814,0.18570061
1899,1775579596.849491,0.200023711
1949,1775579641.718401,0.197060257
1999,1775579683.292154,0.179087073
2049,1775579710.759365,0.173323095
2099,1775579758.180419,0.169622585
2149,1775579805.263011,0.172291547
2199,1775579852.633269,0.176162198
2249,1775579899.662615,0.171821684
2299,1775579946.668592,0.173959553
2349,1775579993.792561,0.16911985
2399,1775580041.191627,0.181205571
2449,1775580088.256068,0.152617812
2499,1775580135.674400,0.174069986
2549,1775580183.229454,0.163510054
2599,1775580230.441602,0.16901356
2649,1775580277.235094,0.165135771
2699,1775580324.473576,0.17162177
2749,1775580371.722891,0.181888312
2799,1775580419.005976,0.159665748
2849,1775580466.171637,0.170997471
2899,1775580513.393199,0.164606377
2949,1775580560.714901,0.156291828
2999,1775580607.808731,0.163269907
3049,1775580655.160151,0.16281575
3099,1775580703.016550,0.167287022
3149,1775580750.649254,0.150731295
3199,1775580799.335414,0.148672551
3249,1775580846.476544,0.157447457
3299,1775580894.015835,0.1566495
3349,1775580927.058901,0.159033269
3399,1775580949.923542,0.17499131
3449,1775580971.745200,0.143734455
3499,1775580995.511773,0.159135252
3549,1775581040.582767,0.161642194
3599,1775581088.071449,0.157674968
3649,1775581136.152711,0.163666084
3699,1775581184.106205,0.151855513
3749,1775581231.585558,0.17184633
3799,1775583630.799552,0.164229915
3849,1775583678.400425,0.158619165
3899,1775583726.531782,0.158783674
3949,1775583774.222498,0.156216919
3999,1775583821.948047,0.146247044
4049,1775583869.996095,0.15329206
4099,1775583918.268266,0.15379113
4149,1775583965.937716,0.16376996
4199,1775584013.853336,0.152458072
4249,1775584061.742514,0.160755932
4299,1775584109.551954,0.151147157
4349,1775584157.207471,0.151728913
4399,1775584204.717144,0.155785024
4449,1775584252.086295,0.160201043
4499,1775584299.421554,0.169238344
4549,1775584346.835407,0.151922613
4599,1775584394.245187,0.157224894
4649,1775584441.433846,0.143986315
4699,1775584488.712528,0.153216317
4749,1775584537.572721,0.147872508
4799,1775584584.286180,0.159604192
4849,1775584631.376232,0.153730929
4899,1775584673.651710,0.159980148
4949,1775584695.615388,0.153816953
4999,1775584717.470551,0.16024439
5049,1775584739.553218,0.146899298
5099,1775584762.261431,0.144508943
5149,1775584783.689812,0.129885793
5199,1775584805.665016,0.138204157
5249,1775584827.553554,0.150622979
5299,1775584849.545265,0.140858918
5349,1775584871.744119,0.146150962
5399,1775584894.016747,0.15204376
5449,1775584915.395831,0.148189127
5499,1775584958.161045,0.153078765
5549,1775585005.547101,0.144173697
5599,1775585052.928637,0.15763092
5649,1775585100.565694,0.151424021
5699,1775585148.694875,0.142357051
5749,1775585196.402613,0.157254726
5799,1775585244.432972,0.148049042
5849,1775585292.561510,0.150265604
5899,1775585341.711377,0.150785506
5949,1775585389.895538,0.142057836
5999,1775585438.012428,0.151094377
6049,1775585486.405577,0.147077411
6099,1775585534.402580,0.165368363
6149,1775585582.839021,0.147075266
6199,1775585631.609983,0.132915616
6249,1775585679.489364,0.13895455
6299,1775585727.478381,0.140762225
6349,1775585775.719485,0.143912464
6399,1775585823.619315,0.138820171
6449,1775585871.838414,0.141616523
6499,1775585920.291641,0.154108405
6549,1775585968.330628,0.142581105
6599,1775586016.367821,0.148047358
6649,1775586064.528473,0.13826479
6699,1775586112.982169,0.157759577
6749,1775586148.759060,0.156062365
6799,1775586170.173210,0.136340618
6849,1775586192.817410,0.138489977
6899,1775586216.072741,0.1370814
6949,1775586256.930839,0.158336908
6999,1775586304.776084,0.137904137
7049,1775586353.636870,0.131792858
7099,1775586401.608000,0.1515674
7149,1775586449.237683,0.142581254
7199,1775586497.185073,0.145441562
7249,1775586544.631814,0.156784937
7299,1775586592.614518,0.146309197
7349,1775586640.335810,0.161187544
7399,1775586687.842811,0.143976465
