step,wall_time,value
49,1775577889.695671,0
99,1775577912.201666,0
149,1775577957.225860,0
199,1775578004.631412,0
249,1775578052.322616,0
299,1775578099.749484,0
349,1775578146.878873,0
399,1775578194.014660,0
449,1775578241.918530,0
499,1775578290.138792,0
549,1775578337.784052,0
599,1775578385.358836,0
649,1775578433.164320,0
699,1775578481.047191,0
749,1775578528.926417,0
799,1775578576.295195,0
849,1775578623.761060,0
899,1775578672.476462,0
949,1775578720.044802,0
999,1775578767.530491,0
1049,1775578815.127918,0
1099,1775578863.015018,0
1149,1775578910.645594,0
1199,1775578957.789623,0
1249,1775579005.517101,0
1299,1775579053.295069,0
1349,1775579100.966476,0
1399,1775579143.611291,0
1449,1775579191.077867,0
1499,1775579238.845571,0
1549,1775579286.565528,0
1599,1775579334.717364,0
1649,1775579382.988676,0
1699,1775579430.617764,0
1749,1775579461.268485,0
1799,1775579506.402796,0
1849,1775579551.759659,0
1899,1775579596.849370,0
1949,1775579641.718202,0
1999,1775579683.292031,0
2049,1775579710.759303,0
2099,1775579758.180326,0
2149,1775579805.262780,0
2199,1775579852.633141,0
2249,1775579899.662448,0
2299,1775579946.668495,0
2349,1775579993.792495,0
2399,1775580041.191565,0
2449,1775580088.256006,0
2499,1775580135.674221,0
2549,1775580183.229357,0
2599,1775580230.441513,0
2649,1775580277.234949,0
2699,1775580324.473486,0
2749,1775580371.722802,0
2799,1775580419.005865,0
2849,1775580466.171577,0
2899,1775580513.393137,0
2949,1775580560.714796,0
2999,1775580607.808555,0
3049,1775580655.159967,0
3099,1775580703.016488,0
3149,1775580750.649076,0
3199,1775580799.335301,0
3249,1775580846.476391,0
3299,1775580894.015666,0
3349,1775580927.058746,0
3399,1775580949.923455,0
3449,1775580971.745083,0
3499,1775580995.511710,0
3549,1775581040.582671,0
3599,1775581088.071246,0
3649,1775581136.152483,0
3699,1775581184.106109,0
3749,1775581231.585497,0
3799,1775583630.799361,0
3849,1775583678.400316,0
3899,1775583726.531688,0
3949,1775583774.222350,0
3999,1775583821.947960,0
4049,1775583869.996033,0
4099,1775583918.268099,0
4149,1775583965.937554,0
4199,1775584013.853145,0
4249,1775584061.742307,0
4299,1775584109.551880,0
4349,1775584157.207364,0
4399,1775584204.716996,0
4449,1775584252.086122,0
4499,1775584299.421380,0
4549,1775584346.835344,0
4599,1775584394.245002,0
4649,1775584441.433652,0
4699,1775584488.712328,0
4749,1775584537.572661,0
4799,1775584584.286119,0
4849,1775584631.376172,0
4899,1775584673.651626,0
4949,1775584695.615149,0
4999,1775584717.470467,0
5049,1775584739.553088,0
5099,1775584762.261339,0
5149,1775584783.689723,0
5199,1775584805.664924,0
5249,1775584827.553377,0
5299,1775584849.545079,0
5349,1775584871.744034,0
5399,1775584894.016531,0
5449,1775584915.395607,0
5499,1775584958.160960,0
5549,1775585005.546993,0
5599,1775585052.928510,0
5649,1775585100.565614,0
5699,1775585148.694723,0
5749,1775585196.402372,0
5799,1775585244.432792,0
5849,1775585292.561439,0
5899,1775585341.711287,0
5949,1775585389.895326,0
5999,1775585438.012274,0
6049,1775585486.405514,0
6099,1775585534.402515,0
6149,1775585582.838839,0
6199,1775585631.609808,0
6249,1775585679.489179,0
6299,1775585727.478321,0
6349,1775585775.719311,0
6399,1775585823.619156,0
6449,1775585871.838335,0
6499,1775585920.291525,0
6549,1775585968.330514,0
6599,1775586016.367760,0
6649,1775586064.528318,0
6699,1775586112.982105,0
6749,1775586148.758858,0
6799,1775586170.173022,0
6849,1775586192.817297,0
6899,1775586216.072605,0
6949,1775586256.930777,0
6999,1775586304.775918,0
7049,1775586353.636658,0
7099,1775586401.607739,0
7149,1775586449.237462,0
7199,1775586497.184962,0
7249,1775586544.631618,0
7299,1775586592.614368,0
7349,1775586640.335748,0
7399,1775586687.842745,0
7449,1775586735.667361,0
7499,1775586783.671088,0
7549,1775589263.430281,0
7599,1775589311.486126,0
7649,1775589359.691106,0
7699,1775589408.062212,0
