step,wall_time,value
49,1775577889.695738,0
99,1775577912.201740,0
149,1775577957.225923,0
199,1775578004.631457,0
249,1775578052.322666,0
299,1775578099.749600,0
349,1775578146.878933,0
399,1775578194.014709,0
449,1775578241.918648,0
499,1775578290.138840,0
549,1775578337.784101,0
599,1775578385.358922,0
649,1775578433.164387,0
699,1775578481.047257,0
749,1775578528.926464,0
799,1775578576.295242,0
849,1775578623.761291,0
899,1775578672.476533,0
949,1775578720.044852,0
999,1775578767.530563,0
1049,1775578815.127967,0
1099,1775578863.015063,0
1149,1775578910.645643,0
1199,1775578957.789673,0
1249,1775579005.517174,0
1299,1775579053.295187,0
1349,1775579100.966548,0
1399,1775579143.611356,0
1449,1775579191.077926,0
1499,1775579238.845618,0
1549,1775579286.565593,0
1599,1775579334.717546,0
1649,1775579382.988744,0
1699,1775579430.617815,0
1749,1775579461.268539,0
1799,1775579506.402901,0
1849,1775579551.759707,0
1899,1775579596.849416,0
1949,1775579641.718273,0
1999,1775579683.292124,0
2049,1775579710.759351,0
2099,1775579758.180396,0
2149,1775579805.262983,0
2199,1775579852.633250,0
2249,1775579899.662597,0
2299,1775579946.668570,0
2349,1775579993.792545,0
2399,1775580041.191613,0
2449,1775580088.256053,0
2499,1775580135.674266,0
2549,1775580183.229430,0
2599,1775580230.441585,0
2649,1775580277.235075,0
2699,1775580324.473559,0
2749,1775580371.722869,0
2799,1775580419.005950,0
2849,1775580466.171623,0
2899,1775580513.393185,0
2949,1775580560.714871,0
2999,1775580607.808604,0
3049,1775580655.160030,0
3099,1775580703.016536,0
3149,1775580750.649141,0
3199,1775580799.335398,0
3249,1775580846.476516,0
3299,1775580894.015819,0
3349,1775580927.058813,0
3399,1775580949.923522,0
3449,1775580971.745169,0
3499,1775580995.511758,0
3549,1775581040.582744,0
3599,1775581088.071425,0
3649,1775581136.152683,0
3699,1775581184.106181,0
3749,1775581231.585543,0
3799,1775583630.799533,0
3849,1775583678.400360,0
3899,1775583726.531761,0
3949,1775583774.222472,0
3999,1775583821.948026,0
4049,1775583869.996080,0
4099,1775583918.268250,0
4149,1775583965.937700,0
4199,1775584013.853310,0
4249,1775584061.742482,0
4299,1775584109.551939,0
4349,1775584157.207410,0
4399,1775584204.717118,0
4449,1775584252.086273,0
4499,1775584299.421538,0
4549,1775584346.835392,0
4599,1775584394.245173,0
4649,1775584441.433728,0
4699,1775584488.712512,0
4749,1775584537.572706,0
4799,1775584584.286165,0
4849,1775584631.376218,0
4899,1775584673.651690,0
4949,1775584695.615367,0
4999,1775584717.470531,0
5049,1775584739.553186,0
5099,1775584762.261410,0
5149,1775584783.689791,0
5199,1775584805.664994,0
5249,1775584827.553447,0
5299,1775584849.545174,0
5349,1775584871.744098,0
5399,1775584894.016624,0
5449,1775584915.395806,0
5499,1775584958.161029,0
5549,1775585005.547039,0
5599,1775585052.928614,0
5649,1775585100.565679,0
5699,1775585148.694770,0
5749,1775585196.402598,0
5799,1775585244.432863,0
5849,1775585292.561495,0
5899,1775585341.711354,0
5949,1775585389.895506,0
5999,1775585438.012320,0
6049,1775585486.405563,0
6099,1775585534.402565,0
6149,1775585582.838994,0
6199,1775585631.609967,0
6249,1775585679.489341,0
6299,1775585727.478367,0
6349,1775585775.719462,0
6399,1775585823.619299,0
6449,1775585871.838395,0
6499,1775585920.291572,0
6549,1775585968.330563,0
6599,1775586016.367807,0
6649,1775586064.528444,0
6699,1775586112.982155,0
6749,1775586148.758917,0
6799,1775586170.173175,0
6849,1775586192.817349,0
6899,1775586216.072709,0
6949,1775586256.930825,0
6999,1775586304.775966,0
7049,1775586353.636846,0
7099,1775586401.607983,0
7149,1775586449.237658,0
7199,1775586497.185010,0
7249,1775586544.631694,0
7299,1775586592.614438,0
7349,1775586640.335796,0
7399,1775586687.842795,0
7449,1775586735.667406,0
7499,1775586783.671137,0
7549,1775589263.430374,0
7599,1775589311.486247,0
7649,1775589359.691173,0
7699,1775589408.062260,0
7749,1775589456.367777,0
7799,1775589504.690975,0
7849,1775589552.869975,0
7899,1775589600.333914,0
7949,1775589622.474334,0
7999,1775589645.046047,0
8049,1775589676.615053,0
8099,1775589724.481786,0
