step,wall_time,value
49,1775577889.695644,0
99,1775577912.201631,0
149,1775577957.225838,0
199,1775578004.631392,0
249,1775578052.322594,0
299,1775578099.749457,0
349,1775578146.878852,0
399,1775578194.014639,0
449,1775578241.918509,0
499,1775578290.138771,0
549,1775578337.784029,0
599,1775578385.358805,0
649,1775578433.164296,0
699,1775578481.047164,0
749,1775578528.926397,0
799,1775578576.295174,0
849,1775578623.761030,0
899,1775578672.476435,0
949,1775578720.044780,0
999,1775578767.530463,0
1049,1775578815.127879,0
1099,1775578863.014997,0
1149,1775578910.645573,0
1199,1775578957.789599,0
1249,1775579005.517072,0
1299,1775579053.295042,0
1349,1775579100.966447,0
1399,1775579143.611263,0
1449,1775579191.077844,0
1499,1775579238.845545,0
1549,1775579286.565499,0
1599,1775579334.717340,0
1649,1775579382.988648,0
1699,1775579430.617739,0
1749,1775579461.268463,0
1799,1775579506.402759,0
1849,1775579551.759638,0
1899,1775579596.849351,0
1949,1775579641.718173,0
1999,1775579683.291999,0
2049,1775579710.759284,0
2099,1775579758.180300,0
2149,1775579805.262750,0
2199,1775579852.633121,0
2249,1775579899.662428,0
2299,1775579946.668465,0
2349,1775579993.792475,0
2399,1775580041.191545,0
2449,1775580088.255986,0
2499,1775580135.674201,0
2549,1775580183.229326,0
2599,1775580230.441481,0
2649,1775580277.234928,0
2699,1775580324.473454,0
2749,1775580371.722772,0
2799,1775580419.005834,0
2849,1775580466.171557,0
2899,1775580513.393113,0
2949,1775580560.714766,0
2999,1775580607.808533,0
3049,1775580655.159942,0
3099,1775580703.016466,0
3149,1775580750.649048,0
3199,1775580799.335282,0
3249,1775580846.476363,0
3299,1775580894.015636,0
3349,1775580927.058718,0
3399,1775580949.923427,0
3449,1775580971.745054,0
3499,1775580995.511689,0
3549,1775581040.582640,0
3599,1775581088.071217,0
3649,1775581136.152453,0
3699,1775581184.106080,0
3749,1775581231.585477,0
3799,1775583630.799338,0
3849,1775583678.400296,0
3899,1775583726.531661,0
3949,1775583774.222325,0
3999,1775583821.947933,0
4049,1775583869.996011,0
4099,1775583918.268075,0
4149,1775583965.937532,0
4199,1775584013.853120,0
4249,1775584061.742270,0
4299,1775584109.551861,0
4349,1775584157.207342,0
4399,1775584204.716969,0
4449,1775584252.086101,0
4499,1775584299.421360,0
4549,1775584346.835325,0
4599,1775584394.244973,0
4649,1775584441.433619,0
4699,1775584488.712299,0
4749,1775584537.572641,0
4799,1775584584.286097,0
4849,1775584631.376151,0
4899,1775584673.651599,0
4949,1775584695.615123,0
4999,1775584717.470439,0
5049,1775584739.553052,0
5099,1775584762.261310,0
5149,1775584783.689696,0
5199,1775584805.664896,0
5249,1775584827.553349,0
5299,1775584849.545042,0
5349,1775584871.744007,0
5399,1775584894.016495,0
5449,1775584915.395576,0
5499,1775584958.160929,0
5549,1775585005.546972,0
5599,1775585052.928478,0
5649,1775585100.565584,0
5699,1775585148.694700,0
5749,1775585196.402342,0
5799,1775585244.432763,0
5849,1775585292.561414,0
5899,1775585341.711261,0
5949,1775585389.895290,0
5999,1775585438.012254,0
6049,1775585486.405490,0
6099,1775585534.402489,0
6149,1775585582.838813,0
6199,1775585631.609779,0
6249,1775585679.489155,0
6299,1775585727.478303,0
6349,1775585775.719288,0
6399,1775585823.619133,0
6449,1775585871.838311,0
6499,1775585920.291504,0
6549,1775585968.330490,0
6599,1775586016.367737,0
6649,1775586064.528290,0
6699,1775586112.982083,0
6749,1775586148.758833,0
6799,1775586170.172986,0
6849,1775586192.817274,0
6899,1775586216.072566,0
6949,1775586256.930755,0
6999,1775586304.775879,0
7049,1775586353.636628,0
7099,1775586401.607717,0
7149,1775586449.237432,0
7199,1775586497.184940,0
7249,1775586544.631588,0
7299,1775586592.614340,0
7349,1775586640.335729,0
7399,1775586687.842720,0
7449,1775586735.667340,0
7499,1775586783.671066,0
7549,1775589263.430246,0
7599,1775589311.486103,0
7649,1775589359.691079,0
7699,1775589408.062190,0
7749,1775589456.367704,0
7799,1775589504.690860,0
7849,1775589552.869894,0
7899,1775589600.333833,0
7949,1775589622.474058,0
7999,1775589645.045979,0
8049,1775589676.614870,0
8099,1775589724.481557,0
8149,1775589772.771718,0
8199,1775589820.545662,0
8249,1775589868.989509,0
8299,1775589916.809620,0
8349,1775589964.670233,0
8399,1775590012.583807,0
8449,1775590060.319634,0
8499,1775590108.087472,0
8549,1775590155.838484,0
8599,1775590203.581842,0
8649,1775590251.340182,0
8699,1775590299.356576,0
8749,1775590348.406302,0
8799,1775590396.192030,0
8849,1775590444.123710,0
8899,1775590492.091731,0
8949,1775590539.791369,0
8999,1775590587.663862,0
9049,1775590635.393387,0
9099,1775590683.175622,0
9149,1775590730.787719,0
9199,1775590778.392795,0
9249,1775590825.899696,0
9299,1775590872.902687,0
9349,1775590896.459668,0
9399,1775590917.906981,0
9449,1775590940.099654,0
9499,1775590961.367990,0
9549,1775590983.625690,0
9599,1775591005.548020,0
9649,1775591027.329101,0
9699,1775591049.548988,0
9749,1775591073.902535,0
9799,1775591121.155984,0
9849,1775591169.460972,0
9899,1775591217.516801,0
9949,1775591266.255763,0
9999,1775591313.596280,0
10049,1775591361.387303,0
10099,1775591409.016807,0
10149,1775591456.868351,0
10199,1775591504.308179,0
10249,1775591551.884816,0
10299,1775591599.339263,0
10349,1775591647.010120,0
10399,1775591694.606037,0
10449,1775591742.230589,0
10499,1775591790.018069,0
10549,1775591837.327216,0
10599,1775591884.978907,0
10649,1775591933.099462,0
10699,1775591981.092750,0
10749,1775592028.701748,0
10799,1775592076.382704,0
10849,1775592123.760169,0
10899,1775592171.977668,0
10949,1775592219.967227,0
10999,1775592267.573796,0
11049,1775592309.564419,0
11099,1775592358.088286,0
11149,1775592406.294139,0
11199,1775592454.439615,0
11249,1775592502.663610,0
11299,1775592550.828295,0
11349,1775594898.597686,0
11399,1775594946.398966,0
11449,1775594994.704690,0
11499,1775595043.120301,0
11549,1775595091.685922,0
11599,1775595123.651013,0
11649,1775595144.459646,0
11699,1775595167.029599,0
11749,1775595204.412061,0
11799,1775595249.287488,0
11849,1775595294.399172,0
11899,1775595339.134708,0
11949,1775595384.617967,0
11999,1775595430.348239,0
12049,1775595475.376605,0
12099,1775595520.385226,0
12149,1775595565.223414,0
12199,1775595609.218283,0
12249,1775595653.406747,0
12299,1775595698.882483,0
12349,1775595741.374901,0
12399,1775595784.656137,0
12449,1775595827.114722,0
12499,1775595869.810453,0
12549,1775595912.573048,0
12599,1775595954.377384,0
12649,1775595997.970318,0
12699,1775596044.873902,0
12749,1775596094.583216,0
12799,1775596143.774307,0
12849,1775596192.866280,0
12899,1775596241.444360,0
12949,1775596290.192322,0
12999,1775596338.944831,0
13049,1775596383.833643,0
13099,1775596432.929596,0
13149,1775596481.666130,0
13199,1775596530.684213,0
13249,1775596579.605827,0
13299,1775596628.535686,0
13349,1775596675.121804,0
13399,1775596702.147846,0
13449,1775596747.889705,0
13499,1775596793.421221,0
13549,1775596838.637893,0
13599,1775596884.161398,0
13649,1775596929.934989,0
13699,1775596950.234402,0
13749,1775596972.487527,0
13799,1775596995.116292,0
13849,1775597026.609282,0
13899,1775597076.040322,0
13949,1775597124.616151,0
13999,1775597172.945146,0
14049,1775597221.194629,0
14099,1775597269.771145,0
14149,1775597318.391513,0
14199,1775597366.859739,0
14249,1775597415.643634,0
14299,1775597464.482323,0
14349,1775597512.536736,0
14399,1775597561.546186,0
14449,1775597610.693157,0
14499,1775597659.736913,0
14549,1775597708.632983,0
14599,1775597757.701158,0
14649,1775597806.517876,0
14699,1775597855.441391,0
14749,1775597904.118834,0
14799,1775597952.703079,0
14849,1775598001.763959,0
14899,1775598050.756598,0
14949,1775598099.549511,0
14999,1775598148.299495,0
15049,1775598198.235487,0
15099,1775600230.065852,0
15149,1775600284.248709,0
15199,1775600332.786952,0
15249,1775600381.563321,0
15299,1775600430.389848,0
15349,1775600478.940248,0
15399,1775600527.502420,0
15449,1775600576.177124,0
15499,1775600625.726677,0
15549,1775600674.630051,0
15599,1775600723.327082,0
15649,1775600771.705107,0
15699,1775600820.099147,0
15749,1775600868.260126,0
15799,1775600916.372577,0
15849,1775600964.606605,0
15899,1775601012.939365,0
15949,1775601061.313251,0
15999,1775601109.111091,0
16049,1775601132.340070,0
16099,1775601153.877160,0
16149,1775601175.895082,0
16199,1775601200.465186,0
16249,1775601223.950517,0
16299,1775601246.397695,0
16349,1775601268.848969,0
16399,1775601290.298195,0
16449,1775601312.768071,0
16499,1775601335.168525,0
16549,1775601358.475662,0
16599,1775601380.099162,0
16649,1775601402.215610,0
16699,1775601426.941157,0
16749,1775601449.281397,0
16799,1775601472.101337,0
16849,1775601494.941233,0
16899,1775601517.727549,0
16949,1775601539.375329,0
16999,1775601562.086278,0
17049,1775601584.688991,0
17099,1775601607.259274,0
17149,1775601629.637463,0
17199,1775601664.013431,0
17249,1775601712.097227,0
17299,1775601760.213089,0
17349,1775601808.502498,0
17399,1775601856.653455,0
17449,1775601904.940297,0
17499,1775601953.229004,0
17549,1775602001.325866,0
17599,1775602049.531403,0
17649,1775602097.590782,0
17699,1775602145.701803,0
17749,1775602193.957452,0
17799,1775602242.023180,0
17849,1775602291.402431,0
17899,1775602339.850258,0
17949,1775602388.080278,0
17999,1775602436.151728,0
18049,1775602484.268335,0
18099,1775602532.399492,0
18149,1775602580.610186,0
18199,1775602628.819902,0
18249,1775602676.923049,0
18299,1775602725.105414,0
18349,1775602773.257799,0
18399,1775602821.550484,0
18449,1775602865.403093,0
18499,1775602913.760263,0
18549,1775602962.160301,0
18599,1775603010.558276,0
18649,1775603058.392970,0
18699,1775603106.749338,0
18749,1775603154.847423,0
18799,1775603183.059344,0
18849,1775603228.038852,0
18899,1775605373.043055,0
18949,1775605394.733844,0
18999,1775605416.124410,0
19049,1775605438.182586,0
19099,1775605460.622122,0
19149,1775605482.249170,0
19199,1775605504.435361,0
19249,1775605526.641529,0
19299,1775605549.033866,0
19349,1775605570.835959,0
19399,1775605592.211484,0
19449,1775605613.602901,0
19499,1775605637.766140,0
19549,1775605660.405874,0
19599,1775605684.147423,0
19649,1775605706.059821,0
19699,1775605728.447366,0
19749,1775605751.551096,0
19799,1775605773.952934,0
19849,1775605795.790483,0
19899,1775605818.378282,0
19949,1775605839.769368,0
19999,1775605866.415208,0
20049,1775605914.443203,0
20099,1775605962.566468,0
20149,1775606010.821533,0
20199,1775606059.236399,0
20249,1775606107.534235,0
20299,1775606155.711498,0
20349,1775606204.088552,0
20399,1775606252.782859,0
20449,1775606300.785623,0
20499,1775606348.981504,0
20549,1775606397.129251,0
20599,1775606445.058369,0
20649,1775606493.395226,0
20699,1775606541.862717,0
20749,1775606590.026876,0
20799,1775606638.992277,0
20849,1775606686.788402,0
20899,1775606735.210571,0
20949,1775606783.696841,0
20999,1775606831.914072,0
21049,1775606880.036285,0
21099,1775606928.321044,0
21149,1775606976.536673,0
21199,1775607024.597771,0
21249,1775607072.808328,0
21299,1775607099.245381,0
21349,1775607119.852677,0
21399,1775607141.135594,0
21449,1775607161.574515,0
21499,1775607182.112742,0
21549,1775607203.683626,0
21599,1775607224.629991,0
21649,1775607245.989642,0
21699,1775607267.022634,0
21749,1775607287.627432,0
21799,1775607309.491715,0
21849,1775607330.821163,0
21899,1775607351.782464,0
21949,1775607372.763463,0
21999,1775607394.708026,0
22049,1775607415.610212,0
22099,1775607436.812901,0
22149,1775607457.871706,0
22199,1775607479.135565,0
22249,1775607499.978204,0
22299,1775607522.048187,0
22349,1775607545.640010,0
22399,1775607566.900875,0
22449,1775607588.027802,0
22499,1775607609.008850,0
22549,1775607630.610203,0
22599,1775607651.643996,0
22649,1775609845.534692,0
22699,1775609873.700944,0
22749,1775609897.298969,0
22799,1775609920.525337,0
22849,1775609943.202928,0
22899,1775609965.077930,0
22949,1775609986.861778,0
22999,1775610009.201290,0
23049,1775610031.000142,0
23099,1775610052.994326,0
23149,1775610073.936740,0
23199,1775610094.920214,0
23249,1775610115.704761,0
23299,1775610137.258904,0
23349,1775610159.848427,0
23399,1775610199.059646,0
23449,1775610247.268486,0
23499,1775610295.125132,0
23549,1775610342.952838,0
23599,1775610390.906984,0
23649,1775610438.752521,0
23699,1775610486.903778,0
23749,1775610535.714388,0
23799,1775610583.697767,0
23849,1775610631.831445,0
23899,1775610679.777194,0
23949,1775610727.692181,0
23999,1775610775.624776,0
24049,1775610823.588515,0
24099,1775610871.742031,0
24149,1775610919.664168,0
24199,1775610967.534093,0
24249,1775611015.392535,0
24299,1775611063.362897,0
24349,1775611111.401343,0
24399,1775611159.241474,0
24449,1775611206.904031,0
24499,1775611254.887330,0
24549,1775611302.724504,0
24599,1775611350.474820,0
24649,1775611389.810372,0
24699,1775611411.074203,0
24749,1775611432.424581,0
24799,1775611454.755881,0
24849,1775611476.087878,0
24899,1775611498.664381,0
24949,1775611520.807546,0
24999,1775611543.206880,0
25049,1775611564.578541,0
25099,1775611586.504143,0
25149,1775611609.492086,0
25199,1775611631.034038,0
25249,1775611652.474293,0
25299,1775611674.638493,0
25349,1775611695.430835,0
25399,1775611716.425008,0
25449,1775611739.272346,0
25499,1775611762.084181,0
25549,1775611783.625217,0
25599,1775611805.739390,0
25649,1775611826.594189,0
25699,1775611848.423726,0
25749,1775611870.594273,0
25799,1775611892.291201,0
25849,1775611914.258544,0
25899,1775611935.607657,0
25949,1775611957.117724,0
25999,1775611978.136364,0
26049,1775611999.002009,0
26099,1775612020.044534,0
26149,1775612042.343781,0
26199,1775612063.189759,0
26249,1775612084.106505,0
26299,1775612105.415354,0
26349,1775612127.314677,0
26399,1775612149.035921,0
26449,1775614249.617393,0
26499,1775614297.849406,0
26549,1775614346.000205,0
26599,1775614395.246004,0
26649,1775614443.152155,0
26699,1775614491.062469,0
26749,1775614532.224295,0
26799,1775614580.518384,0
26849,1775614628.626678,0
26899,1775614676.657911,0
26949,1775614724.712245,0
26999,1775614772.777067,0
27049,1775614812.963353,0
27099,1775614846.095403,0
