step,wall_time,value
49,1775577889.695716,0
99,1775577912.201715,0
149,1775577957.225907,0
199,1775578004.631443,0
249,1775578052.322651,0
299,1775578099.749527,0
349,1775578146.878918,0
399,1775578194.014695,0
449,1775578241.918634,0
499,1775578290.138825,0
549,1775578337.784085,0
599,1775578385.358896,0
649,1775578433.164366,0
699,1775578481.047236,0
749,1775578528.926449,0
799,1775578576.295226,0
849,1775578623.761263,0
899,1775578672.476510,0
949,1775578720.044837,0
999,1775578767.530540,0
1049,1775578815.127951,0
1099,1775578863.015049,0
1149,1775578910.645628,0
1199,1775578957.789658,0
1249,1775579005.517152,0
1299,1775579053.295161,0
1349,1775579100.966526,0
1399,1775579143.611335,0
1449,1775579191.077911,0
1499,1775579238.845603,0
1549,1775579286.565572,0
1599,1775579334.717526,0
1649,1775579382.988723,0
1699,1775579430.617799,0
1749,1775579461.268515,0
1799,1775579506.402861,0
1849,1775579551.759692,0
1899,1775579596.849402,0
1949,1775579641.718250,0
1999,1775579683.292094,0
2049,1775579710.759336,0
2099,1775579758.180373,0
2149,1775579805.262829,0
2199,1775579852.633173,0
2249,1775579899.662578,0
2299,1775579946.668547,0
2349,1775579993.792529,0
2399,1775580041.191599,0
2449,1775580088.256038,0
2499,1775580135.674252,0
2549,1775580183.229408,0
2599,1775580230.441564,0
2649,1775580277.234982,0
2699,1775580324.473537,0
2749,1775580371.722852,0
2799,1775580419.005926,0
2849,1775580466.171608,0
2899,1775580513.393170,0
2949,1775580560.714846,0
2999,1775580607.808588,0
3049,1775580655.160010,0
3099,1775580703.016522,0
3149,1775580750.649120,0
3199,1775580799.335378,0
3249,1775580846.476436,0
3299,1775580894.015798,0
3349,1775580927.058792,0
3399,1775580949.923500,0
3449,1775580971.745131,0
3499,1775580995.511742,0
3549,1775581040.582720,0
3599,1775581088.071294,0
3649,1775581136.152539,0
3699,1775581184.106158,0
3749,1775581231.585528,0
3799,1775583630.799513,0
3849,1775583678.400346,0
3899,1775583726.531740,0
3949,1775583774.222394,0
3999,1775583821.948005,0
4049,1775583869.996065,0
4099,1775583918.268230,0
4149,1775583965.937680,0
4199,1775584013.853185,0
4249,1775584061.742446,0
4299,1775584109.551924,0
4349,1775584157.207396,0
4399,1775584204.717042,0
4449,1775584252.086154,0
4499,1775584299.421516,0
4549,1775584346.835378,0
4599,1775584394.245157,0
4649,1775584441.433704,0
4699,1775584488.712489,0
4749,1775584537.572692,0
