step,wall_time,value
3773,1775583597.894191,0.446584553
7547,1775589253.198488,0.422751069
11321,1775594864.144065,0.403309613
15095,1775600212.588716,0.425762504
18869,1775605352.077330,0.401074529
22643,1775609834.482340,0.415855169
26417,1775614209.960168,0.417545855
30191,1775619207.377405,0.434099704
33965,1775624372.857173,0.42627874
37739,1775629447.080134,0.425958484
41513,1775633920.319221,0.426875681
45287,1775639099.807256,0.419890434
49061,1775644848.901622,0.417364836
52835,1775650462.666771,0.425166637
56609,1775656023.135835,0.413081646
60383,1775661902.474593,0.424161494
64157,1775667069.999444,0.417100966
67931,1775671063.879159,0.422478944
71705,1775676456.171572,0.423377097
75479,1775682037.647860,0.418607563
79253,1775687578.908614,0.426683992
83027,1775693423.523596,0.440158755
86801,1775699285.865143,0.440636247
90575,1775704647.331663,0.42762211
94349,1775708252.927302,0.445575774
98123,1775711967.928357,0.442605346
101897,1775715613.555174,0.439507812
105671,1775719301.012299,0.44518277
109445,1775723029.014373,0.446439743
113219,1775726657.587546,0.434026718
116993,1775730385.492113,0.44799754
120767,1775734081.018646,0.443622619
124541,1775737671.254440,0.439770252
128315,1775741597.210744,0.445497781
132089,1775746790.633395,0.443936259
135863,1775750362.696023,0.453690588
