step,wall_time,value
3773,1775583597.893549,0.956375062
7547,1775589253.197842,0.91530329
11321,1775594864.143630,0.904900491
15095,1775600212.588057,0.897580564
18869,1775605352.076635,0.917811513
22643,1775609834.481725,0.912685633
26417,1775614209.959413,0.897539616
30191,1775619207.377104,0.881026149
33965,1775624372.856607,0.882091582
37739,1775629447.079408,0.883638501
41513,1775633920.318581,0.90755558
45287,1775639099.806500,0.913289249
49061,1775644848.900902,0.919324636
52835,1775650462.666095,0.923481464
56609,1775656023.135332,0.931450665
60383,1775661902.474121,0.925670922
64157,1775667069.998843,0.926955283
67931,1775671063.878478,0.907828629
71705,1775676456.171172,0.913811386
75479,1775682037.646880,0.90250057
79253,1775687578.908158,0.92038852
83027,1775693423.522972,0.910368741
86801,1775699285.864659,0.916371405
90575,1775704647.331309,0.899867773
94349,1775708252.926846,0.90039891
98123,1775711967.927747,0.907788098
101897,1775715613.554449,0.894913435
105671,1775719301.011815,0.884565413
109445,1775723029.013742,0.879451513
113219,1775726657.586780,0.899395943
116993,1775730385.491691,0.882314384
120767,1775734081.017964,0.879020631
124541,1775737671.253821,0.881061971
128315,1775741597.210142,0.888167739
132089,1775746790.632636,0.885319769
135863,1775750362.695268,0.884473443
