step,wall_time,value
3773,1775583597.894457,0.0498672687
7547,1775589253.198719,0.0555738658
11321,1775594864.144577,0.0506287999
15095,1775600212.589101,0.0504111201
18869,1775605352.077799,0.0423157811
22643,1775609834.482728,0.0463893861
26417,1775614209.960219,0.051680997
30191,1775619207.377742,0.0543827116
33965,1775624372.857514,0.0505478196
37739,1775629447.080371,0.0514199659
41513,1775633920.319537,0.0437507816
45287,1775639099.807356,0.0425682738
49061,1775644848.901914,0.0400317125
52835,1775650462.667170,0.0412289724
56609,1775656023.136223,0.0390976518
60383,1775661902.474992,0.0401701145
64157,1775667069.999962,0.0401450582
67931,1775671063.879482,0.0419785343
71705,1775676456.172065,0.04134674
75479,1775682037.647926,0.0423887745
79253,1775687578.908957,0.0390771404
83027,1775693423.523762,0.0410086922
86801,1775699285.865363,0.0418395251
90575,1775704647.332088,0.0448378846
94349,1775708252.927491,0.0439796858
98123,1775711967.928677,0.0425519608
101897,1775715613.555406,0.0485368446
105671,1775719301.012537,0.0448221713
109445,1775723029.014514,0.0481018275
113219,1775726657.587585,0.0424628519
116993,1775730385.492419,0.0492353924
120767,1775734081.018935,0.0537582487
124541,1775737671.254662,0.0492727906
128315,1775741597.210938,0.0514761992
132089,1775746790.633441,0.0530055501
135863,1775750362.696259,0.0536310226
