step,wall_time,value
3773,1775583597.894209,0.466478884
7547,1775589253.198685,0.545559585
11321,1775594864.144541,0.511075377
15095,1775600212.588792,0.489617765
18869,1775605352.077406,0.425042778
22643,1775609834.482500,0.456408769
26417,1775614209.960188,0.509815633
30191,1775619207.377707,0.522719681
33965,1775624372.857250,0.490581036
37739,1775629447.080153,0.499777585
41513,1775633920.319438,0.421166897
45287,1775639099.807273,0.414265215
49061,1775644848.901638,0.39024359
52835,1775650462.666787,0.397029161
56609,1775656023.135966,0.383554101
60383,1775661902.474899,0.38707599
64157,1775667069.999521,0.391567022
67931,1775671063.879310,0.406462401
71705,1775676456.172029,0.399454534
75479,1775682037.647880,0.413370728
79253,1775687578.908849,0.374474466
83027,1775693423.523609,0.384527355
86801,1775699285.865218,0.392324269
90575,1775704647.331803,0.43157503
94349,1775708252.927316,0.409674764
98123,1775711967.928371,0.397902459
101897,1775715613.555191,0.459259152
105671,1775719301.012503,0.418189287
109445,1775723029.014387,0.449304402
113219,1775726657.587559,0.403143108
116993,1775730385.492187,0.459144115
120767,1775734081.018662,0.507707536
124541,1775737671.254454,0.466359347
128315,1775741597.210763,0.48334071
132089,1775746790.633410,0.499916881
135863,1775750362.696039,0.497271359
