step,wall_time,value
3773,1775583597.894344,0.445944339
7547,1775589253.198704,0.418805063
11321,1775594864.144561,0.399847001
15095,1775600212.588969,0.423711061
18869,1775605352.077550,0.400304943
22643,1775609834.482711,0.414552122
26417,1775614209.960204,0.41458106
30191,1775619207.377726,0.431252182
33965,1775624372.857330,0.424212843
37739,1775629447.080354,0.42358622
41513,1775633920.319453,0.427059919
45287,1775639099.807287,0.420071512
49061,1775644848.901653,0.41823715
52835,1775650462.666802,0.426071286
56609,1775656023.135981,0.414030701
60383,1775661902.474916,0.425353765
64157,1775667069.999607,0.417921811
67931,1775671063.879463,0.422994345
71705,1775676456.172048,0.424146891
75479,1775682037.647909,0.418777019
79253,1775687578.908864,0.428361982
83027,1775693423.523687,0.441947222
86801,1775699285.865291,0.442189127
90575,1775704647.332069,0.427496135
94349,1775708252.927474,0.446730286
98123,1775711967.928526,0.444042712
101897,1775715613.555206,0.438874066
105671,1775719301.012522,0.446051031
109445,1775723029.014498,0.446348578
113219,1775726657.587572,0.43502
116993,1775730385.492399,0.44764024
120767,1775734081.018815,0.441564709
124541,1775737671.254467,0.438917339
128315,1775741597.210779,0.444281965
132089,1775746790.633426,0.442137897
135863,1775750362.696053,0.452290714
