step,wall_time,value
0,0.000000,0.957669616
1,0.000000,0.943842471
2,0.000000,0.957241535
3,0.000000,0.956939876
4,0.000000,0.955371916
5,0.000000,0.960326612
6,0.000000,0.953984499
7,0.000000,0.954886615
17,0.000000,0.952968895
18,0.000000,0.952667594
19,0.000000,0.957214892
20,0.000000,0.955152869
21,0.000000,0.953864336
22,0.000000,0.95726645
23,0.000000,0.956068695
24,0.000000,0.957162559
42,0.000000,0.952562749
43,0.000000,0.956290662
44,0.000000,0.956659853
45,0.000000,0.956113636
46,0.000000,0.955284655
47,0.000000,0.955788732
48,0.000000,0.955465376
49,0.000000,0.955096722
75,0.000000,0.955536425
