step,wall_time,value
0,0.000000,0.295790649
1,0.000000,0.172858055
2,0.000000,0.168300526
3,0.000000,0.161444699
4,0.000000,0.159794582
5,0.000000,0.158825784
6,0.000000,0.154223282
7,0.000000,0.154345707
8,0.000000,0.152143441
17,0.000000,0.152480101
18,0.000000,0.150964589
19,0.000000,0.151807251
20,0.000000,0.15031698
21,0.000000,0.149178626
22,0.000000,0.146970183
23,0.000000,0.148405682
24,0.000000,0.145847734
25,0.000000,0.14884758
42,0.000000,0.14711511
43,0.000000,0.146805815
44,0.000000,0.145994118
45,0.000000,0.14606126
46,0.000000,0.145986204
47,0.000000,0.146362016
48,0.000000,0.146337618
49,0.000000,0.144992216
50,0.000000,0.145613645
75,0.000000,0.14634617
