step,wall_time,value
0,0.000000,0.332410574
1,0.000000,0.319787323
2,0.000000,0.396708876
3,0.000000,0.396886438
4,0.000000,0.37802583
5,0.000000,0.378613085
6,0.000000,0.399392128
7,0.000000,0.40277642
17,0.000000,0.405563265
18,0.000000,0.409113169
19,0.000000,0.411612362
20,0.000000,0.413194537
21,0.000000,0.415256947
22,0.000000,0.40642339
23,0.000000,0.414591074
24,0.000000,0.408881128
42,0.000000,0.407396436
43,0.000000,0.405918807
44,0.000000,0.407953441
45,0.000000,0.408984929
46,0.000000,0.40894112
47,0.000000,0.408105522
48,0.000000,0.409187675
49,0.000000,0.410631955
75,0.000000,0.409439296
