step,wall_time,value
0,0.000000,0.144766867
1,0.000000,0.0751415715
2,0.000000,0.170079321
3,0.000000,0.261617243
4,0.000000,0.556299746
5,0.000000,0.603978753
6,0.000000,0.606880009
7,0.000000,0.607479036
17,0.000000,0.60891825
18,0.000000,0.608108521
19,0.000000,0.608614683
20,0.000000,0.6088292
21,0.000000,0.608012319
22,0.000000,0.608447552
23,0.000000,0.609333813
24,0.000000,0.609211206
42,0.000000,0.609315574
43,0.000000,0.608814836
44,0.000000,0.609246016
45,0.000000,0.609015346
46,0.000000,0.609432817
47,0.000000,0.609239459
48,0.000000,0.609277189
49,0.000000,0.609190524
75,0.000000,0.609162271
