step,wall_time,value
0,0.000000,0.0172004253
1,0.000000,0.00864508096
2,0.000000,0.0154200317
3,0.000000,0.0169524532
4,0.000000,0.0288700461
5,0.000000,0.0311059169
6,0.000000,0.0322975442
7,0.000000,0.032432735
17,0.000000,0.0319977328
18,0.000000,0.032476671
19,0.000000,0.032384038
20,0.000000,0.0321779326
21,0.000000,0.032489799
22,0.000000,0.0320763215
23,0.000000,0.0322387367
24,0.000000,0.0319236144
42,0.000000,0.0318716206
43,0.000000,0.032010179
44,0.000000,0.0319274291
45,0.000000,0.0319870114
46,0.000000,0.0318848677
47,0.000000,0.0319395736
48,0.000000,0.0319748074
49,0.000000,0.0320740789
75,0.000000,0.0320259407
