step,wall_time,value
0,0.000000,0.187635943
1,0.000000,0.0952635035
2,0.000000,0.151759192
3,0.000000,0.167048857
4,0.000000,0.296971917
5,0.000000,0.320404708
6,0.000000,0.321951926
7,0.000000,0.321521759
17,0.000000,0.315581918
18,0.000000,0.318554282
19,0.000000,0.316271603
20,0.000000,0.313344806
21,0.000000,0.315374911
22,0.000000,0.315928549
23,0.000000,0.313209504
24,0.000000,0.313073874
42,0.000000,0.31333077
43,0.000000,0.315524697
44,0.000000,0.313604742
45,0.000000,0.313661277
46,0.000000,0.31265077
47,0.000000,0.313647628
48,0.000000,0.313430905
49,0.000000,0.313667685
75,0.000000,0.313815773
