step,wall_time,value
0,0.000000,0.33706224
1,0.000000,0.327002168
2,0.000000,0.404580086
3,0.000000,0.404272377
4,0.000000,0.380630434
5,0.000000,0.380483836
6,0.000000,0.40188092
7,0.000000,0.405387521
17,0.000000,0.408454895
18,0.000000,0.412023097
19,0.000000,0.414676309
20,0.000000,0.416402847
21,0.000000,0.418466836
22,0.000000,0.40933159
23,0.000000,0.417848557
24,0.000000,0.411959708
42,0.000000,0.410419106
43,0.000000,0.408824146
44,0.000000,0.410984904
45,0.000000,0.412048042
46,0.000000,0.412035555
47,0.000000,0.41114077
48,0.000000,0.412264496
49,0.000000,0.413747698
75,0.000000,0.412512273
