step,wall_time,value
90599,1776913980.820425,0
90649,1776914000.997601,0
90699,1776914020.575965,0
90749,1776914040.053791,0
90799,1776914059.415231,0
90849,1776914078.791536,0
90899,1776914098.297103,0
90949,1776914117.738122,0
90999,1776914138.087593,0
91049,1776914157.127518,0
91099,1776914178.582294,0
91149,1776914197.275461,0
91199,1776914216.036008,0
91249,1776914235.315655,0
91299,1776914255.215749,0
91349,1776914274.629094,0
91399,1776914295.122700,0
91449,1776914314.722311,0
91499,1776914334.109665,0
91549,1776914353.216949,0
91599,1776914373.072891,0
91649,1776914391.989370,0
91699,1776914412.381869,0
91749,1776914431.877826,0
91799,1776914450.203150,0
91849,1776914469.921690,0
91899,1776914489.015131,0
91949,1776914508.167843,0
91999,1776914527.217700,0
92049,1776914545.923948,0
92099,1776914565.555871,0
92149,1776914585.177058,0
92199,1776914604.070266,0
92249,1776914624.078849,0
92299,1776914643.083966,0
92349,1776914662.505450,0
92399,1776914681.744790,0
92449,1776914700.044228,0
92499,1776914719.480356,0
92549,1776914737.419894,0
92599,1776914757.284980,0
92649,1776914780.074848,0
92699,1776914802.592613,0
92749,1776914825.256118,0
92799,1776914847.819016,0
92849,1776914867.761712,0
92899,1776914887.134085,0
92949,1776914906.399314,0
92999,1776914930.571923,0
93049,1776914952.414554,0
93099,1776914975.948867,0
93149,1776915001.595475,0
93199,1776915023.422671,0
93249,1776915043.864642,0
93299,1776915065.197320,0
93349,1776915085.820576,0
93399,1776915107.623158,0
93449,1776915127.772563,0
93499,1776915147.965088,0
93549,1776915168.732033,0
93599,1776915188.442490,0
93649,1776915207.510453,0
93699,1776915227.331262,0
93749,1776915248.043809,0
93799,1776915268.065005,0
93849,1776915287.770276,0
93899,1776915308.238404,0
93949,1776915327.218729,0
93999,1776915346.190147,0
94049,1776915366.277136,0
94099,1776915384.929987,0
94149,1776915404.467515,0
94199,1776915426.085736,0
94249,1776915445.179405,0
94299,1776915464.876320,0
94349,1776915490.078660,0
