step,wall_time,value
90599,1776913980.820475,0
90649,1776914000.997667,0
90699,1776914020.576063,0
90749,1776914040.053900,0
90799,1776914059.415279,0
90849,1776914078.791606,0
90899,1776914098.297196,0
90949,1776914117.738189,0
90999,1776914138.087677,0
91049,1776914157.127614,0
91099,1776914178.582361,0
91149,1776914197.275528,0
91199,1776914216.036056,0
91249,1776914235.315748,0
91299,1776914255.215816,0
91349,1776914274.629162,0
91399,1776914295.122751,0
91449,1776914314.722379,0
91499,1776914334.109717,0
91549,1776914353.217016,0
91599,1776914373.072944,0
91649,1776914391.989418,0
91699,1776914412.381934,0
91749,1776914431.877917,0
91799,1776914450.203278,0
91849,1776914469.921759,0
91899,1776914489.015201,0
91949,1776914508.167928,0
91999,1776914527.217773,0
92049,1776914545.924011,0
92099,1776914565.555983,0
92149,1776914585.177155,0
92199,1776914604.070338,0
92249,1776914624.078912,0
92299,1776914643.084080,0
92349,1776914662.505503,0
92399,1776914681.744857,0
92449,1776914700.044323,0
92499,1776914719.480427,0
92549,1776914737.419969,0
92599,1776914757.285050,0
92649,1776914780.074959,0
92699,1776914802.592698,0
92749,1776914825.256183,0
92799,1776914847.819084,0
92849,1776914867.761813,0
92899,1776914887.134151,0
92949,1776914906.399362,0
92999,1776914930.571969,0
93049,1776914952.414602,0
93099,1776914975.948975,0
93149,1776915001.595571,0
93199,1776915023.422756,0
93249,1776915043.864738,0
93299,1776915065.197369,0
93349,1776915085.820644,0
93399,1776915107.623219,0
93449,1776915127.772628,0
93499,1776915147.965157,0
93549,1776915168.732102,0
93599,1776915188.442585,0
93649,1776915207.510543,0
93699,1776915227.331310,0
93749,1776915248.043876,0
93799,1776915268.065053,0
93849,1776915287.770453,0
93899,1776915308.238500,0
93949,1776915327.218823,0
93999,1776915346.190197,0
94049,1776915366.277233,0
94099,1776915384.930034,0
94149,1776915404.467613,0
94199,1776915426.085839,0
94249,1776915445.179473,0
94299,1776915464.876386,0
94349,1776915490.078711,0
