step,wall_time,value
90599,1776913980.820333,0
90649,1776914000.997490,0
90699,1776914020.575859,0
90749,1776914040.053696,0
90799,1776914059.415153,0
90849,1776914078.791454,0
90899,1776914098.297007,0
90949,1776914117.737993,0
90999,1776914138.087500,0
91049,1776914157.127390,0
91099,1776914178.582218,0
91149,1776914197.275381,0
91199,1776914216.035935,0
91249,1776914235.315545,0
91299,1776914255.215669,0
91349,1776914274.629019,0
91399,1776914295.122603,0
91449,1776914314.722223,0
91499,1776914334.109586,0
91549,1776914353.216857,0
91599,1776914373.072801,0
91649,1776914391.989312,0
91699,1776914412.381799,0
91749,1776914431.877741,0
91799,1776914450.203062,0
91849,1776914469.921612,0
91899,1776914489.015035,0
91949,1776914508.167750,0
91999,1776914527.217615,0
92049,1776914545.923855,0
92099,1776914565.555767,0
92149,1776914585.176959,0
92199,1776914604.070184,0
92249,1776914624.078777,0
92299,1776914643.083820,0
92349,1776914662.505368,0
92399,1776914681.744660,0
92449,1776914700.044127,0
92499,1776914719.480212,0
92549,1776914737.419800,0
92599,1776914757.284892,0
92649,1776914780.074750,0
92699,1776914802.592519,0
92749,1776914825.256044,0
92799,1776914847.818842,0
92849,1776914867.761607,0
92899,1776914887.134005,0
92949,1776914906.399238,0
92999,1776914930.571852,0
93049,1776914952.414473,0
93099,1776914975.948733,0
93149,1776915001.595351,0
93199,1776915023.422582,0
93249,1776915043.864547,0
93299,1776915065.197262,0
93349,1776915085.820484,0
93399,1776915107.623076,0
93449,1776915127.772481,0
93499,1776915147.964997,0
93549,1776915168.731950,0
93599,1776915188.442378,0
93649,1776915207.510352,0
93699,1776915227.331191,0
93749,1776915248.043730,0
93799,1776915268.064928,0
93849,1776915287.770177,0
93899,1776915308.238312,0
93949,1776915327.218632,0
93999,1776915346.190069,0
94049,1776915366.277039,0
94099,1776915384.929905,0
94149,1776915404.467436,0
94199,1776915426.085636,0
94249,1776915445.179318,0
94299,1776915464.876244,0
94349,1776915490.078606,0
